keyword,doc_freq,total_freq,tfidf
get,36,226684,0.0
set,34,96941,0.01
string,34,129646,0.0
list,29,52838,0.01
java,27,42394,0.0
value,25,66153,0.02
name,25,66778,0.02
add,24,42587,0.01
data,23,57525,0.03
exception,22,50054,0.01
override,22,29878,0.01
util,21,34169,0.01
type,18,47595,0.02
map,17,31191,0.01
file,17,27421,0.01
color,15,22933,0.06
node,14,28002,0.04
size,14,21821,0.01
object,13,44800,0.04
text,13,14248,0.01
label,13,21046,0.06
org,13,33136,0.02
path,13,13703,0.01
array,12,22508,0.01
listener,11,8975,0.01
index,11,20044,0.02
com,11,19104,0.01
key,10,18597,0.02
event,10,13945,0.02
length,10,16055,0.02
result,10,23461,0.02
line,10,8571,0.02
model,10,27247,0.03
config,10,12845,0.02
logger,10,31681,0.04
item,9,25180,0.05
action,9,13486,0.03
graph,9,50386,0.24
width,9,9169,0.03
utils,9,7222,0.01
edge,8,7558,0.04
view,8,11163,0.02
time,8,13463,0.02
state,8,14468,0.02
layout,7,8095,0.02
column,7,20600,0.06
field,7,22042,0.04
request,7,14959,0.02
start,7,9386,0.02
height,7,5975,0.02
factory,7,13945,0.02
json,7,33241,0.06
put,7,17984,0.02
stream,7,12530,0.01
row,6,13519,0.04
table,6,24055,0.05
max,6,14237,0.03
min,6,10882,0.04
plot,6,8348,0.08
equals,6,26921,0.05
app,6,1707,0.0
nodes,6,4236,0.02
source,6,20461,0.05
context,6,11411,0.01
filter,6,10874,0.03
menu,6,6994,0.02
point,6,4572,0.02
integer,6,16463,0.03
append,6,11335,0.02
system,6,7652,0.01
test,6,17883,0.04
query,6,27597,0.08
count,6,14266,0.03
axis,5,14365,0.12
series,5,10045,0.07
vertex,5,16977,0.11
android,5,1580,0.0
log,5,11095,0.01
property,5,12313,0.02
control,5,4008,0.02
core,5,4335,0.01
panel,5,6886,0.03
parameters,5,16672,0.07
attribute,5,36125,0.11
builder,5,9998,0.01
parameter,5,24421,0.08
mode,5,4261,0.01
buffer,5,8282,0.02
awt,4,6109,0.03
element,4,15641,0.03
api,4,1774,0.0
scene,4,3619,0.02
javafx,4,4105,0.02
title,4,4980,0.02
plugin,4,20981,0.08
instance,4,12181,0.02
button,4,5859,0.01
settings,4,3561,0.01
error,4,19354,0.03
out,4,6792,0.01
values,4,10380,0.02
read,4,8355,0.02
paint,4,9409,0.06
media,4,1803,0.01
player,4,4847,0.03
points,4,1823,0.01
style,4,5707,0.03
audio,4,604,0.0
canvas,4,1423,0.01
session,4,13876,0.04
user,4,18563,0.04
bar,4,3434,0.01
math,4,8400,0.03
chart,4,11261,0.07
service,4,14771,0.03
servlet,4,5998,0.03
renderer,4,4315,0.03
current,4,10453,0.02
number,4,11054,0.03
store,4,13618,0.06
iterator,3,12176,0.05
swing,3,5576,0.03
javax,3,11843,0.03
next,3,13129,0.03
offset,3,6703,0.02
args,3,2971,0.01
change,3,6853,0.03
colors,3,1179,0.01
obj,3,13780,0.05
,3,5878,
stroke,3,4528,0.04
dataset,3,12120,0.09
message,3,9011,0.01
status,3,2455,0.01
handler,3,4696,0.01
selected,3,8490,0.05
connection,3,7774,0.02
pane,3,7739,0.04
icon,3,8422,0.04
cell,3,7517,0.04
box,3,6409,0.03
xml,3,8748,0.03
option,3,4013,0.01
border,3,2577,0.02
resource,3,3964,0.01
names,3,4083,0.01
println,3,3169,0.01
matrix,3,3533,0.01
reader,3,4697,0.01
hash,3,15120,0.03
output,3,6768,0.01
write,3,8593,0.02
visualizer,3,631,0.01
attrs,3,658,0.01
content,3,6804,0.01
activity,3,1649,0.0
database,3,10918,0.04
info,3,9950,0.01
response,3,8825,0.02
container,3,5329,0.02
utilities,3,19319,0.17
scale,3,3807,0.02
charts,3,336,0.0
configuration,3,3149,0.01
random,3,3871,0.02
with,3,5589,0.01
entry,3,8307,0.02
writer,3,5793,0.02
group,2,10159,0.03
visual,2,6521,0.09
items,2,2825,0.01
lib,2,1223,0.01
rows,2,4848,0.03
val,2,4070,0.02
vis,2,1135,0.02
jfree,2,5323,0.09
tick,2,3828,0.04
font,2,5734,0.03
face,2,2392,0.02
range,2,8704,0.05
marker,2,3044,0.02
anchor,2,3375,0.03
category,2,7150,0.04
update,2,8105,0.03
google,2,5205,0.02
visualization,2,4068,0.04
batch,2,1863,0.01
receiver,2,401,0.0
tag,2,3222,0.01
window,2,2416,0.01
generator,2,4723,0.03
mouse,2,3134,0.02
port,2,2014,0.01
tree,2,8009,0.03
attributes,2,5362,0.02
all,2,8592,0.03
edges,2,1069,0.01
image,2,5701,0.01
input,2,7507,0.01
labels,2,3885,0.02
uni,2,395,0.0
options,2,4226,0.01
frame,2,2486,0.01
meta,2,9207,0.05
cells,2,1195,0.01
arg,2,924,0.01
dim,2,3215,0.03
wave,2,136,0.0
music,2,433,0.01
gradient,2,1059,0.01
compat,2,400,0.0
graphics,2,1881,0.01
server,2,7564,0.02
sql,2,8171,0.03
statement,2,7832,0.03
storage,2,2987,0.01
tab,2,4353,0.03
optional,2,2364,0.01
world,2,2168,0.02
provider,2,5701,0.02
speed,2,555,0.0
anim,2,400,0.0
pos,2,3534,0.01
radius,2,2536,0.02
draw,2,4594,0.03
stop,2,989,0.01
base,2,5647,0.02
intent,2,443,0.0
position,2,7785,0.02
cache,2,5484,0.02
files,2,2001,0.01
token,2,2791,0.01
scanner,2,667,0.0
entity,2,7055,0.02
filters,2,1914,0.01
from,2,8279,0.02
types,2,3722,0.01
drawable,2,852,0.0
render,2,1491,0.01
play,2,681,0.01
attr,2,6818,0.05
engine,2,9316,0.05
ticks,2,948,0.01
contour,2,100,0.0
lines,2,1142,0.01
legend,2,2046,0.02
example,2,813,0.0
trace,2,2303,0.01
dataviewer,2,147,0.0
colour,2,232,0.0
viewer,2,672,0.01
generic,2,707,0.0
target,2,5325,0.01
mesh,2,1429,0.02
equal,2,2247,0.02
texture,2,1868,0.01
consumer,2,690,0.0
search,2,2778,0.01
measurement,2,1036,0.01
counter,2,1919,0.01
iter,2,10502,0.1
svg,2,3959,0.04
format,2,9859,0.02
game,2,663,0.0
descriptor,2,4101,0.02
shader,2,1732,0.01
create,2,12230,0.02
left,2,4810,0.02
auth,2,844,0.0
material,2,611,0.01
prefuse,1,1998,0.03
tuple,1,1597,0.01
expression,1,4119,0.02
predicate,1,1180,0.01
tuples,1,302,0.0
seg,1,721,0.01
xyz,1,1011,0.01
not,1,7624,0.02
permitted,1,758,0.01
keys,1,3448,0.02
sensor,1,644,0.01
sensors,1,284,0.0
timestamp,1,960,0.01
steppschuh,1,139,0.0
net,1,2083,0.01
card,1,396,0.0
dimension,1,3167,0.02
datalogger,1,119,0.0
device,1,586,0.0
reachability,1,232,0.0
available,1,761,0.01
padded,1,108,0.0
tracker,1,413,0.0
connected,1,427,0.0
skin,1,1138,0.01
flow,1,2298,0.01
connector,1,1158,0.01
workflow,1,684,0.01
parent,1,6139,0.03
mihosoft,1,265,0.0
vrl,1,264,0.0
inputs,1,263,0.0
outputs,1,409,0.0
connect,1,590,0.0
remove,1,5478,0.03
sender,1,1037,0.01
resize,1,442,0.01
logical,1,755,0.01
fingerprint,1,555,0.01
physical,1,3805,0.04
groups,1,1033,0.01
payload,1,463,0.0
observable,1,1561,0.01
graphi,1,401,0.01
task,1,3219,0.01
display,1,2765,0.02
btn,1,707,0.0
manager,1,8864,0.02
wrapper,1,1278,0.01
tasks,1,325,0.0
spinner,1,875,0.01
bag,1,1933,0.02
constraints,1,2803,0.02
grid,1,2498,0.02
pca,1,517,0.01
sequence,1,1524,0.01
sample,1,1374,0.01
lcsb,1,107,0.0
process,1,2530,0.01
vizbin,1,107,0.0
num,1,3350,0.01
sequences,1,113,0.0
loom,1,558,0.01
gene,1,1012,0.01
genes,1,354,0.0
block,1,1413,0.01
chunk,1,293,0.0
blocks,1,226,0.0
res,1,1895,0.01
handle,1,1240,0.01
metadata,1,6751,0.03
indexes,1,539,0.01
thickness,1,203,0.0
end,1,6649,0.02
rect,1,1516,0.01
invalidate,1,204,0.0
fab,1,96,0.0
capture,1,159,0.0
styleable,1,88,0.0
permissions,1,350,0.0
androidx,1,6,0.0
snackbar,1,13,0.0
toolbar,1,703,0.01
record,1,5129,0.02
init,1,2762,0.02
plan,1,6335,0.06
djrapitops,1,5187,0.07
uuid,1,5296,0.03
extension,1,5223,0.03
sessions,1,1173,0.01
players,1,512,0.0
locale,1,4045,0.03
tables,1,1140,0.01
queries,1,2164,0.02
delivery,1,1047,0.01
times,1,2448,0.02
gauravk,1,66,0.0
bezier,1,149,0.0
audiovisualizer,1,45,0.0
raw,1,1180,0.01
gravity,1,108,0.0
knots,1,26,0.0
blob,1,102,0.0
clip,1,1060,0.01
bounds,1,2734,0.02
helicalinsight,1,1717,0.02
efw,1,1385,0.02
directory,1,2296,0.01
role,1,4526,0.03
properties,1,5222,0.02
report,1,1786,0.01
application,1,2416,0.01
security,1,2124,0.01
form,1,1883,0.01
dependency,1,648,0.01
strullerbaumann,1,150,0.0
visualee,1,150,0.0
examiner,1,94,0.0
html,1,2500,0.02
code,1,6914,0.01
sources,1,604,0.01
arrays,1,3022,0.01
contains,1,4626,0.02
many,1,186,0.0
description,1,10619,0.04
boundary,1,102,0.0
folder,1,2063,0.01
dependencies,1,508,0.01
sound,1,65,0.0
ripple,1,31,0.0
kimjihyok,1,18,0.0
ripplesoundplayer,1,17,0.0
divisions,1,18,0.0
seek,1,637,0.0
demo,1,238,0.0
amp,1,25,0.0
finish,1,342,0.0
click,1,710,0.0
callback,1,547,0.0
constellation,1,20235,0.31
gov,1,16801,0.2
asd,1,16799,0.26
tac,1,16799,0.23
plugins,1,6349,0.04
transaction,1,11799,0.07
schema,1,9379,0.05
area,1,4683,0.04
domain,1,4673,0.02
rectangle,1,2510,0.02
drawing,1,2029,0.03
eng,1,22106,0.32
spagobi,1,15087,0.22
sbi,1,12890,0.19
spago,1,10714,0.16
dao,1,10889,0.05
debug,1,12234,0.05
profile,1,9431,0.06
constants,1,9692,0.04
inner,1,1963,0.02
builders,1,78,0.0
kwargs,1,88,0.0
impl,1,3711,0.02
github,1,90,0.0
python,1,251,0.0
hist,1,114,0.0
method,1,5017,0.01
composite,1,1671,0.01
build,1,5437,0.02
script,1,1791,0.01
fig,1,25,0.0
save,1,3391,0.03
registered,1,472,0.01
patch,1,248,0.0
orientation,1,2343,0.02
owner,1,826,0.01
command,1,2651,0.01
pyenv,1,14,0.0
prop,1,1810,0.01
anan,1,459,0.01
symbol,1,664,0.0
enabled,1,2834,0.01
tooltip,1,1691,0.02
configure,1,1184,0.01
date,1,12082,0.03
linear,1,976,0.01
str,1,3518,0.02
arr,1,406,0.0
align,1,460,0.01
direction,1,1256,0.01
utc,1,258,0.0
stacking,1,133,0.0
visibility,1,1345,0.01
socket,1,204,0.0
traces,1,21,0.0
web,1,1826,0.01
url,1,8423,0.01
margin,1,954,0.01
gson,1,425,0.0
serialized,1,423,0.0
variables,1,427,0.0
eclipse,1,534,0.0
jetty,1,44,0.0
opened,1,152,0.0
true,1,3409,0.03
apply,1,3534,0.02
tet,1,1951,0.03
tri,1,1658,0.02
arb,1,1086,0.01
params,1,4983,0.01
mines,1,1029,0.01
jtk,1,1029,0.01
tex,1,1387,0.01
edu,1,1152,0.01
check,1,4830,0.02
copy,1,3345,0.02
ext,1,1853,0.02
pname,1,863,0.01
zero,1,1546,0.01
graphlab,1,186,0.0
graphs,1,783,0.01
visited,1,199,0.0
gui,1,1104,0.01
main,1,1961,0.01
cost,1,405,0.0
algorithm,1,1299,0.01
destination,1,2358,0.02
sets,1,674,0.01
spring,1,135,0.0
datastructures,1,530,0.01
processed,1,511,0.01
adjacency,1,88,0.0
canceled,1,85,0.0
slider,1,551,0.01
