keyword,doc_freq,total_freq,tfidf
string,107,262650,0.0
get,107,421523,0.0
name,101,153823,0.03
java,94,78824,0.0
set,92,167229,0.01
exception,91,126410,0.01
list,88,110055,0.01
util,84,67022,0.01
type,80,158435,0.04
value,77,115272,0.02
override,76,82047,0.01
data,60,104748,0.04
com,59,74342,0.02
add,55,66992,0.01
object,54,109190,0.06
map,54,68260,0.01
table,48,105283,0.15
result,48,64165,0.03
org,48,133424,0.04
key,45,68615,0.04
sql,44,66546,0.16
file,43,46434,0.01
column,41,78149,0.15
query,40,46973,0.09
index,39,55794,0.03
builder,35,40476,0.03
context,34,39063,0.02
field,32,61194,0.07
database,32,29890,0.08
logger,31,28248,0.03
create,31,39052,0.04
connection,30,29746,0.06
array,29,39743,0.01
size,27,47442,0.02
types,25,29163,0.05
source,25,39514,0.06
values,25,20645,0.03
model,25,44583,0.03
node,25,65452,0.06
utils,24,24129,0.02
stream,24,32338,0.02
response,23,15633,0.02
request,23,24308,0.02
config,22,25303,0.03
hash,22,32052,0.04
append,21,32307,0.04
columns,21,16211,0.06
time,21,37614,0.04
statement,20,28543,0.08
info,20,27007,0.03
put,20,25121,0.02
factory,20,31110,0.03
log,19,26067,0.02
json,19,27577,0.03
length,19,30398,0.02
row,18,25901,0.05
path,18,26832,0.01
error,17,21764,0.02
message,17,21867,0.02
text,17,24342,0.01
equals,17,38524,0.05
user,16,13615,0.02
entity,16,21240,0.04
date,15,22046,0.04
android,15,2408,0.0
client,15,20831,0.03
property,15,35608,0.04
event,15,23525,0.02
fields,15,12342,0.03
schema,15,39891,0.13
function,15,21221,0.04
transaction,15,35158,0.13
read,15,23084,0.04
update,14,22672,0.05
configuration,14,16725,0.03
input,14,26557,0.02
names,14,7954,0.01
content,13,13494,0.02
service,13,21552,0.03
options,13,12127,0.02
,13,34402,
session,13,14766,0.03
server,13,21080,0.04
method,13,14611,0.02
code,13,21246,0.03
view,13,12129,0.01
output,13,18073,0.02
collection,12,16692,0.04
document,12,12648,0.03
metadata,12,19421,0.05
find,12,10307,0.02
http,12,8374,0.01
annotation,12,10184,0.02
core,12,11723,0.01
store,12,11381,0.03
element,12,20359,0.03
parameter,12,18591,0.04
write,12,27287,0.05
entry,12,23059,0.03
state,12,20824,0.02
password,11,6429,0.02
handler,11,14667,0.02
with,11,18057,0.03
layout,11,14933,0.02
tables,11,6778,0.04
integer,11,20333,0.03
max,11,19791,0.02
attribute,11,39204,0.08
buffer,11,15317,0.02
iterator,10,16453,0.04
test,10,21303,0.03
app,10,5206,0.01
repository,10,3855,0.01
manager,10,23667,0.03
version,10,12805,0.02
instance,10,20890,0.03
search,10,6220,0.02
not,10,22874,0.04
url,10,12945,0.01
status,10,12976,0.02
params,10,8960,0.02
dao,9,2462,0.01
cursor,9,4065,0.01
token,9,14559,0.03
ref,9,11707,0.04
listener,9,16247,0.01
obj,9,15129,0.04
action,9,13108,0.02
constants,9,13922,0.03
page,9,16653,0.04
properties,9,18598,0.04
filter,9,20398,0.04
results,8,8249,0.02
cache,8,19571,0.05
description,8,9124,0.02
auth,8,4702,0.02
non,8,12726,0.03
command,8,15029,0.03
uri,8,14162,0.03
start,8,17537,0.02
resource,8,11761,0.02
from,8,16242,0.03
javax,8,12951,0.02
keys,8,11259,0.03
args,7,15794,0.02
objects,7,8967,0.02
mapper,7,9933,0.03
storage,7,6869,0.02
col,7,7120,0.03
val,7,7210,0.02
count,7,24882,0.03
record,7,14473,0.03
springframework,7,2263,0.01
web,7,2370,0.01
activity,7,1100,0.0
servlet,7,3955,0.01
github,7,1569,0.0
mapping,7,9185,0.03
