keyword,doc_freq,total_freq,tfidf
string,7,10233,0.0
get,7,19723,0.0
value,7,3909,0.0
list,6,6684,0.0
com,6,8903,0.01
java,6,4352,0.0
override,6,5407,0.0
set,5,4733,0.0
name,5,6892,0.01
object,5,4925,0.01
util,5,4188,0.0
map,5,1854,0.0
node,4,1890,0.01
result,4,2686,0.01
add,4,2329,0.0
log,4,4792,0.02
field,4,3605,0.02
method,4,4344,0.03
context,4,5462,0.01
info,4,2142,0.01
module,3,3170,0.04
exception,3,4012,0.0
text,3,1980,0.01
element,3,5604,0.04
type,3,7141,0.01
not,3,2554,0.02
component,3,1512,0.02
message,3,1487,0.01
array,3,2362,0.0
call,3,1959,0.03
state,3,1079,0.0
arg,3,2366,0.04
tree,2,1048,0.01
icon,2,473,0.01
append,2,1193,0.01
psi,2,6992,0.26
intellij,2,4949,0.18
lang,2,3454,0.04
file,2,6556,0.01
,2,2497,
project,2,2326,0.03
plugins,2,1932,0.04
nullable,2,1259,0.02
openapi,2,1084,0.04
event,2,544,0.0
json,2,220,0.0
put,2,698,0.0
builder,2,1070,0.0
org,2,1194,0.0
debug,2,3294,0.04
args,2,950,0.01
enabled,2,1464,0.02
throwable,2,158,0.0
manager,2,795,0.0
label,2,286,0.0
error,2,742,0.0
otp,1,1175,0.04
erlang,1,1063,0.05
item,1,883,0.0
atom,1,465,0.01
property,1,734,0.0
trace,1,975,0.01
func,1,372,0.01
javafx,1,335,0.0
tuple,1,290,0.01
mod,1,309,0.01
view,1,430,0.0
obj,1,792,0.01
scene,1,235,0.0
pane,1,216,0.0
menu,1,183,0.0
column,1,210,0.0
button,1,298,0.0
erlyberly,1,183,0.01
term,1,175,0.0
control,1,163,0.0
proc,1,210,0.01
ericsson,1,150,0.01
rpc,1,147,0.0
items,1,253,0.0
stack,1,758,0.01
tab,1,148,0.0
modules,1,306,0.01
haxe,1,14882,0.7
model,1,2343,0.01
reference,1,2010,0.03
types,1,694,0.01
expression,1,1574,0.02
root,1,1915,0.02
member,1,1133,0.03
path,1,1809,0.0
sdk,1,1067,0.02
target,1,1138,0.01
resolver,1,1117,0.02
resolve,1,1090,0.03
create,1,1442,0.01
settings,1,890,0.01
elements,1,384,0.01
flipper,1,186,0.01
plugin,1,132,0.0
facebook,1,44,0.0
channel,1,98,0.0
flutter,1,32,0.0
client,1,73,0.0
network,1,131,0.0
core,1,67,0.0
header,1,765,0.01
connection,1,105,0.0
android,1,638,0.0
argument,1,317,0.0
body,1,667,0.01
request,1,514,0.0
sink,1,19,0.0
headers,1,25,0.0
response,1,87,0.0
reporter,1,30,0.0
common,1,215,0.0
convert,1,28,0.0
report,1,104,0.0
success,1,167,0.0
database,1,12,0.0
debugger,1,1038,0.05
boxed,1,152,0.01
jfx,1,129,0.0
server,1,351,0.0
eval,1,116,0.0
param,1,433,0.0
page,1,295,0.0
script,1,78,0.0
runnable,1,214,0.01
web,1,65,0.0
number,1,740,0.01
params,1,327,0.0
format,1,496,0.0
bridge,1,59,0.0
console,1,98,0.0
proxy,1,343,0.01
load,1,646,0.01
socket,1,509,0.01
parent,1,1475,0.02
remove,1,381,0.01
paused,1,45,0.0
valid,1,148,0.0
conn,1,55,0.0
resource,1,134,0.0
send,1,172,0.0
remote,1,145,0.0
reload,1,30,0.0
point,1,482,0.01
join,1,283,0.01
observable,1,260,0.01
fernandocejas,1,81,0.0
logger,1,464,0.0
frodo,1,73,0.0
proceeding,1,63,0.0
thread,1,1003,0.01
subscribe,1,68,0.0
flowable,1,63,0.0
time,1,791,0.0
single,1,208,0.0
print,1,197,0.0
annotation,1,543,0.0
sample,1,49,0.0
with,1,648,0.01
reactivex,1,38,0.0
aspectj,1,34,0.0
weaver,1,33,0.0
build,1,428,0.0
signature,1,651,0.02
separator,1,78,0.0
schedulers,1,32,0.0
total,1,88,0.0
dummy,1,95,0.0
disposables,1,26,0.0
names,1,165,0.0
around,1,45,0.0
pointer,1,7944,0.16
emulator,1,7495,0.35
unidbg,1,5206,0.3
dvm,1,4536,0.27
reg,1,3658,0.1
github,1,3229,0.03
arm,1,3238,0.14
svc,1,2632,0.12
backend,1,2666,0.07
memory,1,2266,0.05
size,1,2714,0.0
register,1,1937,0.04
buffer,1,1960,0.01
address,1,1914,0.02
data,1,2548,0.0
read,1,1714,0.01
symbol,1,1480,0.03
hook,1,1368,0.04
mach,1,1329,0.08
write,1,1273,0.01
base,1,1859,0.02
handle,1,1272,0.02
length,1,1689,0.01
range,1,796,0.01
editor,1,797,0.01
function,1,1331,0.01
content,1,306,0.0
line,1,711,0.0
panel,1,297,0.0
marker,1,168,0.0
calls,1,52,0.0
start,1,802,0.0
highlighter,1,180,0.01
process,1,612,0.01
birdseye,1,55,0.0
instance,1,723,0.0
nodes,1,98,0.0
document,1,327,0.0
attributes,1,306,0.0
hash,1,833,0.0
action,1,616,0.0
listener,1,599,0.0
inspector,1,171,0.01
mouse,1,61,0.0
