keyword,doc_freq,total_freq,tfidf
get,28,90191,0.0
string,27,48176,0.0
java,24,30745,0.0
exception,24,24589,0.0
set,24,31529,0.0
list,22,28333,0.01
data,18,42682,0.04
util,17,12704,0.0
add,16,14505,0.01
file,16,12885,0.01
size,16,24622,0.03
model,15,9764,0.02
input,15,27622,0.05
value,15,21047,0.01
name,15,25105,0.01
org,14,37624,0.03
type,14,31379,0.02
array,13,39595,0.04
override,12,29471,0.01
image,12,8868,0.03
out,11,9152,0.03
com,11,16072,0.01
output,10,14521,0.04
result,10,8311,0.01
builder,10,34670,0.06
path,10,5583,0.01
length,9,17556,0.03
log,9,6720,0.01
map,9,14835,0.01
logger,8,3244,0.01
system,7,3564,0.01
layer,7,15119,0.15
index,7,10311,0.02
text,7,3349,0.01
width,7,4229,0.02
height,7,3874,0.02
object,6,24875,0.04
field,6,13723,0.04
stream,6,8325,0.01
buffer,6,19632,0.08
label,6,5149,0.02
max,6,9693,0.03
conf,6,8029,0.09
info,6,8594,0.02
key,6,7032,0.01
request,6,1812,0.0
layers,5,2803,0.04
message,5,11131,0.03
apache,5,3184,0.02
iterator,5,6058,0.04
camera,5,2264,0.02
view,5,3860,0.01
color,5,2877,0.01
android,5,1139,0.0
reader,5,4417,0.02
config,5,7740,0.02
matrix,4,1773,0.01
println,4,1113,0.01
hash,4,11644,0.04
descriptor,4,7917,0.07
instance,4,6850,0.02
shape,4,19780,0.24
button,4,987,0.0
listener,4,2290,0.01
count,4,7157,0.02
configuration,4,6115,0.03
client,4,1393,0.01
num,4,9459,0.06
integer,4,6449,0.02
table,4,5023,0.02
column,4,5299,0.03
names,4,3479,0.02
format,4,5958,0.03
node,4,6801,0.02
val,4,7908,0.06
handler,4,2170,0.01
linalg,4,11000,0.19
api,4,12479,0.04
run,4,683,0.0
args,4,5737,0.02
response,4,1767,0.01
manager,4,2190,0.01
schema,4,4380,0.04
error,4,2827,0.01
activation,4,2507,0.04
loss,3,7326,0.13
state,3,5986,0.01
registry,3,5763,0.05
box,3,5311,0.04
parse,3,6145,0.04
parser,3,6385,0.04
layout,3,1232,0.0
panel,3,585,0.0
job,3,1166,0.01
create,3,6180,0.02
res,3,1185,0.01
progress,3,1096,0.01
stack,3,1383,0.01
status,3,1888,0.01
context,3,6383,0.01
location,3,1563,0.01
property,3,4347,0.01
json,3,7175,0.02
utils,3,3788,0.01
mat,3,9580,0.13
dst,3,2229,0.03
point,3,2341,0.01
frame,3,1751,0.01
opencv,3,862,0.01
activity,3,641,0.0
record,3,3412,0.02
datavec,3,2772,0.05
canvas,3,148,0.0
bitmap,3,395,0.0
flow,3,594,0.01
tensor,3,2903,0.06
number,3,5336,0.03
description,3,633,0.0
predict,3,379,0.01
test,3,1099,0.0
channel,3,1075,0.01
thread,3,2234,0.01
process,3,1933,0.02
build,3,4409,0.02
adapter,3,1213,0.01
types,3,4062,0.02
arrays,3,3634,0.03
variable,3,13604,0.13
offset,3,6738,0.04
tensorflow,3,1216,0.03
sequence,2,4231,0.04
target,2,2276,0.01
step,2,3816,0.03
random,2,7317,0.06
cols,2,531,0.01
statement,2,1244,0.01
word,2,1866,0.02
bit,2,10640,0.11
from,2,10786,0.06
has,2,8442,0.07
extension,2,5361,0.05
other,2,6054,0.06
unknown,2,4949,0.08
generated,2,3033,0.05
merge,2,3661,0.06
internal,2,3304,0.03
idx,2,3317,0.03
group,2,1668,0.01
element,2,3244,0.01
dims,2,2534,0.06
files,2,1019,0.0
container,2,1916,0.02
learning,2,3755,0.06
application,2,848,0.0
hadoop,2,912,0.02
time,2,5448,0.02
worker,2,1611,0.02
yarn,2,666,0.01
local,2,1778,0.01
constants,2,748,0.0
net,2,3275,0.02
equals,2,4717,0.02
start,2,2778,0.01
address,2,2161,0.01
option,2,3244,0.02
cluster,2,1077,0.01
results,2,1180,0.01
put,2,6341,0.02
query,2,2313,0.01
obj,2,12435,0.08
ret,2,6990,0.07
cap,2,1231,0.02
src,2,2397,0.03
points,2,984,0.01
prop,2,1211,0.01
tag,2,2000,0.01
vals,2,573,0.01
img,2,992,0.01
mats,2,124,0.0
texture,2,557,0.01
addr,2,613,0.01
objects,2,1026,0.01
core,2,1042,0.0
right,2,1402,0.01
left,2,1521,0.01
graph,2,5366,0.05
draw,2,516,0.01
event,2,1543,0.0
scale,2,2764,0.02
classifier,2,175,0.0
pixels,2,372,0.01
inference,2,517,0.01
paint,2,144,0.0
recognition,2,81,0.0
confidence,2,126,0.0
trace,2,933,0.01
title,2,511,0.0
buffered,2,1065,0.01
find,2,838,0.0
conv,2,1140,0.03
transform,2,3570,0.04
columns,2,1767,0.02
split,2,2359,0.02
records,2,721,0.01
train,2,2055,0.03
processor,2,2044,0.02
dataset,2,1335,0.02
ksql,2,3500,0.1
confluent,2,1711,0.04
function,2,4402,0.02
kafka,2,898,0.01
streams,2,522,0.01
row,2,2760,0.02
ramo,2,21,0.0
klevis,2,21,0.0
factory,2,3061,0.01
next,2,5028,0.02
raw,2,691,0.01
constructor,2,1689,0.02
spark,2,1669,0.02
main,2,523,0.0
task,2,2983,0.02
gpu,2,916,0.02
session,2,1486,0.01
kernel,2,2396,0.04
bar,2,350,0.0
pointer,2,17901,0.22
memory,2,4481,0.05
buffers,2,601,0.01
inception,2,174,0.01
all,2,5024,0.03
click,2,243,0.0
preview,2,418,0.01
callback,2,897,0.01
values,2,2413,0.01
dimension,1,2678,0.04
rng,1,705,0.02
transition,1,82,0.0
sequences,1,410,0.01
hidden,1,174,0.0
params,1,4182,0.02
init,1,3957,0.04
unit,1,1111,0.01
std,1,1553,0.03
dev,1,300,0.01
steps,1,473,0.01
rows,1,1214,0.01
probs,1,127,0.0
nonlinearity,1,40,0.0
states,1,141,0.0
forward,1,933,0.02
training,1,3280,0.06
detection,1,15899,0.29
protos,1,15363,0.28
google,1,12847,0.07
protobuf,1,14367,0.19
lang,1,13005,0.09
outer,1,6996,0.15
fields,1,4353,0.03
preprocessor,1,4037,0.1
changed,1,3034,0.04
oneof,1,2474,0.07
hyperparams,1,2196,0.07
imp,1,454,0.01
blob,1,403,0.01
component,1,786,0.0
labels,1,4320,0.05
spinner,1,423,0.01
caffe,1,285,0.01
dialog,1,491,0.0
monitor,1,301,0.01
plus,1,380,0.01
prefs,1,204,0.0
tile,1,297,0.0
parameters,1,1432,0.01
xlearning,1,804,0.02
app,1,1113,0.0
containers,1,269,0.01
board,1,387,0.01
history,1,413,0.01
remote,1,456,0.01
webapp,1,134,0.0
paths,1,808,0.01
qihoo,1,118,0.0
cycle,1,1127,0.02
energy,1,994,0.02
aptamer,1,846,0.02
selection,1,1042,0.01
entry,1,3383,0.01
pool,1,1041,0.01
level,1,1537,0.01
apta,1,616,0.01
pane,1,758,0.01
experiment,1,554,0.01
fxml,1,749,0.01
javafx,1,911,0.01
cycles,1,282,0.01
controller,1,733,0.0
fold,1,445,0.01
chemical,1,1589,0.05
act,1,1967,0.05
inchi,1,1543,0.05
plate,1,1431,0.04
reaction,1,1292,0.03
well,1,1136,0.03
ion,1,988,0.03
search,1,1318,0.01
scan,1,998,0.01
options,1,979,0.0
molecule,1,894,0.02
help,1,948,0.02
dot,1,750,0.01
detected,1,117,0.0
bytedeco,1,518,0.01
javacpp,1,394,0.01
mainframe,1,17,0.0
top,1,801,0.01
bottom,1,263,0.0
yolo,1,21,0.0
grid,1,1613,0.02
detect,1,335,0.01
predicted,1,324,0.01
converter,1,534,0.01
stats,1,2856,0.03
imgproc,1,124,0.0
loader,1,2158,0.02
storage,1,1420,0.01
line,1,2688,0.01
elem,1,256,0.0
offscreen,1,22,0.0
last,1,2318,0.02
tmp,1,370,0.0
compat,1,174,0.0
mindorks,1,9,0.0
tensorflowexample,1,9,0.0
touch,1,62,0.0
vector,1,5047,0.04
rect,1,654,0.01
mask,1,5186,0.07
buff,1,641,0.01
channels,1,1243,0.02
flags,1,459,0.0
border,1,625,0.01
criteria,1,433,0.01
