keyword,doc_freq,total_freq,tfidf
get,9,3569,0.0
string,9,1274,0.0
list,8,1064,0.0
set,7,1446,0.0
java,7,701,0.0
override,6,658,0.0
image,6,1634,0.05
size,5,1612,0.01
file,4,616,0.0
add,4,279,0.0
exception,4,511,0.0
array,4,373,0.0
view,4,507,0.01
width,4,790,0.04
height,4,817,0.04
android,4,363,0.01
util,4,384,0.0
com,4,173,0.0
max,4,895,0.02
min,4,614,0.03
frame,4,1104,0.06
org,3,821,0.01
data,3,559,0.0
record,3,399,0.02
model,3,224,0.0
out,3,435,0.01
run,3,56,0.0
bitmap,3,156,0.01
event,3,48,0.0
name,3,375,0.0
input,3,321,0.01
scale,3,262,0.02
point,3,605,0.03
matrix,3,303,0.02
result,3,328,0.0
index,3,1709,0.02
text,3,146,0.0
camera,3,1049,0.09
type,3,903,0.01
count,3,493,0.01
number,3,346,0.01
reader,2,167,0.01
pre,2,97,0.01
path,2,176,0.0
test,2,182,0.01
logger,2,118,0.0
draw,2,133,0.01
output,2,236,0.01
canvas,2,78,0.01
classifier,2,155,0.02
flow,2,172,0.02
paint,2,72,0.01
recognition,2,53,0.01
tensor,2,37,0.01
confidence,2,69,0.01
title,2,32,0.0
val,2,2239,0.15
color,2,822,0.03
log,2,416,0.01
thread,2,94,0.0
args,2,101,0.0
results,2,107,0.01
manager,2,120,0.0
indicator,2,2849,0.41
decimal,2,1967,0.23
time,2,1640,0.04
series,2,1474,0.15
verdelhan,2,1381,0.29
price,2,1352,0.13
indicators,2,649,0.12
value,2,1322,0.01
tick,2,573,0.08
close,2,618,0.04
cached,2,436,0.07
trade,2,378,0.05
calculate,2,340,0.06
trading,2,328,0.05
order,2,301,0.02
ticks,2,177,0.03
rule,2,260,0.02
satisfied,2,208,0.04
ema,2,200,0.04
simple,2,214,0.02
criterion,2,198,0.04
than,2,189,0.03
end,2,243,0.01
system,2,213,0.01
open,2,366,0.03
average,2,181,0.03
prev,2,220,0.03
math,2,236,0.01
current,2,193,0.01
label,2,173,0.01
panel,2,97,0.01
prediction,2,68,0.01
iterator,1,108,0.01
transform,1,145,0.01
layer,1,140,0.01
api,1,101,0.0
process,1,117,0.01
linalg,1,52,0.01
datavec,1,41,0.01
schema,1,33,0.0
columns,1,32,0.0
builder,1,158,0.0
split,1,132,0.01
activation,1,36,0.0
column,1,26,0.0
build,1,92,0.0
integer,1,103,0.0
arbiter,1,23,0.01
records,1,12,0.0
normalization,1,31,0.01
train,1,230,0.03
multi,1,77,0.01
backed,1,23,0.0
processor,1,65,0.0
loss,1,100,0.02
dataset,1,68,0.01
num,1,242,0.01
optimize,1,22,0.0
configuration,1,33,0.0
space,1,37,0.0
ramo,1,6,0.0
klevis,1,6,0.0
line,1,298,0.01
elem,1,92,0.01
offscreen,1,22,0.0
last,1,71,0.0
tmp,1,15,0.0
compat,1,32,0.0
pixels,1,17,0.0
inference,1,23,0.0
location,1,48,0.0
mindorks,1,9,0.0
tensorflowexample,1,9,0.0
button,1,90,0.0
trace,1,114,0.01
touch,1,9,0.0
obj,1,5995,0.34
mat,1,5076,0.6
ret,1,1549,0.13
dst,1,800,0.1
cap,1,728,0.11
src,1,724,0.07
opencv,1,559,0.08
prop,1,535,0.05
points,1,429,0.04
vals,1,132,0.02
mats,1,64,0.01
addr,1,410,0.04
vector,1,370,0.03
from,1,367,0.02
create,1,369,0.01
threshold,1,363,0.04
core,1,278,0.01
img,1,264,0.03
mask,1,252,0.03
rect,1,284,0.03
flags,1,239,0.02
buff,1,236,0.03
channels,1,234,0.03
converters,1,212,0.03
length,1,374,0.01
preview,1,172,0.02
texture,1,150,0.01
callback,1,188,0.01
capture,1,111,0.01
activity,1,92,0.0
request,1,76,0.0
sizes,1,42,0.01
surface,1,122,0.01
format,1,170,0.01
handler,1,54,0.0
graphics,1,51,0.0
reachsumit,1,25,0.01
yuv,1,58,0.01
whichcaristhat,1,25,0.01
rotation,1,31,0.0
stride,1,57,0.01
message,1,80,0.0
permission,1,67,0.01
session,1,96,0.0
money,1,221,0.04
maximum,1,157,0.03
gain,1,148,0.03
sell,1,126,0.02
precision,1,112,0.02
total,1,173,0.02
buy,1,124,0.02
minus,1,178,0.03
volume,1,163,0.02
entry,1,158,0.01
divided,1,150,0.03
sma,1,150,0.03
values,1,93,0.0
exit,1,147,0.02
amount,1,132,0.02
zero,1,135,0.02
buffer,1,108,0.0
kit,1,16,0.0
asset,1,31,0.0
quant,1,18,0.0
btn,1,9,0.0
interpreter,1,10,0.0
descriptor,1,115,0.01
stream,1,173,0.0
wonderkiln,1,6,0.0
camerakit,1,6,0.0
listener,1,165,0.0
put,1,88,0.0
click,1,64,0.0
load,1,111,0.01
channel,1,41,0.0
card,1,365,0.04
images,1,138,0.02
buffered,1,182,0.01
tom,1,115,0.02
white,1,142,0.02
game,1,115,0.01
shape,1,135,0.01
gray,1,185,0.03
files,1,66,0.0
features,1,109,0.01
boofcv,1,80,0.02
cards,1,31,0.01
feature,1,106,0.01
finder,1,71,0.01
description,1,71,0.0
detector,1,193,0.02
find,1,177,0.01
parse,1,98,0.0
shading,1,61,0.01
shapes,1,54,0.01
predict,1,100,0.02
contours,1,117,0.02
println,1,164,0.01
net,1,181,0.01
conv,1,58,0.01
quadrilateral,1,51,0.01
predictor,1,47,0.01
sets,1,20,0.0
bar,1,69,0.0
main,1,87,0.0
progress,1,55,0.0
object,1,228,0.0
video,1,90,0.01
detected,1,27,0.0
objects,1,49,0.0
grid,1,95,0.01
right,1,25,0.0
left,1,29,0.0
action,1,25,0.0
top,1,25,0.0
bottom,1,22,0.0
detection,1,13,0.0
visible,1,29,0.0
bytedeco,1,23,0.0
yolo,1,10,0.0
with,1,54,0.0
bounding,1,33,0.01
stop,1,94,0.01
ind,1,104,0.02
tiny,1,10,0.0
predicted,1,48,0.01
area,1,98,0.01
box,1,88,0.01
mark,1,8,0.0
car,1,8,0.0
grabber,1,8,0.0
start,1,193,0.0
