keyword,doc_freq,total_freq,tfidf
get,25,17443,0.0
string,24,12413,0.0
java,22,5147,0.0
util,20,3466,0.01
set,20,4267,0.0
annotation,19,3899,0.09
override,19,4673,0.01
name,17,7927,0.02
type,17,9493,0.04
list,17,5709,0.01
exception,16,4942,0.0
context,15,2896,0.02
com,15,3516,0.01
map,15,4477,0.01
lang,15,1883,0.07
inject,15,1281,0.06
method,12,4265,0.09
module,11,1915,0.08
builder,11,1863,0.02
provider,10,1360,0.04
object,10,2830,0.02
key,10,5473,0.04
add,10,2653,0.01
view,10,2403,0.03
android,10,1908,0.03
instance,10,1653,0.03
field,9,3596,0.06
create,9,2123,0.03
javax,9,994,0.02
value,8,5025,0.01
model,8,2581,0.03
service,8,1246,0.02
activity,8,1060,0.02
result,7,3350,0.02
data,7,2091,0.01
nullable,7,1875,0.08
app,7,612,0.01
application,7,422,0.01
element,7,5666,0.11
injector,6,1355,0.12
utils,6,1304,0.01
system,6,731,0.01
manager,6,639,0.01
node,6,1633,0.02
log,6,1483,0.02
component,6,905,0.03
org,5,1954,0.01
path,5,1607,0.01
scope,5,1492,0.09
factory,5,1084,0.02
fields,5,887,0.03
array,5,2093,0.01
dependency,5,467,0.04
,5,3745,
support,5,397,0.01
fragment,5,594,0.02
test,5,431,0.01
main,5,313,0.01
time,5,1862,0.03
info,5,1505,0.02
content,5,554,0.01
bundle,4,436,0.02
request,4,1380,0.02
config,4,1819,0.03
file,4,1721,0.01
dependencies,4,397,0.04
code,4,1211,0.02
entry,4,1313,0.03
binding,4,1384,0.07
message,4,1078,0.01
state,4,1120,0.01
with,4,2477,0.06
provide,4,147,0.02
hash,4,1600,0.03
put,4,1280,0.02
types,4,914,0.02
singleton,4,390,0.04
from,4,938,0.02
target,4,1111,0.02
runtime,4,395,0.02
retention,4,749,0.06
policy,4,483,0.04
dagger,4,209,0.02
provides,4,409,0.05
adapter,3,1032,0.03
google,3,324,0.01
filter,3,578,0.01
names,3,222,0.01
println,3,87,0.0
start,3,897,0.01
layout,3,671,0.01
size,3,2744,0.01
providers,3,64,0.01
compat,3,124,0.01
clazz,3,784,0.05
impl,3,675,0.03
current,3,1124,0.02
date,3,818,0.02
append,3,1026,0.02
all,3,797,0.03
logger,3,1527,0.02
stream,3,3503,0.03
contains,3,624,0.03
error,3,1217,0.02
output,3,1434,0.02
text,3,381,0.0
constructor,3,616,0.03
param,3,1163,0.04
illegal,3,489,0.03
reflect,3,301,0.03
parent,3,660,0.03
bind,3,396,0.02
handler,3,1393,0.03
injection,3,187,0.02
build,3,597,0.02
methods,3,511,0.03
listener,3,746,0.01
user,3,339,0.01
modules,3,181,0.01
intent,3,308,0.01
resource,2,890,0.03
api,2,713,0.01
serializer,2,1990,0.12
property,2,736,0.01
filters,2,114,0.01
index,2,811,0.01
classes,2,429,0.04
arguments,2,173,0.01
regex,2,131,0.01
generic,2,381,0.02
args,2,352,0.01
simple,2,727,0.03
out,2,484,0.01
arg,2,641,0.04
err,2,44,0.0
reader,2,597,0.01
github,2,381,0.01
item,2,1055,0.02
non,2,391,0.01
image,2,285,0.01
collection,2,818,0.03
repository,2,410,0.01
observable,2,125,0.01
loading,2,146,0.01
base,2,669,0.02
tag,2,305,0.01
tree,2,562,0.02
lifecycle,2,132,0.01
junit,2,86,0.0
bean,2,1193,0.05
injected,2,63,0.01
configuration,2,88,0.0
function,2,1813,0.04
depth,2,69,0.01
linked,2,443,0.03
buf,2,2563,0.12
beans,2,119,0.01
predicate,2,1244,0.06
values,2,412,0.01
not,2,3233,0.08
http,2,1490,0.03
expression,2,1617,0.08
instances,2,331,0.03
implementation,2,80,0.01
instantiation,2,167,0.03
statement,2,471,0.02
post,2,348,0.02
meta,2,503,0.02
interceptor,2,191,0.01
callback,2,466,0.02
ref,2,806,0.04
checkout,2,119,0.01
qualifier,2,369,0.04
event,2,769,0.01
spec,2,369,0.02
input,2,1337,0.01
converter,2,241,0.01
elements,2,383,0.02
saved,2,114,0.01
sample,2,136,0.01
guice,2,152,0.02
loader,2,743,0.03
prefs,2,49,0.0
read,2,1318,0.03
location,2,324,0.01
views,2,421,0.03
preferences,2,136,0.01
holder,2,2735,0.11
cart,2,139,0.02
helper,2,870,0.03
cache,2,751,0.03
format,2,846,0.02
local,2,799,0.03
task,2,577,0.02
empty,2,1169,0.04
slice,1,680,0.06
cognifide,1,447,0.07
mapper,1,389,0.02
processor,1,488,0.02
sling,1,180,0.02
apache,1,185,0.01
servlet,1,573,0.02
resolver,1,240,0.02
execution,1,277,0.02
injectors,1,88,0.01
processors,1,116,0.01
persistence,1,124,0.01
alex,1,42,0.01
zaitsev,1,42,0.01
adg,1,42,0.01
dex,1,68,0.01
apk,1,45,0.0
files,1,212,0.01
dir,1,164,0.01
ignored,1,115,0.01
project,1,48,0.0
inner,1,61,0.01
line,1,258,0.0
zip,1,45,0.0
smali,1,20,0.0
options,1,179,0.0
movie,1,645,0.06
brianspace,1,255,0.04
movies,1,103,0.01
moviebrowser,1,201,0.04
favorite,1,195,0.02
store,1,257,0.01
observer,1,120,0.01
details,1,115,0.01
url,1,569,0.01
sizes,1,51,0.0
models,1,207,0.01
width,1,80,0.0
header,1,669,0.02
services,1,110,0.01
lifecycleservices,1,18,0.0
dispose,1,34,0.0
initialized,1,25,0.0
root,1,466,0.02
canonical,1,160,0.02
callbacks,1,28,0.0
register,1,572,0.03
unregister,1,28,0.0
zhuinden,1,5,0.0
servicetree,1,5,0.0
remove,1,486,0.02
registered,1,84,0.01
graph,1,460,0.02
circular,1,60,0.01
count,1,750,0.01
deps,1,25,0.0
dep,1,57,0.01
integer,1,655,0.01
descriptions,1,56,0.01
label,1,255,0.01
each,1,240,0.02
layers,1,12,0.0
cypher,1,12,0.0
reverse,1,32,0.0
layer,1,11,0.0
step,1,30,0.0
statistic,1,10,0.0
level,1,755,0.03
print,1,183,0.01
matches,1,99,0.01
settings,1,580,0.02
levels,1,103,0.01
enabled,1,249,0.01
pattern,1,366,0.01
loggers,1,16,0.0
streams,1,64,0.0
printing,1,16,0.0
delegates,1,15,0.0
suppressions,1,13,0.0
readonly,1,13,0.0
substring,1,377,0.03
extensions,1,17,0.0
collections,1,378,0.03
row,1,33,0.0
delegate,1,114,0.01
baos,1,9,0.0
concurrent,1,382,0.02
datakernel,1,4782,0.59
promise,1,3692,0.3
eventloop,1,1897,0.24
stats,1,1692,0.09
jmx,1,1475,0.16
supplier,1,1437,0.11
channel,1,1377,0.04
consumer,1,1377,0.07
codec,1,1153,0.07
aggregation,1,1118,0.1
attribute,1,1158,0.03
async,1,1180,0.06
length,1,1532,0.01
keys,1,461,0.02
check,1,1303,0.04
requested,1,51,0.01
easy,1,15,0.0
