keyword,doc_freq,total_freq,tfidf
set,22,4119,0.01
get,21,4604,0.0
view,19,4080,0.18
android,18,2056,0.11
override,18,1231,0.01
context,17,1573,0.04
text,16,2292,0.07
listener,16,1563,0.07
color,15,2007,0.15
layout,14,1923,0.12
com,14,1326,0.02
string,13,2136,0.0
content,12,610,0.04
activity,11,778,0.06
list,10,1538,0.01
width,10,637,0.06
support,10,347,0.04
drawable,9,761,0.11
height,9,533,0.05
state,9,665,0.03
add,8,1349,0.01
click,7,474,0.05
title,7,529,0.07
size,7,829,0.02
params,7,426,0.04
duration,7,316,0.06
show,7,508,0.07
item,7,1035,0.06
compat,7,309,0.05
create,7,566,0.03
data,6,578,0.01
border,6,383,0.07
paint,6,415,0.08
rect,6,362,0.07
adapter,6,462,0.05
graphics,6,301,0.05
background,6,313,0.06
button,6,639,0.04
animation,6,558,0.13
animator,6,425,0.1
app,6,424,0.03
start,6,464,0.02
value,6,534,0.01
bitmap,5,527,0.07
image,5,420,0.03
left,5,322,0.04
attrs,5,218,0.05
util,5,468,0.0
group,5,1263,0.11
current,5,443,0.03
name,5,1215,0.01
dialog,5,954,0.1
instance,5,331,0.02
menu,4,845,0.09
translation,4,310,0.08
widget,4,360,0.05
intent,4,446,0.04
canvas,4,367,0.08
draw,4,238,0.05
display,4,463,0.08
builder,4,353,0.01
action,4,603,0.04
utils,4,457,0.01
bar,4,342,0.05
github,4,347,0.03
resources,4,248,0.04
transition,4,229,0.05
test,4,65,0.0
junit,4,28,0.0
input,3,435,0.01
options,3,312,0.03
selected,3,392,0.07
type,3,403,0.01
position,3,437,0.04
child,3,208,0.03
interpolator,3,239,0.09
max,3,489,0.03
find,3,329,0.03
integer,3,214,0.01
circle,3,223,0.07
style,3,212,0.04
attribute,3,160,0.02
icon,3,474,0.06
res,3,280,0.03
fragment,3,572,0.06
scale,3,286,0.04
time,3,616,0.03
with,3,167,0.01
password,3,145,0.02
settings,3,450,0.05
bind,3,276,0.04
btn,3,223,0.05
org,3,69,0.0
key,3,232,0.01
saved,3,191,0.04
editor,3,92,0.02
event,3,462,0.02
java,3,708,0.0
main,3,429,0.04
source,2,277,0.02
observer,2,149,0.03
changed,2,246,0.06
recycler,2,202,0.04
holder,2,262,0.04
fab,2,158,0.06
margin,2,124,0.04
measured,2,96,0.04
right,2,224,0.03
helper,2,304,0.04
object,2,362,0.01
toolbar,2,157,0.04
array,2,332,0.01
search,2,169,0.02
client,2,110,0.01
radius,2,165,0.04
measure,2,141,0.04
spec,2,103,0.02
count,2,321,0.02
styleable,2,175,0.05
typeface,2,93,0.03
back,2,157,0.05
font,2,108,0.02
tylersuehr,2,167,0.09
sheet,2,335,0.11
bottom,2,479,0.11
items,2,194,0.02
container,2,307,0.04
box,2,86,0.01
seek,2,172,0.04
target,2,288,0.02
delay,2,164,0.04
root,2,169,0.02
order,2,115,0.02
views,2,69,0.01
first,2,178,0.03
visibility,2,175,0.04
field,2,92,0.01
gradient,2,33,0.01
dismiss,2,104,0.04
example,2,27,0.0
white,2,75,0.02
manager,2,780,0.04
theme,2,350,0.1
dark,2,254,0.11
randomappsinc,2,442,0.23
num,2,314,0.03
number,2,242,0.02
preferences,2,256,0.05
use,2,66,0.01
database,2,369,0.04
repository,2,154,0.02
request,2,233,0.01
out,2,223,0.01
and,2,249,0.04
alpha,2,151,0.04
lbl,2,241,0.08
txt,2,181,0.05
form,2,142,0.03
date,2,1021,0.08
days,2,164,0.06
day,2,182,0.05
anim,2,173,0.05
bounds,2,84,0.02
pane,2,395,0.06
cursor,2,206,0.03
shape,2,48,0.01
round,2,47,0.01
awt,2,245,0.04
component,2,301,0.03
swing,2,1042,0.16
javax,2,1001,0.08
alignment,2,192,0.05
equals,2,55,0.0
user,2,239,0.02
bundle,2,196,0.03
system,2,175,0.01
chip,1,608,0.32
chips,1,244,0.15
filtered,1,79,0.03
filter,1,129,0.01
delete,1,186,0.04
filterable,1,58,0.03
observers,1,35,0.02
avatar,1,49,0.02
label,1,305,0.02
expand,1,110,0.05
labels,1,58,0.01
buttons,1,37,0.01
touch,1,115,0.03
delegate,1,106,0.02
overlay,1,86,0.03
collapse,1,46,0.02
expanded,1,62,0.02
attr,1,85,0.02
margins,1,24,0.01
parent,1,186,0.02
json,1,203,0.01
weather,1,167,0.06
preference,1,126,0.03
tomaskostadinov,1,65,0.04
weatherapp,1,65,0.04
shared,1,94,0.02
tomorrow,1,54,0.03
http,1,51,0.0
notification,1,49,0.01
scroll,1,202,0.05
forecast,1,41,0.02
prefs,1,105,0.03
temp,1,39,0.01
city,1,37,0.01
async,1,31,0.01
response,1,62,0.0
bubble,1,88,0.03
density,1,91,0.04
bubblelayout,1,13,0.01
metrics,1,107,0.02
offset,1,205,0.02
invalidate,1,77,0.03
gravity,1,84,0.02
check,1,168,0.02
icons,1,78,0.03
checked,1,98,0.03
annotation,1,196,0.01
depth,1,520,0.14
shadow,1,265,0.1
rotation,1,276,0.07
top,1,255,0.04
path,1,187,0.0
index,1,278,0.01
configuration,1,154,0.01
relative,1,143,0.04
percent,1,107,0.03
elevation,1,118,0.04
product,1,80,0.02
binding,1,78,0.01
saulmm,1,26,0.01
cui,1,26,0.01
products,1,18,0.01
selection,1,143,0.03
resource,1,114,0.01
fake,1,16,0.01
padding,1,190,0.06
constraint,1,29,0.01
suffix,1,12,0.0
cloned,1,11,0.01
confirmation,1,14,0.01
inflater,1,173,0.03
conf,1,21,0.0
flat,1,76,0.03
edit,1,312,0.05
second,1,99,0.02
parse,1,131,0.01
visible,1,204,0.05
large,1,47,0.02
third,1,27,0.01
listner,1,20,0.01
hint,1,61,0.02
subtitle,1,58,0.02
purple,1,13,0.01
gone,1,73,0.03
method,1,66,0.0
exemple,1,7,0.0
transformation,1,94,0.03
mode,1,441,0.05
rng,1,201,0.08
excluded,1,179,0.09
randomnumbergeneratorplus,1,155,0.09
numbers,1,163,0.06
history,1,217,0.05
enabled,1,284,0.05
shake,1,122,0.06
normal,1,101,0.03
audio,1,150,0.03
snackbar,1,115,0.04
results,1,118,0.02
focus,1,125,0.04
window,1,210,0.03
person,1,276,0.07
cleanarchitecture,1,117,0.06
people,1,146,0.06
callback,1,135,0.02
empty,1,154,0.02
drag,1,69,0.02
callbacks,1,32,0.01
task,1,48,0.0
age,1,53,0.02
last,1,113,0.01
repo,1,35,0.01
all,1,134,0.02
slow,1,21,0.01
linear,1,82,0.02
rating,1,20,0.01
animate,1,115,0.04
submit,1,13,0.0
feedback,1,14,0.0
hear,1,6,0.0
comments,1,4,0.0
animated,1,24,0.01
thanks,1,4,0.0
how,1,3,0.0
fast,1,14,0.0
happy,1,3,0.0
butterknife,1,137,0.05
stop,1,56,0.01
feedbackanimsample,1,2,0.0
picker,1,595,0.18
calendar,1,243,0.06
month,1,216,0.08
wheel,1,203,0.11
single,1,188,0.04
hour,1,122,0.04
minutes,1,128,0.07
format,1,196,0.02
hours,1,101,0.04
zone,1,124,0.03
min,1,205,0.02
locale,1,132,0.03
year,1,77,0.03
nullable,1,177,0.03
step,1,121,0.02
drawn,1,72,0.04
night,1,56,0.02
clouds,1,9,0.0
mahfa,1,7,0.0
dnswitch,1,7,0.0
space,1,19,0.0
light,1,32,0.01
moon,1,7,0.0
log,1,67,0.0
sun,1,12,0.0
tag,1,34,0.0
animating,1,40,0.02
end,1,109,0.01
until,1,24,0.01
prompt,1,33,0.01
rate,1,30,0.01
typed,1,62,0.02
init,1,120,0.02
launches,1,12,0.01
ctx,1,12,0.0
marcoscg,1,8,0.0
launch,1,11,0.0
message,1,166,0.01
def,1,89,0.02
ratedialog,1,6,0.0
alert,1,18,0.0
arr,1,13,0.0
property,1,76,0.0
javafx,1,52,0.01
carousel,1,44,0.03
node,1,33,0.0
anchor,1,29,0.01
control,1,37,0.01
scene,1,84,0.01
old,1,68,0.01
auto,1,50,0.01
next,1,97,0.01
skinnable,1,19,0.01
ride,1,21,0.01
inset,1,50,0.03
children,1,21,0.0
css,1,19,0.01
mouse,1,73,0.02
toggle,1,93,0.03
arrows,1,17,0.01
meta,1,16,0.0
effect,1,31,0.01
styleables,1,14,0.01
base,1,73,0.01
timer,1,16,0.0
direction,1,40,0.01
skin,1,15,0.0
collections,1,49,0.01
names,1,489,0.04
studentpicker,1,287,0.15
lists,1,113,0.03
file,1,274,0.0
uri,1,263,0.03
choosing,1,169,0.09
columns,1,191,0.03
photo,1,153,0.04
amount,1,208,0.05
speech,1,151,0.06
language,1,147,0.03
groups,1,85,0.02
premium,1,104,0.05
roundness,1,13,0.01
contains,1,27,0.0
general,1,3,0.0
interactive,1,3,0.0
rendering,1,6,0.0
username,1,87,0.01
fill,1,68,0.02
geom,1,2,0.0
opaque,1,2,0.0
foreground,1,18,0.01
caret,1,2,0.0
predefined,1,2,0.0
insets,1,31,0.01
horizontal,1,120,0.05
constants,1,125,0.01
hints,1,2,0.0
plain,1,11,0.0
outline,1,9,0.0
table,1,321,0.02
gap,1,205,0.07
tbtn,1,197,0.1
customer,1,195,0.05
preferred,1,180,0.06
evt,1,181,0.06
account,1,158,0.03
derickfelix,1,143,0.07
bankapplication,1,143,0.07
performed,1,138,0.06
column,1,174,0.02
sql,1,151,0.02
inputs,1,124,0.03
parallel,1,119,0.03
model,1,124,0.0
leading,1,100,0.04
close,1,190,0.03
picture,1,52,0.02
share,1,29,0.01
matrix,1,102,0.01
reveal,1,9,0.0
the,1,12,0.0
extra,1,76,0.01
hide,1,122,0.04
platform,1,7,0.0
androidx,1,179,0.04
minemark,1,2,0.0
bookmovieappui,1,2,0.0
instrumentation,1,18,0.0
registry,1,34,0.0
run,1,80,0.01
appcompat,1,26,0.01
ext,1,3,0.0
instrumented,1,8,0.0
runners,1,3,0.0
runner,1,15,0.0
xpinjection,1,125,0.05
patterns,1,125,0.04
canonical,1,96,0.04
service,1,114,0.01
visitor,1,51,0.01
line,1,168,0.01
traffic,1,45,0.02
rank,1,39,0.01
modern,1,46,0.02
counter,1,46,0.01
println,1,41,0.0
command,1,37,0.0
document,1,38,0.0
map,1,180,0.0
function,1,30,0.0
stream,1,109,0.0
cluster,1,29,0.01
args,1,91,0.01
tokenizer,1,26,0.01
rectangle,1,31,0.01
concurrent,1,30,0.01
element,1,46,0.0
port,1,24,0.0
tuto,1,70,0.04
actions,1,60,0.01
showcase,1,47,0.02
pre,1,56,0.01
tree,1,63,0.01
hand,1,23,0.01
additional,1,15,0.01
ratio,1,99,0.02
shapes,1,14,0.01
fits,1,17,0.01
application,1,56,0.01
tutoshowcase,1,14,0.01
