keyword,doc_freq,total_freq,tfidf
image,36,37319,0.2
get,36,56820,0.0
set,33,21676,0.0
string,28,15932,0.0
size,26,16930,0.03
width,25,13068,0.11
color,25,17197,0.11
java,25,10350,0.0
height,24,11553,0.1
type,20,11053,0.01
list,20,12711,0.0
file,19,6257,0.01
view,17,9033,0.03
android,16,3025,0.01
override,16,8839,0.01
exception,16,5900,0.0
array,14,4914,0.01
util,14,4836,0.0
bitmap,13,2422,0.03
create,13,7743,0.03
img,13,4718,0.1
org,13,3880,0.0
buffered,12,4585,0.05
out,12,3010,0.01
max,12,9198,0.04
text,12,5592,0.01
context,12,2331,0.01
action,11,5209,0.03
add,11,10584,0.01
mat,11,31514,0.63
data,10,8720,0.01
layout,10,2880,0.02
core,10,3185,0.01
path,10,16170,0.03
value,10,12126,0.01
index,9,3655,0.01
pixel,9,4862,0.09
output,9,2399,0.01
activity,9,1029,0.01
src,9,6574,0.1
camera,9,4407,0.06
matrix,9,2459,0.02
mask,9,4912,0.09
length,9,4220,0.01
radius,8,2792,0.05
listener,8,4665,0.02
scale,8,3001,0.04
com,8,1547,0.0
opencv,8,3288,0.07
min,8,5581,0.05
frame,8,2012,0.02
point,8,5149,0.05
input,8,3252,0.01
log,8,2804,0.01
rect,8,3072,0.05
count,8,3338,0.01
result,8,5122,0.01
filter,7,6206,0.04
pixels,7,2017,0.04
event,7,3466,0.01
button,7,3211,0.02
rgb,7,3044,0.08
val,7,12670,0.14
channels,7,2600,0.05
awt,7,3845,0.06
stream,7,2281,0.01
ret,7,7871,0.11
dist,7,2637,0.05
threshold,6,2557,0.05
math,6,3642,0.04
panel,6,3700,0.04
top,6,913,0.01
intent,6,788,0.01
bar,6,1045,0.01
name,6,8916,0.01
map,6,6371,0.01
obj,6,33045,0.31
dst,6,5763,0.12
points,6,3399,0.05
vector,6,2320,0.03
border,6,2917,0.04
label,6,6129,0.04
offset,5,2231,0.02
source,5,1157,0.01
content,5,1273,0.01
transform,5,2891,0.05
start,5,2834,0.01
app,5,990,0.01
graphics,5,961,0.01
drawable,5,721,0.01
cap,5,3319,0.09
vals,5,771,0.02
mats,5,454,0.01
addr,5,1448,0.03
buff,5,1404,0.03
images,5,1875,0.04
show,5,3621,0.04
line,5,2752,0.01
click,4,898,0.01
channel,4,2264,0.02
utils,4,2697,0.01
key,4,3726,0.01
tools,4,4384,0.08
bottom,4,641,0.01
prop,4,2387,0.04
flags,4,1323,0.02
javax,4,1185,0.01
message,4,1579,0.01
find,4,1518,0.01
test,4,629,0.0
support,4,736,0.01
item,4,3128,0.01
progress,4,2386,0.03
options,4,1458,0.01
system,4,1109,0.0
target,4,993,0.01
gaussian,3,412,0.01
gradient,3,1117,0.03
sum,3,689,0.01
state,3,2302,0.01
motion,3,422,0.01
fragment,3,413,0.0
instance,3,1366,0.01
colors,3,1449,0.03
bundle,3,290,0.0
green,3,1090,0.03
red,3,1125,0.03
blue,3,1123,0.03
node,3,2868,0.01
number,3,1605,0.01
imgproc,3,499,0.01
cols,3,682,0.01
rows,3,857,0.01
var,3,5021,0.06
bgr,3,480,0.02
level,3,1322,0.01
window,3,2074,0.03
end,3,1575,0.01
base,3,1160,0.01
left,3,1076,0.01
right,3,994,0.01
seek,3,229,0.0
paint,3,1826,0.03
sample,3,739,0.01
entry,3,2245,0.01
face,3,692,0.01
criteria,3,1073,0.02
component,3,1729,0.01
swing,3,1398,0.02
factory,3,2265,0.01
icon,3,1376,0.02
model,3,4164,0.01
pane,3,3482,0.04
javafx,3,2396,0.03
builder,3,2734,0.01
transformation,3,356,0.01
,3,856,
tag,3,1332,0.01
font,3,1371,0.02
bit,3,575,0.01
from,3,2577,0.02
callback,3,1074,0.01
thread,3,1300,0.01
uri,3,1446,0.01
dialog,3,3198,0.03
current,3,2771,0.02
read,3,1223,0.01
menu,3,2866,0.02
with,3,1386,0.01
original,3,669,0.02
main,3,770,0.01
grad,2,195,0.01
kernel,2,929,0.02
mag,2,163,0.01
tan,2,56,0.0
kwidth,2,69,0.0
abs,2,543,0.01
canny,2,132,0.01
contrast,2,290,0.01
views,2,405,0.01
touch,2,243,0.01
active,2,1463,0.03
params,2,2147,0.01
draw,2,1731,0.03
sir,2,116,0.01
lib,2,4112,0.07
container,2,575,0.01
widget,2,355,0.0
mean,2,1023,0.03
mul,2,383,0.01
sub,2,1061,0.02
subtract,2,314,0.01
convert,2,712,0.02
divide,2,238,0.01
weight,2,558,0.01
cov,2,279,0.01
isubchannels,2,46,0.0
tmp,2,431,0.01
param,2,3954,0.04
gui,2,4757,0.09
comp,2,2180,0.06
tool,2,1661,0.03
angle,2,2336,0.05
config,2,597,0.0
adapter,2,887,0.01
pager,2,111,0.0
androidx,2,153,0.0
compat,2,266,0.0
resize,2,373,0.01
files,2,577,0.0
converter,2,237,0.0
not,2,494,0.0
extension,2,493,0.01
document,2,190,0.0
apache,2,75,0.0
manager,2,1767,0.01
put,2,2622,0.01
process,2,1957,0.02
connection,2,427,0.0
margin,2,329,0.01
visibility,2,411,0.01
mode,2,2220,0.02
object,2,9564,0.02
selected,2,3200,0.05
canvas,2,1835,0.03
non,2,714,0.01
code,2,1219,0.01
equals,2,1466,0.01
blur,2,644,0.02
annotation,2,796,0.01
converters,2,1028,0.02
plugin,2,952,0.01
stack,2,2809,0.02
fxml,2,56,0.0
scene,2,1788,0.02
stage,2,725,0.01
controller,2,116,0.0
col,2,983,0.01
match,2,1247,0.01
loader,2,698,0.01
storage,2,322,0.0
apply,2,961,0.02
application,2,535,0.0
url,2,446,0.0
properties,2,207,0.0
values,2,1500,0.01
table,2,2539,0.01
changed,2,1587,0.03
png,2,541,0.02
bits,2,515,0.01
block,2,894,0.01
algorithm,2,268,0.0
dimension,2,639,0.01
faces,2,121,0.0
status,2,1188,0.01
ratio,2,893,0.02
println,2,269,0.0
reader,2,505,0.0
buffer,2,1427,0.01
response,2,320,0.0
request,2,2182,0.01
async,2,205,0.0
write,2,913,0.01
net,2,772,0.01
junit,2,37,0.0
pix,1,593,0.02
all,1,2170,0.02
graidient,1,66,0.0
atan,1,69,0.0
edges,1,235,0.0
magnitude,1,204,0.01
picsize,1,43,0.0
init,1,1057,0.02
imagem,1,12,0.0
high,1,134,0.0
low,1,141,0.0
hypot,1,71,0.0
pointer,1,376,0.01
child,1,838,0.01
photo,1,321,0.01
drag,1,1129,0.03
editor,1,832,0.01
slide,1,189,0.01
emoji,1,256,0.01
brush,1,1094,0.05
sdk,1,186,0.0
drawing,1,193,0.01
picker,1,273,0.01
edge,1,1249,0.02
prev,1,550,0.01
parent,1,1439,0.02
velocity,1,98,0.0
alexei,1,104,0.01
kimo,1,87,0.0
drawer,1,229,0.01
calculus,1,82,0.0
inflater,1,243,0.0
time,1,1437,0.01
examples,1,46,0.0
elapsed,1,102,0.0
palette,1,205,0.01
saved,1,447,0.01
dominant,1,44,0.0
fragments,1,34,0.0
navigation,1,95,0.0
trans,1,119,0.0
scalar,1,939,0.03
airlight,1,45,0.0
cnl,1,54,0.0
estimate,1,271,0.01
blk,1,27,0.0
isaac,1,34,0.0
patch,1,244,0.01
clone,1,370,0.01
pixelitor,1,4614,0.18
layer,1,3992,0.06
shape,1,3892,0.07
filters,1,1436,0.02
layers,1,786,0.02
stroke,1,1753,0.04
range,1,2249,0.03
edit,1,1435,0.02
oblique,1,91,0.0
shader,1,181,0.0
setup,1,343,0.01
calligraphy,1,56,0.0
bind,1,482,0.01
thumbnailer,1,331,0.02
mime,1,209,0.0
thumbnail,1,452,0.01
uni,1,99,0.0
siegen,1,99,0.0
wineme,1,99,0.0
come,1,104,0.01
office,1,98,0.0
thumb,1,752,0.02
open,1,1564,0.02
identifier,1,59,0.0
zip,1,130,0.0
jod,1,40,0.0
types,1,172,0.0
exist,1,101,0.0
does,1,75,0.0
extensions,1,220,0.01
hashtable,1,48,0.0
visnode,1,901,0.03
user,1,1535,0.01
challenge,1,568,0.02
mission,1,542,0.02
commons,1,397,0.01
build,1,1156,0.01
paim,1,222,0.01
mouse,1,1924,0.03
repository,1,216,0.0
parms,1,28,0.0
raw,1,106,0.0
front,1,126,0.0
bring,1,11,0.0
apple,1,6,0.0
samsung,1,6,0.0
relative,1,401,0.01
btn,1,744,0.01
old,1,1049,0.02
scalediff,1,4,0.0
rotation,1,414,0.01
delta,1,476,0.01
technerd,1,3,0.0
tnimageview,1,3,0.0
qupath,1,5510,0.24
objects,1,3294,0.03
roi,1,5508,0.18
server,1,4286,0.03
property,1,3967,0.02
logger,1,3210,0.01
hierarchy,1,2336,0.07
viewer,1,2155,0.05
region,1,2136,0.04
measurement,1,1822,0.05
digest,1,110,0.0
gpu,1,89,0.0
round,1,473,0.01
glide,1,52,0.0
hash,1,1283,0.01
pool,1,352,0.0
update,1,2403,0.02
version,1,1144,0.01
vignette,1,44,0.0
diameter,1,325,0.01
crop,1,481,0.01
wasabeef,1,40,0.0
center,1,2158,0.04
pyramid,1,366,0.01
lab,1,187,0.01
boxfilter,1,36,0.0
pyr,1,400,0.02
close,1,1178,0.01
ichannels,1,32,0.0
title,1,1440,0.02
laplacian,1,132,0.0
resizable,1,73,0.0
depth,1,1528,0.03
local,1,564,0.01
landmark,1,1660,0.07
product,1,1150,0.02
database,1,490,0.0
imagecipher,1,53,0.0
skocur,1,50,0.0
encryption,1,43,0.0
args,1,431,0.0
rsa,1,34,0.0
encrypter,1,31,0.0
print,1,417,0.0
preview,1,855,0.02
