keyword,doc_freq,total_freq,tfidf
get,5,76992,0.0
exception,5,17219,0.0
string,5,35899,0.0
set,5,19824,0.0
java,5,18609,0.0
name,5,20902,0.01
node,5,22598,0.06
list,5,20375,0.01
type,5,35024,0.03
map,5,13567,0.01
util,5,16529,0.01
add,4,8580,0.0
size,4,11408,0.01
log,3,9387,0.02
data,3,9960,0.01
file,3,5777,0.0
stream,3,9543,0.02
logger,3,4752,0.01
state,3,7441,0.02
time,3,10544,0.03
message,3,5546,0.01
override,3,12926,0.01
value,3,15457,0.01
table,3,20253,0.09
builder,3,15088,0.03
org,2,7811,0.01
server,2,6374,0.03
path,2,4981,0.01
client,2,4436,0.02
request,2,3992,0.01
buffer,2,7349,0.03
event,2,2241,0.01
session,2,9254,0.05
entry,2,7208,0.03
info,2,6870,0.02
peer,2,570,0.01
block,2,10351,0.08
instance,2,5958,0.02
error,2,5830,0.02
json,2,5636,0.02
lombok,2,997,0.01
com,2,41552,0.04
field,2,14228,0.05
sql,2,17604,0.12
config,2,10119,0.03
column,2,11633,0.06
key,2,8056,0.01
cluster,2,5418,0.06
context,2,8287,0.01
metadata,2,6781,0.05
apache,1,2333,0.02
zookeeper,1,1312,0.03
keeper,1,1270,0.04
create,1,4419,0.01
stat,1,2029,0.03
quorum,1,899,0.02
zoo,1,779,0.02
test,1,1485,0.01
acl,1,664,0.02
watcher,1,622,0.01
dir,1,1014,0.01
ledger,1,589,0.01
write,1,5184,0.03
code,1,4780,0.02
count,1,5772,0.02
port,1,1301,0.01
txn,1,1103,0.03
zxid,1,470,0.01
equals,1,4187,0.02
leader,1,692,0.02
read,1,4260,0.02
blockchain,1,360,0.01
manager,1,7294,0.02
dsxt,1,203,0.01
transaction,1,3123,0.03
instances,1,275,0.0
load,1,1169,0.01
properties,1,2969,0.02
hash,1,7856,0.03
generator,1,711,0.01
blocks,1,655,0.01
url,1,623,0.0
channel,1,3034,0.02
remote,1,860,0.01
datamodel,1,89,0.0
times,1,173,0.0
current,1,3023,0.01
fabric,1,81,0.0
start,1,3865,0.01
writer,1,933,0.01
target,1,1340,0.01
strings,1,233,0.0
next,1,3194,0.02
dble,1,14011,0.52
actiontech,1,13062,0.48
service,1,9419,0.04
item,1,8074,0.03
packet,1,7497,0.08
google,1,10562,0.06
protobuf,1,6758,0.1
fields,1,3746,0.03
input,1,9118,0.02
schema,1,7634,0.08
handler,1,5422,0.02
stmt,1,4425,0.07
ucore,1,4319,0.16
result,1,6788,0.01
row,1,6619,0.04
index,1,8347,0.01
sharding,1,3895,0.14
offset,1,5251,0.03
parse,1,4381,0.03
alarm,1,3390,0.08
runtime,1,4488,0.04
corfudb,1,3767,0.1
corfu,1,3431,0.09
msg,1,3652,0.04
layout,1,3865,0.02
replication,1,2215,0.05
address,1,3002,0.02
response,1,4827,0.02
payload,1,1119,0.01
uuid,1,1795,0.02
snapshot,1,1285,0.02
utils,1,1582,0.0
params,1,1281,0.01
streams,1,542,0.01
status,1,3277,0.02
epoch,1,970,0.02
store,1,1380,0.01
presto,1,17629,0.42
facebook,1,16236,0.22
types,1,6854,0.03
handle,1,8860,0.08
,1,10297,
connector,1,6632,0.09
expression,1,6020,0.06
spi,1,5705,0.12
immutable,1,6055,0.07
operator,1,5564,0.07
non,1,6394,0.04
require,1,5217,0.08
page,1,4824,0.03
position,1,5041,0.03
source,1,5492,0.02
plan,1,7560,0.14
object,1,6067,0.01
query,1,7220,0.04
slice,1,3905,0.07
function,1,5205,0.03
columns,1,3101,0.03
