keyword,doc_freq,total_freq,tfidf
get,3,41193,0.0
org,3,32521,0.03
string,3,20776,0.0
data,3,14562,0.02
type,3,16892,0.01
com,3,8690,0.01
exception,3,14897,0.0
value,3,11721,0.01
message,3,25891,0.07
java,3,7851,0.0
set,3,16637,0.0
list,3,7370,0.0
name,3,7400,0.0
override,3,7911,0.0
device,2,30645,0.3
plugin,2,5190,0.04
builder,2,14778,0.03
request,2,15624,0.04
api,2,2760,0.01
service,2,6871,0.03
util,2,4085,0.0
result,2,5947,0.01
uuid,2,2087,0.02
logger,2,8527,0.02
configuration,2,7536,0.03
object,2,7178,0.01
status,2,5891,0.03
event,2,5868,0.02
iotp,1,6106,0.18
msg,1,6348,0.07
tenant,1,4145,0.08
entity,1,3868,0.02
rpc,1,2957,0.05
infomgt,1,2764,0.08
server,1,4307,0.02
cluster,1,2811,0.03
actor,1,2187,0.03
session,1,2813,0.02
google,1,5449,0.03
dao,1,2166,0.02
protos,1,1816,0.03
protobuf,1,5125,0.07
asset,1,1749,0.02
gen,1,1725,0.03
customer,1,1723,0.03
rule,1,1637,0.02
analytics,1,1627,0.03
ruleengine,1,1627,0.05
page,1,2523,0.02
model,1,3449,0.01
from,1,4363,0.02
credentials,1,1435,0.02
telemetry,1,1391,0.03
user,1,1962,0.01
proto,1,821,0.01
opensmartgridplatform,1,18287,0.67
response,1,16533,0.06
oslp,1,12570,0.46
dto,1,8311,0.11
identification,1,7899,0.18
domain,1,6990,0.07
adapter,1,6990,0.05
jms,1,6584,0.17
protocol,1,6569,0.07
factory,1,6519,0.02
time,1,6424,0.02
values,1,2790,0.01
firmware,1,4177,0.12
springframework,1,4776,0.03
core,1,5155,0.02
organisation,1,3879,0.14
node,1,4364,0.01
attribute,1,4330,0.03
bit,1,3998,0.04
metadata,1,3601,0.03
map,1,4353,0.0
shared,1,3530,0.04
infra,1,3379,0.09
dlms,1,3401,0.12
connection,1,3599,0.02
key,1,4650,0.01
freedomotic,1,2608,0.08
command,1,3560,0.02
add,1,4806,0.0
property,1,4772,0.02
javax,1,3436,0.02
file,1,2512,0.0
swing,1,1238,0.01
log,1,3357,0.01
layout,1,1017,0.0
group,1,1707,0.01
behavior,1,908,0.02
address,1,4585,0.03
input,1,3436,0.01
frame,1,804,0.01
pojo,1,783,0.02
action,1,2036,0.01
logic,1,759,0.02
port,1,1302,0.01
plugins,1,876,0.01
stream,1,2242,0.0
info,1,4296,0.01
path,1,1591,0.0
description,1,1765,0.01
commands,1,1008,0.01
create,1,1839,0.01
text,1,1942,0.0
repository,1,2615,0.02
