keyword,doc_freq,total_freq,tfidf
string,10,82418,0.0
get,10,79439,0.0
list,10,30786,0.01
set,10,25004,0.0
name,9,21687,0.01
map,8,31264,0.02
context,8,22513,0.04
item,8,22154,0.08
override,7,7029,0.0
object,6,17352,0.03
order,6,13516,0.15
java,6,11280,0.0
com,6,6574,0.01
view,6,17998,0.05
android,6,4030,0.02
activity,6,3451,0.02
value,5,26581,0.02
exception,5,20809,0.0
model,5,16922,0.04
product,5,19775,0.3
type,5,22064,0.02
request,5,11723,0.04
text,5,7274,0.01
layout,5,2466,0.01
response,5,10528,0.04
util,4,39512,0.02
service,4,18734,0.08
error,4,14257,0.04
log,4,8878,0.02
date,4,6429,0.04
products,4,1836,0.04
user,4,6540,0.03
adapter,4,2119,0.02
intent,4,2436,0.02
click,4,2392,0.02
listener,4,1587,0.0
support,4,1347,0.01
cart,4,7369,0.19
org,3,15572,0.02
put,3,12080,0.04
message,3,10643,0.03
add,3,10417,0.01
content,3,8224,0.03
create,3,6041,0.02
count,3,2598,0.01
color,3,2598,0.01
json,3,5785,0.02
image,3,4134,0.02
array,3,3863,0.0
data,3,6009,0.01
find,3,4554,0.03
hash,3,3506,0.01
recycler,3,1397,0.02
params,3,3844,0.02
widget,3,2996,0.03
instance,3,5255,0.02
code,3,5270,0.02
category,3,6813,0.08
utils,3,3033,0.01
client,3,4808,0.02
types,3,1756,0.01
items,3,2868,0.02
holder,3,2166,0.02
field,2,12781,0.05
append,2,12613,0.05
empty,2,8513,0.07
equals,2,8868,0.04
info,2,6761,0.02
resource,2,7398,0.05
method,2,5795,0.03
attribute,2,7953,0.05
price,2,3342,0.05
app,2,1639,0.01
dialog,2,2038,0.01
upload,2,734,0.02
task,2,1176,0.01
firebase,2,759,0.02
async,2,720,0.01
progress,2,1418,0.01
auth,2,2273,0.02
url,2,4339,0.02
key,2,8894,0.02
builder,2,4850,0.01
fragment,2,3566,0.03
call,2,4364,0.04
bind,2,1861,0.02
body,2,3107,0.03
bar,2,1574,0.01
api,2,7078,0.03
property,2,6285,0.03
annotation,2,2620,0.01
query,2,3847,0.02
status,2,3070,0.02
entity,1,21364,0.14
generic,1,15776,0.23
element,1,12422,0.06
delegator,1,11104,0.4
ofbiz,1,10938,0.45
debug,1,9429,0.09
locale,1,9475,0.13
result,1,9617,0.01
module,1,8529,0.08
condition,1,7532,0.12
validate,1,6657,0.11
base,1,5905,0.04
decimal,1,5370,0.09
misc,1,5180,0.16
big,1,5237,0.07
expose,1,30,0.0
table,1,840,0.0
serialized,1,59,0.0
integer,1,2663,0.01
preethzcodez,1,19,0.0
ecommerceexample,1,19,0.0
categories,1,1124,0.02
google,1,672,0.0
gson,1,648,0.01
exec,1,171,0.0
annotations,1,1001,0.01
sql,1,2208,0.02
tax,1,2654,0.1
ranking,1,11,0.0
variants,1,208,0.01
database,1,267,0.0
address,1,3294,0.03
rankings,1,7,0.0
size,1,4153,0.01
pojo,1,15,0.0
child,1,3064,0.03
added,1,131,0.0
shares,1,7,0.0
history,1,284,0.0
lite,1,5,0.0
mapping,1,137,0.0
fragments,1,5,0.0
sub,1,1735,0.02
test,1,2983,0.01
serial,1,516,0.01
bitmap,1,468,0.0
resources,1,599,0.01
sync,1,9280,0.16
draft,1,5939,0.24
update,1,5125,0.04
nonnull,1,2955,0.05
reference,1,3208,0.03
sphere,1,2746,0.09
custom,1,3233,0.04
commercetools,1,2316,0.1
that,1,2550,0.04
sdk,1,2446,0.04
action,1,3935,0.02
state,1,3734,0.01
keys,1,1468,0.01
drafts,1,843,0.03
options,1,3232,0.02
build,1,2458,0.01
old,1,2226,0.03
actions,1,1415,0.02
future,1,1768,0.02
customer,1,2607,0.05
with,1,2624,0.01
ctp,1,1399,0.06
statistics,1,1313,0.03
commons,1,1412,0.02
shop,1,3978,0.12
nearbyshops,1,2568,0.11
enduserappnew,1,2566,0.11
sort,1,2806,0.05
pref,1,2200,0.04
show,1,1738,0.02
delivery,1,1388,0.03
visibility,1,1485,0.02
