keyword,doc_freq,total_freq,tfidf
get,7,225284,0.0
string,7,177267,0.0
set,6,78928,0.0
context,6,35208,0.02
list,6,56527,0.01
item,6,41033,0.06
value,6,27098,0.01
utils,5,8687,0.01
util,5,30352,0.0
data,5,27510,0.01
name,5,46067,0.01
org,5,91114,0.03
exception,5,41866,0.0
type,5,33178,0.01
text,4,18688,0.01
override,4,10746,0.0
java,4,32025,0.0
add,4,31503,0.01
user,4,53241,0.09
event,4,34430,0.04
file,3,18721,0.01
view,3,17591,0.02
android,3,3107,0.0
activity,3,4805,0.01
line,3,2369,0.0
current,3,12742,0.02
map,3,24243,0.01
course,3,27820,0.26
message,3,25945,0.03
color,2,2442,0.0
dialog,2,3245,0.01
key,2,17922,0.01
action,2,11756,0.02
app,2,3161,0.01
layout,2,6546,0.01
intent,2,1468,0.0
start,2,8929,0.01
callback,2,6018,0.02
array,2,12894,0.01
content,2,18519,0.03
fragment,2,2229,0.01
edit,2,13201,0.05
path,2,11924,0.01
session,2,17592,0.04
image,2,4445,0.01
request,2,17958,0.02
service,2,40719,0.06
result,2,9376,0.01
response,2,9993,0.01
object,2,18346,0.01
time,2,16821,0.02
date,2,22909,0.05
group,2,24817,0.05
manager,2,29119,0.04
apache,2,12609,0.03
create,2,12560,0.01
url,2,14237,0.02
state,2,20310,0.02
values,2,4014,0.01
logger,2,11618,0.01
format,1,7297,0.01
pref,1,1256,0.01
pattern,1,2203,0.01
gsantner,1,514,0.01
net,1,1365,0.0
replace,1,2193,0.01
markor,1,505,0.01
dopt,1,496,0.01
files,1,1071,0.0
search,1,10817,0.03
settings,1,3191,0.01
res,1,4579,0.01
button,1,4746,0.01
preference,1,679,0.0
document,1,5071,0.02
length,1,9286,0.01
scenario,1,596,0.0
drawable,1,1040,0.0
systers,1,389,0.0
com,1,1255,0.0
powerup,1,408,0.0
source,1,8442,0.01
avatar,1,513,0.0
history,1,1133,0.01
hair,1,289,0.0
game,1,283,0.0
animator,1,264,0.0
power,1,322,0.0
animation,1,363,0.0
txt,1,503,0.0
click,1,1303,0.0
bind,1,644,0.0
points,1,2218,0.01
store,1,1115,0.0
fade,1,208,0.0
answer,1,5588,0.04
score,1,5624,0.03
progress,1,1014,0.0
dao,1,3015,0.01
cloth,1,178,0.0
update,1,6676,0.02
eye,1,164,0.0
field,1,4265,0.01
mongo,1,914,0.01
tenant,1,736,0.01
apereo,1,422,0.01
token,1,2694,0.01
sourced,1,566,0.01
openlrw,1,373,0.01
springframework,1,967,0.0
with,1,5614,0.01
http,1,6892,0.01
repository,1,10159,0.03
authentication,1,1016,0.01
and,1,4981,0.02
builder,1,6357,0.0
enrollment,1,1833,0.02
xapi,1,224,0.0
status,1,8058,0.02
security,1,7027,0.03
events,1,2155,0.01
not,1,4386,0.01
jwt,1,191,0.0
mapping,1,1113,0.01
servlet,1,7196,0.02
find,1,4063,0.01
oneroster,1,151,0.0
admin,1,3126,0.02
method,1,2948,0.01
olat,1,40561,0.61
core,1,24528,0.03
xml,1,25928,0.07
controller,1,18457,0.05
namespace,1,15826,0.08
form,1,19411,0.09
control,1,16386,0.07
node,1,21449,0.02
prefix,1,17913,0.08
gui,1,13989,0.08
ureq,1,13620,0.2
writer,1,16305,0.04
element,1,17655,0.03
identity,1,10661,0.07
lang,1,11503,0.03
stream,1,13622,0.01
append,1,16964,0.02
link,1,12527,0.06
factory,1,12748,0.02
config,1,11880,0.01
entry,1,13724,0.02
components,1,6776,0.04
container,1,11481,0.04
component,1,14154,0.04
write,1,10272,0.02
edx,1,2602,0.04
mobile,1,2500,0.02
,1,3538,
non,1,3296,0.01
video,1,1695,0.01
error,1,11162,0.01
model,1,13430,0.01
discussion,1,2935,0.04
download,1,1665,0.01
listener,1,5490,0.01
videos,1,426,0.0
put,1,14551,0.02
profile,1,4207,0.02
courses,1,377,0.0
analytics,1,683,0.01
binding,1,1779,0.01
holder,1,956,0.0
cell,1,2169,0.01
iterator,1,11811,0.04
tuple,1,303,0.0
row,1,4546,0.01
test,1,2390,0.0
armchair,1,171,0.0
generator,1,427,0.0
sheet,1,471,0.0
src,1,566,0.0
next,1,12662,0.03
statement,1,1902,0.01
workbook,1,192,0.0
types,1,2261,0.0
relvar,1,98,0.0
table,1,9535,0.02
duplicates,1,139,0.0
hssf,1,251,0.0
xssf,1,147,0.0
tests,1,121,0.0
tuples,1,37,0.0
driver,1,270,0.0
command,1,2415,0.01
count,1,6617,0.01
reader,1,7758,0.01
heading,1,234,0.0
delete,1,5418,0.03
sql,1,6213,0.02
insert,1,845,0.01
duplicate,1,249,0.0
rel,1,879,0.01
has,1,8828,0.03
site,1,33534,0.27
sakaiproject,1,27732,0.41
tool,1,22887,0.12
assessment,1,21075,0.31
resource,1,23292,0.06
log,1,21999,0.02
entity,1,15698,0.04
page,1,16842,0.05
api,1,13152,0.02
equals,1,18257,0.03
assignment,1,11455,0.12
attribute,1,16524,0.04
bean,1,11279,0.04
items,1,5041,0.02
grade,1,8556,0.13
section,1,9313,0.07
