keyword,doc_freq,total_freq,tfidf
get,4,14902,0.0
type,4,2806,0.01
override,4,1597,0.0
order,3,10257,0.52
orders,3,1952,0.19
price,3,3218,0.21
string,3,2532,0.0
time,3,1561,0.02
list,3,1804,0.0
map,3,1627,0.01
util,3,1224,0.0
value,3,1037,0.0
trade,3,1130,0.1
exception,3,1351,0.0
context,3,991,0.01
symbol,3,1501,0.09
java,3,1000,0.0
data,3,722,0.0
set,2,2264,0.0
org,2,1767,0.01
exchange,2,1543,0.11
name,2,1244,0.0
base,2,1152,0.04
state,2,1158,0.01
add,2,907,0.0
symbols,2,165,0.02
error,2,712,0.01
parse,2,248,0.01
stream,2,443,0.0
size,2,942,0.01
command,2,1625,0.04
code,2,798,0.02
api,2,1291,0.03
market,1,4386,0.48
fill,1,2415,0.22
amount,1,2043,0.16
volume,1,2051,0.18
trigger,1,1754,0.15
portfolio,1,1655,0.18
position,1,1752,0.05
entity,1,1340,0.04
specific,1,1316,0.19
count,1,1339,0.02
stop,1,1225,0.07
parent,1,1150,0.05
cryptocoinpartners,1,1113,0.17
listing,1,1086,0.17
transaction,1,1087,0.06
interval,1,1018,0.07
log,1,1190,0.01
decimal,1,1009,0.08
basis,1,882,0.13
fills,1,385,0.06
asset,1,853,0.06
dao,1,804,0.04
markets,1,182,0.02
pending,1,718,0.07
discrete,1,660,0.09
service,1,733,0.01
currency,1,868,0.09
limit,1,693,0.05
trading,1,375,0.04
series,1,288,0.02
criterion,1,211,0.02
strategy,1,456,0.03
codera,1,150,0.02
contract,1,264,0.02
quant,1,150,0.02
instant,1,587,0.05
matrix,1,244,0.01
entry,1,287,0.01
history,1,188,0.01
lst,1,95,0.01
logger,1,311,0.0
column,1,251,0.01
date,1,292,0.01
lib,1,135,0.01
available,1,135,0.01
score,1,89,0.01
observer,1,79,0.01
open,1,784,0.04
prices,1,120,0.01
last,1,744,0.03
close,1,466,0.02
controller,1,67,0.0
first,1,168,0.01
second,1,78,0.01
cmd,1,1016,0.07
event,1,726,0.01
hash,1,1025,0.02
result,1,805,0.01
user,1,417,0.01
core,1,422,0.01
events,1,248,0.01
uid,1,337,0.02
buffer,1,254,0.01
action,1,476,0.01
utils,1,271,0.0
bid,1,596,0.08
write,1,368,0.01
report,1,298,0.02
bucket,1,188,0.01
seq,1,219,0.02
common,1,279,0.01
read,1,231,0.01
serialization,1,189,0.02
binary,1,179,0.01
timestamp,1,460,0.03
lombok,1,165,0.01
ask,1,533,0.07
configuration,1,349,0.01
spec,1,173,0.01
buckets,1,111,0.01
handler,1,336,0.01
risk,1,154,0.02
processor,1,138,0.01
book,1,734,0.06
matcher,1,162,0.01
profile,1,131,0.01
record,1,567,0.02
json,1,524,0.01
view,1,654,0.01
response,1,402,0.01
xstore,1,330,0.05
message,1,452,0.01
pro,1,330,0.04
records,1,212,0.01
object,1,843,0.01
android,1,210,0.0
candle,1,206,0.03
margin,1,566,0.05
com,1,520,0.0
construction,1,155,0.02
chart,1,162,0.01
period,1,195,0.02
connector,1,145,0.01
trader,1,193,0.03
hortensie,1,125,0.02
swap,1,119,0.01
create,1,481,0.01
tick,1,262,0.02
database,1,122,0.0
server,1,113,0.0
text,1,143,0.0
streaming,1,107,0.01
login,1,102,0.01
