keyword,doc_freq,total_freq,tfidf
string,18,23361,0.0
get,18,32380,0.0
message,16,11220,0.12
java,16,4230,0.0
exception,15,8903,0.01
name,14,7394,0.02
list,13,7006,0.01
set,13,16640,0.01
util,13,4551,0.01
content,13,4144,0.06
com,12,3664,0.01
type,12,6723,0.02
override,12,7664,0.01
email,11,3134,0.14
text,9,7543,0.05
data,8,4174,0.02
value,8,4353,0.01
add,8,3966,0.01
logger,8,1668,0.02
response,7,3458,0.05
client,7,2137,0.04
send,7,1199,0.05
request,7,2111,0.02
file,6,3158,0.01
body,6,1700,0.05
key,5,3101,0.02
item,5,4803,0.06
event,5,2680,0.03
view,5,17597,0.19
context,5,13031,0.09
android,5,6179,0.08
listener,5,5041,0.05
result,5,3795,0.02
intent,5,3699,0.08
action,5,2961,0.04
object,5,2183,0.01
code,5,1668,0.02
future,4,635,0.03
size,4,4461,0.02
configuration,4,766,0.01
address,4,2602,0.08
handler,4,896,0.01
equals,4,3609,0.05
manager,4,3422,0.04
array,4,3022,0.01
uri,4,2696,0.06
map,4,2489,0.01
activity,4,2896,0.05
subject,4,902,0.05
model,4,1287,0.01
org,4,2510,0.01
mail,4,1880,0.15
template,4,827,0.03
factory,4,932,0.01
from,4,2333,0.05
stream,4,2865,0.02
json,4,2929,0.04
hash,4,1412,0.02
date,3,1636,0.03
utils,3,1349,0.01
builder,3,1921,0.01
optional,3,417,0.01
time,3,1559,0.02
base,3,739,0.02
log,3,5726,0.05
put,3,4025,0.04
,3,4776,
menu,3,3551,0.09
non,3,4416,0.11
color,3,3391,0.06
start,3,3170,0.04
find,3,2977,0.06
messages,3,968,0.04
print,3,229,0.01
recipient,3,1004,0.1
error,3,2265,0.02
image,3,1946,0.03
info,3,1827,0.02
and,3,602,0.02
service,3,1622,0.02
url,3,1265,0.02
msg,3,2043,0.08
mime,3,1235,0.08
javax,3,960,0.02
contact,3,2087,0.14
api,3,1091,0.02
completable,3,257,0.01
debug,3,817,0.03
headers,3,884,0.04
command,2,1163,0.02
hubspot,2,387,0.06
channel,2,851,0.02
search,2,1583,0.05
parse,2,1336,0.03
sequence,2,702,0.03
netty,2,182,0.01
state,2,3645,0.03
envelope,2,215,0.02
buf,2,775,0.03
folder,2,5980,0.3
