keyword,doc_freq,total_freq,tfidf
string,5,863,0.0
com,4,197,0.0
set,4,523,0.0
java,4,424,0.0
get,4,750,0.0
exception,4,430,0.0
list,3,370,0.0
response,3,401,0.03
name,3,146,0.0
util,3,300,0.0
result,3,205,0.01
data,3,499,0.01
override,3,272,0.0
message,2,132,0.01
builder,2,43,0.0
array,2,172,0.0
text,2,24,0.0
logger,2,127,0.01
session,2,116,0.01
request,2,464,0.03
value,2,656,0.01
annotation,2,251,0.03
server,2,121,0.01
key,2,1105,0.04
state,2,426,0.02
type,2,515,0.01
size,2,213,0.01
length,2,303,0.01
out,2,144,0.01
hash,2,202,0.02
log,2,140,0.01
command,2,1094,0.13
add,2,249,0.0
output,2,110,0.01
file,2,141,0.0
embed,1,58,0.03
url,1,33,0.0
discord,1,27,0.01
mrpowergamerbr,1,18,0.02
temmiewebhook,1,18,0.02
args,1,24,0.0
constructor,1,17,0.0
username,1,18,0.0
lombok,1,13,0.0
getter,1,12,0.0
avatar,1,11,0.0
all,1,65,0.01
setter,1,10,0.0
field,1,23,0.0
gson,1,18,0.0
content,1,8,0.0
title,1,6,0.0
description,1,9,0.0
embeds,1,3,0.0
thread,1,16,0.0
serialized,1,5,0.0
icon,1,4,0.0
proxy,1,8,0.0
footer,1,7,0.0
provider,1,32,0.0
author,1,13,0.0
video,1,4,0.0
thumbnail,1,4,0.0
image,1,4,0.0
fields,1,3,0.0
google,1,5,0.0
main,1,7,0.0
height,1,3,0.0
width,1,3,0.0
webhook,1,3,0.0
block,1,54,0.01
temmie,1,3,0.0
str,1,38,0.01
vertx,1,111,0.05
book,1,126,0.04
json,1,81,0.01
async,1,56,0.01
object,1,95,0.0
handler,1,64,0.01
service,1,64,0.01
context,1,79,0.0
worker,1,46,0.02
org,1,56,0.0
factory,1,48,0.0
springframework,1,32,0.01
core,1,30,0.0
routing,1,25,0.01
mvc,1,24,0.01
http,1,28,0.0
put,1,80,0.0
sql,1,23,0.0
future,1,24,0.01
router,1,25,0.01
application,1,24,0.0
verticle,1,23,0.01
req,1,18,0.0
repository,1,18,0.0
res,1,16,0.0
succeeded,1,15,0.01
bean,1,13,0.0
beans,1,11,0.0
configuration,1,13,0.0
autowired,1,11,0.0
options,1,38,0.0
spring,1,11,0.0
status,1,13,0.0
deploy,1,10,0.01
crypt,1,270,0.14
wolf,1,279,0.19
rsa,1,184,0.11
digest,1,179,0.07
debug,1,170,0.03
buffer,1,220,0.02
rng,1,161,0.09
spec,1,152,0.03
ecc,1,122,0.08
len,1,128,0.04
update,1,115,0.02
init,1,113,0.03
sha,1,109,0.07
offset,1,110,0.02
input,1,152,0.01
tmp,1,104,0.03
hmac,1,102,0.06
wolfssl,1,93,0.06
parameter,1,92,0.01
invalid,1,95,0.03
fips,1,99,0.07
algorithm,1,88,0.03
struct,1,88,0.03
illegal,1,80,0.02
aes,1,80,0.04
engine,1,76,0.02
cipher,1,77,0.03
security,1,71,0.02
wolfcrypt,1,69,0.05
curve,1,66,0.03
ready,1,66,0.03
priv,1,58,0.03
encoded,1,55,0.02
release,1,51,0.02
tonivade,1,1002,0.85
database,1,560,0.1
redis,1,474,0.19
safe,1,457,0.21
param,1,372,0.06
tiny,1,229,0.14
stream,1,171,0.01
entry,1,153,0.02
read,1,153,0.02
map,1,134,0.0
token,1,100,0.01
merge,1,100,0.04
protocol,1,80,0.02
execute,1,89,0.02
only,1,88,0.04
values,1,29,0.0
commands,1,18,0.0
databases,1,25,0.02
empty,1,67,0.01
parse,1,70,0.01
linked,1,50,0.02
rdb,1,51,0.04
old,1,47,0.01
test,1,112,0.01
project,1,82,0.02
ant,1,62,0.04
tools,1,57,0.02
teamcity,1,65,0.05
mbeddr,1,54,0.05
process,1,82,0.02
make,1,89,0.03
tasks,1,41,0.01
messages,1,31,0.01
directory,1,43,0.01
current,1,70,0.01
code,1,78,0.01
reader,1,24,0.0
path,1,29,0.0
line,1,37,0.0
files,1,17,0.0
working,1,19,0.01
suite,1,24,0.01
failed,1,24,0.01
dir,1,20,0.0
msg,1,54,0.01
finished,1,13,0.01
library,1,17,0.01
build,1,19,0.0
absolute,1,12,0.01
with,1,37,0.0
started,1,12,0.01
total,1,18,0.0
system,1,42,0.0
latch,1,21,0.01
