keyword,doc_freq,total_freq,tfidf
get,2,3363,0.0
set,2,2168,0.0
java,2,1502,0.0
org,2,2673,0.03
string,2,1638,0.0
list,2,2052,0.01
value,2,1332,0.01
add,2,1118,0.01
override,2,1112,0.01
size,2,962,0.01
util,2,1033,0.01
file,2,892,0.01
exception,2,810,0.0
name,2,946,0.01
objectives,2,585,0.22
array,2,563,0.01
individual,1,1148,0.37
core,1,1074,0.05
genotype,1,890,0.33
listener,1,660,0.02
module,1,703,0.08
inject,1,638,0.09
random,1,634,0.08
type,1,569,0.01
plot,1,522,0.13
map,1,596,0.01
optimizer,1,356,0.13
objective,1,373,0.12
config,1,428,0.02
property,1,360,0.02
result,1,521,0.01
event,1,341,0.01
google,1,315,0.02
com,1,323,0.0
values,1,206,0.01
collection,1,289,0.03
state,1,283,0.01
swing,1,287,0.04
key,1,311,0.01
panel,1,278,0.03
listeners,1,138,0.03
graphics,1,271,0.04
index,1,315,0.01
epsilon,1,298,0.07
constant,1,261,0.05
icon,1,224,0.02
line,1,283,0.01
button,1,249,0.01
awt,1,256,0.04
crossover,1,389,0.14
solution,1,1089,0.32
uma,1,865,0.43
data,1,857,0.01
observable,1,656,0.11
problem,1,843,0.2
front,1,638,0.17
jmetalsp,1,509,0.25
point,1,592,0.05
node,1,631,0.02
number,1,521,0.04
observed,1,422,0.17
algorithm,1,429,0.07
operator,1,566,0.1
dynamic,1,379,0.09
jmetal,1,356,0.18
chart,1,349,0.06
put,1,422,0.01
solutions,1,159,0.06
reference,1,337,0.04
distances,1,238,0.12
streaming,1,266,0.07
restart,1,248,0.12
observer,1,240,0.04
strategy,1,239,0.03
integer,1,462,0.02
coverage,1,232,0.08
math,1,412,0.04
max,1,470,0.02
limit,1,223,0.04
update,1,296,0.03
variables,1,234,0.05
population,1,405,0.13
evaluator,1,376,0.1
distance,1,191,0.03
