keyword,doc_freq,total_freq,tfidf
get,14,5205,0.0
string,14,2064,0.0
set,13,3331,0.0
image,11,2931,0.05
size,9,3538,0.02
camera,9,2875,0.12
view,9,1664,0.02
file,9,881,0.0
width,8,1920,0.05
height,8,1890,0.05
list,8,1810,0.0
java,8,1008,0.0
android,8,1292,0.02
face,8,1132,0.07
mat,7,13435,0.79
color,7,2479,0.05
org,7,1426,0.0
opencv,7,1412,0.1
array,7,874,0.0
create,6,843,0.01
log,6,963,0.01
core,6,800,0.01
out,6,697,0.01
frame,6,933,0.02
text,6,475,0.0
listener,6,637,0.01
context,6,741,0.0
type,5,1995,0.01
max,5,1345,0.02
img,5,869,0.05
matrix,5,1076,0.03
scale,5,718,0.03
length,5,732,0.01
faces,5,224,0.02
exception,5,796,0.0
com,5,330,0.0
activity,5,639,0.01
override,5,750,0.0
point,4,1200,0.03
vector,4,1007,0.04
min,4,830,0.02
rect,4,754,0.03
name,4,629,0.0
layout,4,366,0.01
bitmap,4,611,0.02
obj,3,15691,0.44
val,3,5270,0.17
ret,3,3673,0.15
dst,3,2198,0.13
src,3,1967,0.09
points,3,1012,0.04
vals,3,361,0.03
mats,3,170,0.01
threshold,3,719,0.04
count,3,818,0.01
mask,3,688,0.04
addr,3,805,0.04
channels,3,647,0.04
buff,3,660,0.05
object,3,625,0.0
data,3,751,0.0
border,3,564,0.03
classifier,3,277,0.02
message,3,273,0.0
start,3,343,0.0
gray,3,326,0.02
progress,3,269,0.01
index,3,410,0.0
build,3,248,0.01
app,3,367,0.01
button,3,364,0.01
dialog,3,300,0.01
click,3,305,0.01
cap,2,1462,0.11
prop,2,1087,0.05
flags,2,605,0.03
dist,2,619,0.04
converters,2,495,0.03
num,2,530,0.01
match,2,509,0.02
panel,2,106,0.0
add,2,411,0.0
buffered,2,78,0.0
open,2,412,0.02
window,2,471,0.02
awt,2,74,0.0
box,2,273,0.01
detect,2,322,0.02
database,2,57,0.0
bytedeco,2,154,0.01
javacpp,2,134,0.01
btn,2,124,0.01
storage,2,164,0.01
code,2,218,0.0
stop,2,141,0.01
output,2,285,0.0
preview,2,401,0.02
result,2,592,0.0
permission,2,223,0.01
request,2,186,0.0
util,2,498,0.0
graphics,2,168,0.01
facing,2,115,0.01
paint,2,163,0.01
detector,2,467,0.03
tag,2,625,0.01
source,2,123,0.0
google,2,61,0.0
row,2,336,0.01
input,2,282,0.0
dimension,2,79,0.0
value,2,546,0.0
feature,2,267,0.01
eigen,2,156,0.02
label,2,151,0.0
times,2,93,0.01
labels,2,228,0.01
vectors,2,51,0.0
format,2,321,0.01
stream,2,291,0.0
toast,2,137,0.01
status,2,236,0.0
show,2,182,0.01
support,2,146,0.0
classification,2,43,0.0
bar,2,184,0.01
find,2,392,0.01
seek,2,76,0.0
images,2,287,0.02
orientation,2,178,0.01
main,2,136,0.0
path,2,336,0.0
paths,2,55,0.0
criteria,1,499,0.03
train,1,654,0.04
keypoints,1,406,0.04
matches,1,415,0.03
query,1,288,0.01
idx,1,413,0.02
save,1,143,0.01
toolbar,1,29,0.0
similar,1,8,0.0
most,1,8,0.0
imgproc,1,131,0.01
should,1,15,0.0
capture,1,169,0.01
field,1,34,0.0
orb,1,56,0.01
error,1,171,0.0
drop,1,6,0.0
down,1,38,0.0
compare,1,58,0.0
fxml,1,67,0.0
ipl,1,127,0.01
grabber,1,57,0.01
body,1,45,0.0
javafx,1,46,0.0
converter,1,38,0.0
scene,1,35,0.0
haar,1,60,0.01
disable,1,77,0.01
classifer,1,28,0.0
user,1,102,0.0
seq,1,42,0.0
eye,1,72,0.01
print,1,127,0.0
fname,1,24,0.0
application,1,62,0.0
event,1,79,0.0
vision,1,188,0.02
firebase,1,162,0.01
graphic,1,110,0.01
center,1,482,0.03
overlay,1,102,0.01
detection,1,106,0.01
crop,1,85,0.01
canvas,1,212,0.01
droidmentor,1,55,0.01
metadata,1,60,0.0
mlkitfacedetection,1,55,0.01
options,1,74,0.0
position,1,94,0.0
from,1,554,0.01
training,1,170,0.01
math,1,268,0.01
abs,1,135,0.01
projected,1,57,0.01
github,1,57,0.0
wihoho,1,41,0.01
mean,1,222,0.02
decomposition,1,34,0.0
maths,1,15,0.0
pca,1,75,0.01
temp,1,323,0.01
jama,1,28,0.0
column,1,54,0.0
high,1,36,0.0
norm,1,250,0.03
dimensions,1,15,0.0
tokenizer,1,41,0.0
ort,1,19,0.0
map,1,161,0.0
mix,1,27,0.0
mode,1,288,0.01
look,1,23,0.0
compat,1,86,0.0
manifest,1,58,0.0
tracker,1,27,0.0
builder,1,156,0.0
requested,1,35,0.0
detections,1,33,0.0
test,1,164,0.0
smiling,1,14,0.0
processor,1,50,0.0
with,1,121,0.0
manager,1,237,0.0
smiled,1,7,0.0
pause,1,35,0.0
attrs,1,77,0.0
gms,1,22,0.0
check,1,285,0.01
self,1,51,0.0
granted,1,35,0.0
make,1,143,0.01
checked,1,113,0.01
method,1,261,0.0
xposed,1,54,0.0
prefs,1,61,0.0
version,1,299,0.01
enabled,1,89,0.0
cont,1,32,0.0
hook,1,28,0.0
change,1,117,0.0
param,1,104,0.0
group,1,98,0.0
compound,1,50,0.0
radio,1,71,0.01
helpers,1,22,0.0
bridge,1,121,0.01
cls,1,20,0.0
delay,1,27,0.0
update,1,89,0.0
item,1,153,0.0
theme,1,20,0.0
call,1,36,0.0
drawer,1,39,0.0
child,1,37,0.0
notif,1,14,0.0
unlock,1,21,0.0
widget,1,134,0.0
pref,1,14,0.0
vib,1,14,0.0
pak,1,14,0.0
notifs,1,12,0.0
key,1,372,0.0
callback,1,462,0.01
surface,1,313,0.01
task,1,106,0.0
state,1,325,0.0
info,1,216,0.0
contains,1,72,0.0
put,1,277,0.0
preferences,1,48,0.0
files,1,98,0.0
read,1,230,0.0
buffer,1,227,0.0
copy,1,89,0.0
content,1,243,0.0
standard,1,100,0.01
weighted,1,114,0.01
pixel,1,111,0.01
similarity,1,61,0.01
col,1,219,0.01
sum,1,121,0.01
types,1,45,0.0
trainer,1,60,0.01
highgui,1,56,0.01
rows,1,192,0.01
system,1,141,0.0
cols,1,128,0.01
println,1,79,0.0
load,1,254,0.01
weight,1,114,0.01
ids,1,13,0.0
minhaskamal,1,10,0.0
gender,1,24,0.0
recognizer,1,79,0.01
library,1,104,0.01
folder,1,25,0.0
integer,1,134,0.0
variety,1,11,0.0
medium,1,10,0.0
substring,1,23,0.0
features,1,129,0.01
space,1,110,0.01
gbc,1,54,0.0
