keyword,doc_freq,total_freq,tfidf
get,10,7274,0.0
font,10,5269,0.37
string,9,4928,0.0
text,8,2593,0.03
context,8,1119,0.01
android,7,1415,0.03
set,7,3430,0.0
view,6,2829,0.05
com,6,2376,0.01
util,6,1131,0.0
array,6,1193,0.01
list,5,3258,0.01
override,5,1495,0.0
file,5,3037,0.01
exception,5,1747,0.0
java,5,2596,0.0
style,4,1281,0.08
listener,4,1449,0.02
size,4,1557,0.01
activity,4,468,0.01
name,4,3164,0.01
fonts,4,242,0.05
type,4,1094,0.01
support,4,144,0.01
app,4,297,0.01
typeface,4,261,0.03
create,4,612,0.01
content,4,485,0.01
image,3,2294,0.06
edit,3,1573,0.1
start,3,1417,0.03
item,3,1758,0.04
length,3,1726,0.02
out,3,2756,0.05
org,3,121,0.0
event,3,1279,0.02
input,3,1013,0.01
stream,3,1600,0.02
button,3,788,0.02
test,3,118,0.0
utils,3,185,0.0
width,3,1182,0.04
value,3,1059,0.0
output,3,1482,0.03
map,3,2024,0.01
manager,3,267,0.01
custom,3,116,0.01
with,3,332,0.01
typed,3,97,0.01
attrs,3,99,0.01
attribute,3,106,0.0
graphics,3,157,0.01
end,2,1136,0.04
color,2,1096,0.03
layout,2,1284,0.03
line,2,1228,0.03
drawable,2,397,0.02
uri,2,297,0.01
tag,2,419,0.01
read,2,1267,0.04
system,2,848,0.02
println,2,967,0.03
parser,2,181,0.01
table,2,2826,0.08
fontname,2,20,0.0
plugin,2,33,0.0
result,2,249,0.0
not,2,101,0.0
found,2,43,0.0
dialog,2,452,0.02
fragment,2,199,0.01
intent,2,306,0.01
log,2,220,0.0
key,2,4019,0.04
error,2,203,0.0
progress,2,139,0.01
data,2,2203,0.01
code,2,1197,0.03
height,2,841,0.03
write,2,1268,0.04
current,2,395,0.01
add,2,2146,0.01
point,2,1171,0.05
action,2,1212,0.03
instance,2,302,0.01
asset,2,55,0.0
application,2,78,0.0
module,2,123,0.01
compat,2,123,0.01
styleable,2,52,0.01
junit,2,32,0.0
attributes,2,114,0.01
from,2,318,0.01
hash,2,435,0.01
attr,2,144,0.01
runnable,2,74,0.01
span,1,2272,0.25
are,1,1817,0.26
spans,1,732,0.1
editable,1,930,0.16
chinalwb,1,742,0.14
styles,1,401,0.06
tool,1,633,0.05
toolbar,1,425,0.04
number,1,752,0.02
checked,1,322,0.04
video,1,309,0.02
html,1,578,0.05
click,1,309,0.01
