keyword,doc_freq,total_freq,tfidf
get,5,8063,0.0
set,5,3230,0.0
java,4,1330,0.0
key,4,1593,0.02
util,4,824,0.0
name,4,1345,0.0
string,4,6763,0.0
path,4,1511,0.02
org,4,1636,0.01
exception,3,820,0.0
map,3,1152,0.0
list,3,1734,0.0
value,3,1365,0.01
utils,3,1030,0.01
file,3,1533,0.01
com,2,1682,0.01
method,2,366,0.01
target,2,128,0.0
check,2,809,0.03
object,2,375,0.0
field,2,1030,0.02
override,2,976,0.0
request,2,1240,0.02
http,2,708,0.02
message,2,1144,0.02
event,2,594,0.01
url,2,1910,0.04
core,2,1092,0.02
files,2,490,0.02
api,2,426,0.01
resource,2,2117,0.08
data,2,869,0.01
model,2,693,0.01
testing,1,121,0.02
service,1,400,0.01
google,1,128,0.0
test,1,101,0.0
services,1,236,0.02
module,1,80,0.0
annotation,1,242,0.01
lang,1,82,0.0
scope,1,44,0.0
acai,1,28,0.01
immutable,1,40,0.0
inject,1,96,0.01
tear,1,24,0.0
runtime,1,57,0.0
down,1,33,0.0
common,1,181,0.01
injector,1,38,0.0
before,1,36,0.0
environment,1,32,0.0
retention,1,26,0.0
clazz,1,76,0.01
bound,1,17,0.0
graph,1,30,0.0
reference,1,158,0.01
instance,1,274,0.01
scoped,1,15,0.0
dependency,1,15,0.0
methods,1,71,0.01
bind,1,28,0.0
collect,1,68,0.01
vertices,1,12,0.0
invoke,1,50,0.01
create,1,265,0.0
mangoo,1,535,0.11
objects,1,343,0.02
exchange,1,291,0.03
required,1,285,0.03
response,1,501,0.01
time,1,422,0.01
non,1,261,0.01
require,1,234,0.02
template,1,248,0.01
,1,305,
server,1,239,0.01
cookie,1,240,0.02
config,1,397,0.01
route,1,185,0.02
authentication,1,214,0.02
application,1,253,0.01
with,1,431,0.01
handler,1,198,0.01
cache,1,228,0.01
attachment,1,167,0.02
log,1,201,0.0
values,1,190,0.0
controller,1,154,0.01
content,1,552,0.01
headers,1,218,0.01
date,1,421,0.01
length,1,375,0.0
header,1,154,0.01
messages,1,93,0.01
put,1,284,0.0
task,1,209,0.01
distribution,1,168,0.02
install,1,155,0.02
directory,1,220,0.01
yarn,1,120,0.02
siouan,1,101,0.02
node,1,150,0.0
frontendgradleplugin,1,101,0.02
entry,1,292,0.01
extension,1,212,0.01
archiver,1,83,0.02
tasks,1,50,0.0
settings,1,84,0.0
property,1,441,0.01
input,1,482,0.01
stream,1,359,0.0
script,1,145,0.01
context,1,304,0.0
executable,1,56,0.01
gradle,1,49,0.01
zip,1,50,0.01
project,1,69,0.0
archivers,1,35,0.01
optional,1,262,0.01
enabled,1,213,0.01
archive,1,40,0.01
nio,1,103,0.01
version,1,191,0.01
checksum,1,35,0.01
found,1,88,0.01
not,1,269,0.01
resolver,1,201,0.02
tar,1,33,0.01
frontend,1,32,0.01
grid,1,4435,0.33
constraints,1,4227,0.41
sizepolicy,1,2116,0.49
bundle,1,1692,0.09
button,1,2023,0.05
add,1,2431,0.01
text,1,1554,0.02
can,1,1516,0.21
box,1,1425,0.07
selected,1,1168,0.08
panel,1,1084,0.05
action,1,1027,0.02
label,1,1073,0.03
logger,1,1320,0.02
grow,1,852,0.2
shrink,1,771,0.14
pane,1,775,0.05
fill,1,714,0.08
anchor,1,710,0.09
from,1,760,0.03
layout,1,621,0.02
font,1,574,0.04
fields,1,383,0.02
load,1,176,0.01
listener,1,558,0.01
cmdparams,1,511,0.12
image,1,634,0.02
table,1,508,0.01
fixed,1,498,0.07
texts,1,176,0.03
menu,1,469,0.02
radio,1,459,0.06
index,1,555,0.01
page,1,1913,0.08
product,1,1657,0.14
category,1,1415,0.1
commerce,1,1323,0.31
adobe,1,1285,0.24
components,1,872,0.08
sling,1,950,0.17
models,1,723,0.05
type,1,908,0.0
query,1,910,0.03
search,1,784,0.04
apache,1,752,0.03
filter,1,751,0.03
graphql,1,621,0.09
component,1,673,0.03
params,1,785,0.03
servlet,1,477,0.02
magento,1,486,0.11
products,1,191,0.02
format,1,649,0.02
client,1,421,0.01
impl,1,460,0.02
sku,1,407,0.07
item,1,744,0.02
identifier,1,382,0.03
annotations,1,364,0.03
price,1,360,0.03
wcm,1,350,0.07
