keyword,doc_freq,total_freq,tfidf
java,24,1949,0.0
get,22,3761,0.0
override,21,4313,0.01
com,20,4572,0.02
util,20,1714,0.0
string,18,4045,0.0
map,18,3819,0.01
list,14,3399,0.0
function,14,4536,0.11
value,14,4116,0.01
exception,13,3224,0.0
apply,12,2975,0.19
predicate,11,1642,0.08
,11,1681,
object,11,1958,0.01
name,10,2113,0.01
functions,10,1751,0.12
consumer,10,1431,0.07
empty,10,1048,0.04
result,9,3100,0.02
test,9,369,0.01
optional,8,1184,0.05
org,8,787,0.0
element,8,2250,0.04
code,8,974,0.02
data,7,875,0.0
type,7,3693,0.01
add,7,1133,0.0
left,7,701,0.03
equals,7,812,0.01
supplier,7,903,0.07
non,7,764,0.02
accept,7,314,0.02
builder,7,1485,0.01
hash,7,953,0.02
key,7,2363,0.02
set,7,906,0.0
match,6,1016,0.04
service,6,224,0.0
integer,6,597,0.01
message,6,257,0.0
first,6,1324,0.06
mapper,6,352,0.01
run,6,315,0.01
action,6,293,0.01
model,6,863,0.01
annotation,6,379,0.01
length,6,983,0.01
error,5,407,0.01
stream,5,946,0.01
right,5,639,0.03
second,5,1041,0.07
objects,5,599,0.02
either,5,876,0.11
runtime,5,268,0.01
maybe,5,1060,0.11
throwable,5,438,0.03
reactivex,5,342,0.03
with,5,580,0.01
call,5,201,0.01
method,5,707,0.01
lang,5,304,0.01
other,5,609,0.03
factory,5,336,0.01
from,5,497,0.01
index,5,1999,0.01
text,4,223,0.0
pair,4,431,0.02
all,4,419,0.01
iterator,4,1258,0.05
checked,4,460,0.04
functional,4,298,0.03
single,4,140,0.01
utils,4,669,0.01
prime,4,594,0.05
source,4,5728,0.12
collection,4,785,0.03
api,3,447,0.01
append,3,680,0.01
future,3,159,0.01
json,3,346,0.01
filter,3,245,0.01
throwing,3,331,0.05
third,3,603,0.07
fourth,3,471,0.08
require,3,304,0.02
operator,3,650,0.04
runnable,3,109,0.01
nullable,3,230,0.01
arg,3,228,0.01
lift,3,254,0.04
parameter,3,468,0.01
callable,3,183,0.02
parameters,3,118,0.0
and,3,309,0.01
obj,3,505,0.02
constructor,3,593,0.03
adt,3,980,0.14
types,3,315,0.01
processor,3,468,0.02
elements,3,265,0.01
build,3,246,0.01
javax,3,274,0.01
simple,3,357,0.02
pacoworks,3,213,0.04
