keyword,doc_freq,total_freq,tfidf
get,22,101430,0.0
set,22,38793,0.01
type,21,28739,0.03
string,20,56646,0.0
value,18,23910,0.02
name,18,27761,0.02
java,18,19718,0.0
list,17,20373,0.01
util,17,13949,0.01
add,16,17995,0.01
file,16,29173,0.03
exception,15,26005,0.01
map,15,19604,0.02
object,15,20831,0.04
override,14,20181,0.01
result,11,12401,0.02
com,11,14732,0.02
color,11,6801,0.04
height,10,6091,0.05
size,9,10384,0.01
width,9,6207,0.05
game,9,11639,0.19
event,9,9967,0.03
array,9,8681,0.01
org,8,38918,0.04
key,8,12109,0.03
data,8,13244,0.02
listener,8,9791,0.03
item,7,8156,0.03
buffer,7,9948,0.06
component,7,9179,0.07
text,7,6492,0.01
context,6,13192,0.03
utils,6,6390,0.01
logger,6,7717,0.03
image,6,6376,0.03
index,6,10361,0.02
path,5,10344,0.02
engine,5,4614,0.05
table,5,4735,0.03
log,5,6563,0.02
builder,5,9250,0.02
input,5,9050,0.02
element,5,6287,0.03
core,5,5066,0.02
model,5,9812,0.03
stream,5,8448,0.02
node,4,8763,0.03
source,4,8638,0.05
entity,4,5048,0.04
sprite,4,2276,0.06
menu,4,2716,0.02
awt,4,2038,0.03
length,4,6278,0.01
max,4,4986,0.02
graphics,4,2158,0.03
descriptor,4,6852,0.08
offset,4,7325,0.06
append,4,4396,0.02
texture,4,5321,0.07
vertex,4,2145,0.03
view,4,3406,0.01
scene,4,3543,0.04
property,4,8332,0.04
position,4,4846,0.03
action,4,8339,0.04
factory,4,8627,0.04
point,4,2120,0.02
method,4,11369,0.06
json,4,2564,0.01
resource,3,8630,0.06
common,3,5969,0.05
error,3,6584,0.02
service,3,4810,0.02
info,3,6769,0.02
instance,3,6857,0.03
message,3,7218,0.02
manager,3,5619,0.02
tile,3,5027,0.09
screen,3,2585,0.04
mouse,3,1686,0.03
draw,3,1951,0.03
camera,3,1809,0.02
gdx,3,4614,0.11
badlogic,3,2618,0.07
tag,3,3372,0.02
read,3,4631,0.03
layout,3,3161,0.02
render,3,3859,0.07
create,3,7767,0.03
config,3,3989,0.02
base,3,5389,0.04
feature,3,4023,0.05
group,3,3520,0.02
collection,3,5082,0.05
xml,3,3236,0.03
editor,3,2454,0.04
code,3,5212,0.02
layer,3,2166,0.03
frame,3,5314,0.04
commons,3,1370,0.02
swing,3,1710,0.02
tree,3,7008,0.06
start,3,6922,0.03
time,2,5644,0.02
param,2,2722,0.02
client,2,3987,0.02
execution,2,3226,0.05
params,2,2118,0.01
api,2,10367,0.05
version,2,6550,0.05
world,2,1942,0.03
pos,2,3297,0.03
tiles,2,735,0.02
count,2,3904,0.02
items,2,1464,0.01
light,2,1029,0.02
next,2,3330,0.02
player,2,1618,0.02
template,2,1053,0.01
math,2,3986,0.04
types,2,1805,0.01
handler,2,3692,0.02
debug,2,4273,0.04
column,2,2766,0.02
asset,2,1847,0.03
assets,2,1311,0.03
num,2,2902,0.02
shader,2,2556,0.05
handle,2,3588,0.04
bit,2,3361,0.05
uniform,2,1154,0.03
command,2,3754,0.02
collision,2,1930,0.05
not,2,2480,0.02
behavior,2,3266,0.08
condition,2,1980,0.03
loader,2,4768,0.06
objects,2,1118,0.01
root,2,4216,0.04
operator,2,770,0.01
transform,2,1975,0.03
application,2,1799,0.01
state,2,6066,0.02
points,2,848,0.01
field,2,5961,0.03
javax,2,1926,0.01
signature,2,1050,0.02
panel,2,2500,0.02
igormaznitsa,2,583,0.02
button,2,2760,0.01
writer,2,4265,0.03
output,2,6358,0.02
tmp,2,1431,0.02
location,2,2988,0.03
side,2,1133,0.03
controller,2,2257,0.02
sound,2,2117,0.05
vector,2,1632,0.02
body,2,1945,0.02
internal,2,13341,0.16
task,2,8742,0.07
thread,2,2537,0.02
url,2,2226,0.01
attribute,2,1861,0.01
project,2,8171,0.09
token,2,2880,0.02
out,2,4096,0.02
scale,2,1596,0.02
current,2,4952,0.03
var,2,1771,0.02
linkis,1,6591,0.27
apache,1,7163,0.06
label,1,5878,0.04
job,1,3548,0.04
user,1,3883,0.02
request,1,3609,0.01
persistence,1,1815,0.03
udf,1,1270,0.04
right,1,1833,0.02
left,1,2159,0.02
inventory,1,397,0.01
store,1,1491,0.02
dreamblocks,1,110,0.0
top,1,1265,0.02
tool,1,2483,0.04
bottom,1,620,0.01
lighting,1,177,0.01
hand,1,159,0.0
random,1,1030,0.01
ray,1,224,0.01
sun,1,286,0.01
riiablo,1,6203,0.25
packet,1,1844,0.03
bits,1,1809,0.03
entry,1,5216,0.03
stat,1,1301,0.03
channel,1,1916,0.02
format,1,6759,0.04
oreon,1,2009,0.09
device,1,2536,0.03
lwjgl,1,1690,0.06
pipeline,1,1058,0.02
vulkan,1,893,0.04
buffers,1,325,0.01
memory,1,1310,0.02
bind,1,1326,0.01
opengl,1,673,0.02
attachment,1,578,0.01
sampler,1,594,0.02
stage,1,1686,0.03
mesh,1,661,0.02
compute,1,771,0.02
properties,1,3040,0.02
sets,1,722,0.02
queue,1,1497,0.02
constants,1,987,0.01
lionengine,1,3220,0.11
media,1,1040,0.01
graphic,1,882,0.02
check,1,2285,0.02
integer,1,3914,0.02
surface,1,783,0.01
lion,1,495,0.02
transition,1,574,0.01
services,1,1372,0.02
,1,1878,
groups,1,445,0.01
the,1,7090,0.14
mirkosertic,1,2862,0.13
gameengine,1,2396,0.11
lua,1,2122,0.06
runtime,1,2261,0.02
rule,1,4109,0.05
loop,1,1137,0.03
creator,1,1004,0.02
unit,1,1026,0.01
kiwa,1,143,0.01
ret,1,728,0.01
tech,1,143,0.0
content,1,1904,0.01
level,1,4115,0.04
empty,1,2824,0.03
sql,1,994,0.01
trim,1,309,0.01
word,1,188,0.0
drools,1,69,0.0
express,1,110,0.01
equals,1,3735,0.02
comparison,1,246,0.01
etyl,1,301,0.01
harium,1,289,0.01
font,1,1959,0.03
src,1,1088,0.02
buffered,1,982,0.01
full,1,761,0.02
colors,1,392,0.01
fraction,1,148,0.0
shadow,1,801,0.02
angle,1,1254,0.02
affine,1,204,0.01
update,1,3373,0.03
reg,1,719,0.02
stack,1,2229,0.02
local,1,2915,0.03
jjjvm,1,400,0.02
number,1,2401,0.02
constant,1,1168,0.02
methods,1,891,0.01
fields,1,793,0.01
klazz,1,94,0.0
record,1,682,0.01
pool,1,1626,0.02
throwable,1,1819,0.03
formatted,1,276,0.01
obj,1,1608,0.01
parser,1,3836,0.03
counter,1,505,0.01
niara,1,149,0.01
stats,1,634,0.01
parsers,1,187,0.0
reader,1,2908,0.02
keys,1,1182,0.01
latch,1,153,0.0
grok,1,104,0.0
logs,1,105,0.0
date,1,1906,0.01
transformer,1,1102,0.02
pattern,1,1976,0.02
executor,1,1792,0.03
parse,1,1557,0.01
blocking,1,265,0.01
gurkenlabs,1,1882,0.09
litiengine,1,1592,0.07
environment,1,1768,0.03
listeners,1,1018,0.02
box,1,2445,0.03
resources,1,1402,0.02
emitter,1,642,0.02
strings,1,548,0.01
move,1,1307,0.03
square,1,519,0.02
evaluator,1,377,0.01
games,1,335,0.01
leokom,1,268,0.01
moves,1,184,0.01
chess,1,229,0.01
brain,1,192,0.01
piece,1,181,0.01
rank,1,139,0.0
legal,1,138,0.01
squares,1,102,0.0
direction,1,1261,0.02
from,1,2751,0.02
normalized,1,363,0.01
pawn,1,88,0.0
range,1,1057,0.01
opponent,1,71,0.0
generic,1,449,0.01
evaluators,1,26,0.0
attacked,1,75,0.0
pieces,1,53,0.0
king,1,58,0.0
moved,1,282,0.01
initial,1,553,0.01
jtrfp,1,3270,0.13
trcl,1,3125,0.13
target,1,5364,0.03
system,1,5884,0.02
change,1,2472,0.03
delegate,1,2625,0.05
gpu,1,1069,0.03
features,1,741,0.01
shell,1,832,0.02
window,1,1700,0.02
robot,1,872,0.03
team,1,849,0.02
bullet,1,412,0.01
radius,1,936,0.02
bullets,1,173,0.01
flat,1,518,0.01
locs,1,245,0.01
loc,1,652,0.02
spawned,1,232,0.01
battlecode,1,210,0.01
health,1,501,0.01
print,1,1482,0.01
indicator,1,218,0.0
end,1,3986,0.03
round,1,403,0.01
match,1,1412,0.02
robots,1,59,0.0
can,1,987,0.03
trees,1,124,0.0
javafx,1,722,0.01
platform,1,2323,0.04
chart,1,134,0.0
control,1,1088,0.01
run,1,2001,0.02
later,1,272,0.01
whitewoodcity,1,108,0.0
future,1,569,0.01
script,1,2333,0.03
axis,1,706,0.01
bitmap,1,504,0.01
android,1,716,0.0
anim,1,634,0.01
lfk,1,173,0.01
justweengine,1,173,0.01
paint,1,369,0.01
rect,1,728,0.01
sub,1,1737,0.02
canvas,1,608,0.01
web,1,1008,0.01
server,1,2236,0.01
touch,1,430,0.01
gradle,1,22648,0.54
module,1,6274,0.07
artifact,1,4351,0.11
spec,1,5778,0.07
tasks,1,3152,0.06
dependency,1,5033,0.1
artifacts,1,2794,0.08
files,1,2824,0.02
test,1,4612,0.02
build,1,4890,0.03
configuration,1,4126,0.02
dir,1,4816,0.05
plugin,1,3360,0.03
cache,1,4849,0.04
instruction,1,5793,0.12
register,1,5081,0.07
dex,1,3315,0.09
reference,1,4492,0.05
opcode,1,2414,0.06
names,1,2330,0.02
codes,1,1860,0.04
droidefense,1,2134,0.06
follow,1,2134,0.05
write,1,4357,0.03
adaptor,1,1858,0.05
registers,1,824,0.02
retval,1,1771,0.05
res,1,2253,0.02
immutable,1,1977,0.03
annotation,1,3548,0.02
spimedb,1,675,0.02
values,1,2533,0.01
min,1,2968,0.02
cluster,1,745,0.01
row,1,1525,0.01
matrix,1,1224,0.01
distance,1,987,0.01
col,1,454,0.01
self,1,372,0.01
hash,1,5567,0.03
theta,1,312,0.01
terrain,1,967,0.03
mundus,1,460,0.02
mbrlabs,1,395,0.01
splat,1,235,0.01
meta,1,3452,0.04
batch,1,1197,0.02
widget,1,488,0.01
material,1,398,0.01
picker,1,158,0.0
term,1,2215,0.04
prol,1,1294,0.06
predicate,1,1257,0.02
goal,1,686,0.02
terms,1,214,0.01
struct,1,733,0.01
jprol,1,472,0.02
choice,1,484,0.02
find,1,1864,0.01
atom,1,484,0.01
non,1,1135,0.01
arg,1,1486,0.02
args,1,3061,0.02
same,1,340,0.01
chunk,1,1524,0.02
bombinggames,1,724,0.03
wurfelengine,1,645,0.03
coord,1,807,0.03
cell,1,1117,0.01
block,1,2811,0.03
vertices,1,1313,0.03
region,1,984,0.02
blocks,1,468,0.01
compound,1,299,0.01
idx,1,752,0.01
