keyword,doc_freq,total_freq,tfidf
get,12,19932,0.0
set,10,7088,0.0
string,10,6518,0.0
override,10,8091,0.01
add,9,3312,0.01
list,8,2532,0.0
game,7,6643,0.3
player,7,3353,0.13
type,6,1747,0.0
color,6,2444,0.04
name,6,4945,0.01
width,5,3234,0.07
height,5,3359,0.08
com,5,1119,0.0
image,5,1236,0.02
java,5,2202,0.0
exception,5,2593,0.0
util,5,2789,0.0
manager,5,2713,0.03
data,5,3082,0.01
key,5,3628,0.02
tile,4,5524,0.3
size,4,3553,0.01
item,4,1699,0.02
length,4,1520,0.01
value,4,3434,0.01
context,4,2552,0.02
result,4,2514,0.01
state,4,3171,0.03
texture,4,2843,0.11
org,4,4851,0.01
map,4,3315,0.01
tiles,3,546,0.04
right,3,1212,0.04
screen,3,2068,0.1
math,3,1162,0.03
android,3,1046,0.01
activity,3,642,0.01
intent,3,588,0.01
listener,3,2173,0.02
layout,3,1705,0.02
array,3,2513,0.01
content,3,952,0.01
code,3,1443,0.02
api,3,4310,0.06
entity,3,4141,0.09
layer,3,2642,0.1
net,3,911,0.02
event,3,2123,0.02
play,3,254,0.01
time,3,1139,0.01
input,3,2500,0.02
object,3,2307,0.01
index,3,2864,0.02
gdx,3,1888,0.13
config,3,1062,0.01
file,3,2078,0.01
sprite,2,904,0.07
world,2,3665,0.18
pos,2,619,0.02
left,2,1219,0.03
mouse,2,879,0.04
draw,2,940,0.04
top,2,623,0.02
light,2,686,0.05
bottom,2,1207,0.06
camera,2,337,0.01
max,2,1506,0.02
source,2,1475,0.02
graphics,2,1488,0.05
types,2,182,0.0
view,2,2469,0.02
text,2,2423,0.02
progress,2,498,0.02
typeface,2,283,0.02
drawable,2,358,0.01
application,2,502,0.01
dialog,2,253,0.01
google,2,321,0.01
position,2,1071,0.02
gui,2,1419,0.07
instance,2,1286,0.02
component,2,3158,0.07
render,2,3781,0.19
scene,2,424,0.01
current,2,946,0.01
speed,2,159,0.01
path,2,706,0.0
button,2,2475,0.04
system,2,805,0.01
shared,2,265,0.01
score,2,154,0.01
error,2,509,0.0
core,2,2197,0.03
pending,2,76,0.0
equals,2,903,0.01
split,2,182,0.01
sign,2,238,0.01
games,2,308,0.03
font,2,1441,0.06
utils,2,1585,0.01
inventory,1,438,0.03
store,1,159,0.0
dreamblocks,1,110,0.01
count,1,486,0.01
menu,1,390,0.01
items,1,190,0.01
tool,1,282,0.01
next,1,1087,0.02
lighting,1,96,0.01
hand,1,93,0.01
random,1,577,0.02
awt,1,72,0.0
template,1,192,0.01
ray,1,152,0.01
sun,1,65,0.0
handler,1,653,0.01
questions,1,390,0.03
helper,1,353,0.01
tab,1,862,0.03
adapter,1,346,0.01
click,1,404,0.01
demo,1,271,0.01
find,1,490,0.01
log,1,1005,0.01
qid,1,217,0.02
all,1,912,0.02
visibility,1,568,0.03
pager,1,159,0.01
integer,1,591,0.01
media,1,182,0.01
tabs,1,161,0.01
response,1,343,0.0
purchase,1,134,0.01
ellpeck,1,3657,0.42
rockbottom,1,3656,0.42
resource,1,1569,0.03
chunk,1,873,0.04
renderer,1,1358,0.07
packet,1,732,0.03
buf,1,629,0.02
rock,1,616,0.07
asset,1,1333,0.06
info,1,1007,0.01
chat,1,514,0.03
intern,1,477,0.05
recipe,1,442,0.04
glfw,1,1409,0.14
mod,1,401,0.03
assets,1,550,0.04
bomberman,1,80,0.01
scale,1,850,0.03
constants,1,268,0.01
boundary,1,42,0.0
global,1,54,0.0
animations,1,75,0.01
bomb,1,59,0.01
move,1,135,0.01
javafx,1,52,0.0
direction,1,346,0.02
box,1,749,0.02
contains,1,752,0.03
rect,1,251,0.01
bounded,1,19,0.0
inputs,1,62,0.0
sheet,1,34,0.0
keyboard,1,311,0.02
sandbox,1,19,0.0
percent,1,37,0.0
reduce,1,40,0.0
rectangle,1,475,0.03
black,1,62,0.0
transition,1,578,0.03
enemy,1,122,0.01
out,1,582,0.01
slick,1,96,0.01
javagame,1,79,0.01
field,1,1554,0.02
println,1,235,0.0
tiborsimon,1,79,0.01
director,1,72,0.01
explosion,1,75,0.01
spark,1,74,0.0
newdawn,1,52,0.01
bullet,1,62,0.0
outline,1,59,0.0
delta,1,497,0.03
pressed,1,203,0.02
pool,1,581,0.02
base,1,265,0.01
level,1,563,0.02
based,1,95,0.01
nickrout,1,102,0.01
shortstories,1,102,0.01
scenario,1,106,0.01
story,1,106,0.01
binding,1,115,0.0
choice,1,91,0.01
shortcut,1,72,0.01
achievements,1,90,0.01
preferences,1,190,0.01
notification,1,55,0.0
support,1,189,0.0
compat,1,152,0.01
bitmap,1,182,0.01
xml,1,601,0.01
res,1,158,0.0
emoji,1,67,0.01
icon,1,177,0.01
stories,1,31,0.0
finish,1,108,0.01
show,1,136,0.0
shortcuts,1,18,0.0
bits,1,348,0.02
temp,1,284,0.01
table,1,1257,0.02
buffer,1,1365,0.02
exp,1,126,0.01
fast,1,140,0.01
mat,1,116,0.01
compare,1,158,0.01
other,1,645,0.02
epsilon,1,118,0.01
prec,1,86,0.01
eps,1,88,0.01
vec,1,101,0.01
tmp,1,330,0.01
abs,1,125,0.01
frac,1,50,0.0
obj,1,334,0.01
zero,1,415,0.02
hex,1,119,0.01
unscaled,1,46,0.0
exponent,1,47,0.0
jglm,1,41,0.0
idx,1,124,0.0
sin,1,74,0.01
positive,1,36,0.0
prime,1,101,0.01
sine,1,37,0.0
append,1,447,0.01
est,1,38,0.0
negative,1,38,0.0
high,1,50,0.0
hackoeur,1,34,0.0
len,1,43,0.0
temps,1,15,0.0
results,1,59,0.0
mantissa,1,32,0.0
scaled,1,54,0.0
call,1,128,0.0
snapshot,1,204,0.01
success,1,168,0.01
client,1,545,0.01
put,1,945,0.01
leaderboard,1,55,0.01
failure,1,109,0.01
method,1,402,0.01
plugin,1,66,0.0
argument,1,190,0.01
account,1,49,0.0
metadata,1,99,0.0
gms,1,78,0.01
flutter,1,26,0.0
