keyword,doc_freq,total_freq,tfidf
get,8,5376,0.0
list,7,2047,0.01
set,7,2566,0.01
java,7,2076,0.0
map,6,1577,0.01
util,6,1199,0.01
string,6,3312,0.0
add,5,1447,0.01
random,5,907,0.12
size,5,1136,0.02
weight,4,212,0.04
next,4,440,0.03
override,4,1142,0.01
current,4,341,0.02
count,3,404,0.02
function,3,210,0.01
com,3,444,0.01
integer,3,536,0.03
file,3,1350,0.01
system,3,380,0.02
name,3,1187,0.01
time,3,948,0.04
array,3,618,0.01
config,3,566,0.02
max,3,602,0.03
exception,3,980,0.0
data,3,564,0.01
hash,3,599,0.03
value,3,1729,0.01
type,3,959,0.01
neurons,2,189,0.06
neural,2,309,0.1
neuron,2,404,0.13
network,2,466,0.06
weights,2,137,0.04
button,2,345,0.02
listener,2,710,0.03
height,2,200,0.02
number,2,372,0.03
population,2,380,0.12
out,2,358,0.01
chromosome,2,123,0.05
fitness,2,165,0.06
table,2,223,0.01
input,2,317,0.01
line,2,480,0.03
rule,2,261,0.03
objective,2,361,0.12
calculate,2,266,0.08
result,2,462,0.01
text,2,336,0.01
min,2,422,0.04
rate,2,220,0.04
entry,2,571,0.03
label,2,338,0.02
column,2,185,0.01
index,2,1125,0.02
point,2,469,0.04
core,2,1586,0.08
org,2,2028,0.02
solution,2,357,0.1
property,2,404,0.02
food,1,200,0.07
agent,1,183,0.03
environment,1,170,0.03
agents,1,55,0.02
xml,1,108,0.01
lagodiuk,1,57,0.02
links,1,69,0.02
brain,1,60,0.02
params,1,104,0.01
optimizable,1,57,0.02
clone,1,113,0.03
angle,1,47,0.01
env,1,44,0.01
width,1,268,0.02
another,1,34,0.01
threshold,1,60,0.01
speed,1,36,0.01
javax,1,314,0.02
element,1,215,0.01
iter,1,40,0.01
signal,1,30,0.01
ret,1,30,0.0
initialize,1,39,0.01
inputdata,1,57,0.02
teacher,1,40,0.02
studentgroup,1,37,0.02
println,1,322,0.02
subject,1,34,0.01
gene,1,78,0.02
slot,1,29,0.01
hours,1,31,0.01
teacherid,1,23,0.01
nosubject,1,22,0.01
daysperweek,1,20,0.01
hoursperday,1,20,0.01
scheduler,1,30,0.01
slotno,1,18,0.01
stream,1,260,0.01
days,1,26,0.01
request,1,54,0.0
print,1,234,0.02
geneno,1,13,0.01
object,1,450,0.01
username,1,13,0.0
password,1,24,0.0
nostudentgroup,1,13,0.01
session,1,36,0.0
servlet,1,11,0.0
temp,1,95,0.01
nostgrp,1,12,0.01
student,1,10,0.0
group,1,25,0.0
firstlist,1,11,0.0
email,1,10,0.0
country,1,10,0.0
grid,1,254,0.04
life,1,85,0.03
merge,1,101,0.02
stats,1,66,0.01
stat,1,53,0.01
row,1,171,0.01
col,1,82,0.01
mode,1,155,0.01
rows,1,37,0.01
cols,1,32,0.01
rnd,1,55,0.02
genome,1,40,0.01
score,1,48,0.01
sub,1,115,0.02
report,1,35,0.01
image,1,222,0.01
zoom,1,134,0.03
option,1,92,0.01
last,1,105,0.01
step,1,124,0.02
append,1,238,0.01
length,1,349,0.01
cmd,1,27,0.0
put,1,280,0.01
steps,1,15,0.0
options,1,54,0.0
num,1,223,0.02
ann,1,126,0.04
gentic,1,118,0.04
ewimberley,1,124,0.04
layer,1,101,0.01
output,1,338,0.01
activation,1,118,0.03
mutate,1,277,0.09
training,1,79,0.02
gnn,1,76,0.03
networks,1,33,0.01
prob,1,90,0.03
layers,1,53,0.01
per,1,96,0.02
confusion,1,64,0.02
indices,1,59,0.02
genetic,1,99,0.03
error,1,127,0.0
labels,1,66,0.01
visualizer,1,54,0.01
matrix,1,57,0.01
learning,1,80,0.02
bias,1,48,0.02
indicator,1,1454,0.36
decimal,1,994,0.2
series,1,742,0.13
verdelhan,1,691,0.25
price,1,685,0.12
indicators,1,325,0.11
frame,1,567,0.05
tick,1,291,0.07
close,1,371,0.05
cached,1,213,0.06
trade,1,189,0.05
money,1,177,0.06
trading,1,164,0.05
record,1,157,0.01
order,1,268,0.04
ticks,1,109,0.03
maximum,1,138,0.04
satisfied,1,105,0.03
gain,1,99,0.04
ema,1,99,0.04
simple,1,124,0.02
criterion,1,99,0.03
sell,1,96,0.03
than,1,93,0.03
end,1,132,0.01
precision,1,89,0.03
total,1,105,0.02
open,1,113,0.01
average,1,128,0.03
prev,1,123,0.03
math,1,316,0.03
buy,1,85,0.03
statement,1,762,0.08
method,1,638,0.04
info,1,834,0.03
var,1,587,0.07
methods,1,312,0.06
repair,1,442,0.14
test,1,377,0.02
seed,1,384,0.09
msu,1,297,0.13
cse,1,297,0.13
tests,1,222,0.05
modification,1,288,0.1
bin,1,305,0.07
node,1,469,0.02
parameters,1,272,0.03
path,1,321,0.01
vars,1,159,0.04
eclipse,1,223,0.04
jdt,1,220,0.09
ingredient,1,199,0.07
dom,1,235,0.06
dir,1,248,0.03
binding,1,231,0.03
classes,1,228,0.06
ast,1,189,0.04
match,1,181,0.02
statements,1,81,0.02
fields,1,172,0.02
points,1,272,0.04
problem,1,384,0.09
item,1,365,0.02
strategy,1,142,0.02
knapsack,1,191,0.08
mhrimaz,1,75,0.03
fxml,1,61,0.01
solver,1,152,0.05
binary,1,186,0.04
field,1,222,0.01
model,1,205,0.01
picked,1,27,0.01
items,1,75,0.01
factory,1,229,0.01
mutated,1,34,0.01
limit,1,47,0.01
gained,1,23,0.01
best,1,102,0.03
taken,1,21,0.01
javafx,1,18,0.0
solve,1,20,0.01
scene,1,15,0.0
sideways,1,15,0.01
parse,1,103,0.01
individual,1,1164,0.38
genotype,1,894,0.34
module,1,710,0.08
inject,1,638,0.09
plot,1,522,0.13
objectives,1,401,0.15
optimizer,1,356,0.13
event,1,370,0.01
google,1,306,0.02
values,1,213,0.01
collection,1,278,0.03
state,1,300,0.01
swing,1,309,0.04
key,1,446,0.01
panel,1,306,0.03
listeners,1,141,0.03
graphics,1,278,0.04
epsilon,1,265,0.07
constant,1,273,0.05
icon,1,224,0.02
awt,1,280,0.04
crossover,1,416,0.16
