keyword,doc_freq,total_freq,tfidf
get,3,5409,0.0
name,3,2454,0.01
exception,3,3567,0.01
string,3,6007,0.0
override,3,1153,0.01
type,3,2637,0.02
request,2,1438,0.04
query,2,670,0.04
com,2,1641,0.01
json,2,3349,0.12
vangav,2,1297,0.33
object,2,708,0.01
set,2,916,0.0
result,2,881,0.01
ignore,2,1013,0.13
backend,2,1101,0.19
response,2,1027,0.04
play,2,841,0.12
param,2,497,0.03
table,2,593,0.03
property,2,702,0.03
list,2,1097,0.0
java,2,1380,0.0
buffer,2,970,0.04
unit,2,1030,0.09
array,2,685,0.01
length,2,666,0.01
code,2,979,0.04
select,1,184,0.02
user,1,339,0.01
statement,1,259,0.02
message,1,466,0.01
userid,1,96,0.02
insert,1,98,0.02
bound,1,116,0.02
execute,1,265,0.03
phone,1,173,0.03
messages,1,112,0.01
body,1,324,0.03
dispatchable,1,156,0.04
vos,1,50,0.01
whatsapp,1,50,0.01
password,1,103,0.01
cassandra,1,298,0.07
sync,1,116,0.02
info,1,207,0.01
keyspaces,1,136,0.03
instance,1,245,0.01
users,1,22,0.0
number,1,350,0.02
async,1,277,0.03
uuid,1,155,0.02
prepared,1,169,0.03
framework,1,94,0.01
send,1,58,0.01
description,1,90,0.01
all,1,141,0.01
geometry,1,1850,0.35
coordinate,1,1721,0.31
geom,1,1431,0.33
crs,1,1351,0.4
position,1,1215,0.07
geolatte,1,925,0.3
org,1,1039,0.01
system,1,1082,0.04
reference,1,733,0.07
point,1,939,0.06
positions,1,288,0.05
axis,1,544,0.08
line,1,727,0.03
wkt,1,408,0.13
builder,1,495,0.01
sequence,1,396,0.04
polygon,1,334,0.08
multi,1,366,0.06
dimension,1,344,0.05
add,1,714,0.0
ring,1,252,0.06
token,1,526,0.03
linear,1,275,0.04
wkb,1,248,0.08
util,1,590,0.0
decoder,1,237,0.03
has,1,285,0.03
sdo,1,227,0.07
decode,1,245,0.04
num,1,235,0.02
empty,1,355,0.03
collection,1,264,0.02
jts,1,214,0.06
dialect,1,212,0.06
points,1,127,0.01
sql,1,240,0.02
size,1,400,0.0
inl,1,996,0.25
value,1,1101,0.01
properties,1,823,0.05
file,1,730,0.01
time,1,755,0.02
exceptions,1,273,0.03
map,1,841,0.01
key,1,658,0.01
rest,1,608,0.07
format,1,646,0.03
annotation,1,550,0.03
distance,1,531,0.06
calendar,1,515,0.08
put,1,618,0.02
path,1,501,0.01
curr,1,521,0.09
hash,1,615,0.02
controller,1,424,0.03
geo,1,526,0.08
status,1,458,0.02
content,1,453,0.02
error,1,435,0.01
