keyword,doc_freq,total_freq,tfidf
get,11,3059,0.0
add,10,1836,0.01
java,10,1837,0.0
node,10,7157,0.26
util,10,1651,0.01
list,10,4433,0.01
set,9,2429,0.0
string,9,3394,0.0
size,8,1963,0.03
next,8,1651,0.11
integer,7,1913,0.09
value,7,1080,0.01
exception,6,1007,0.0
edge,6,2415,0.34
out,5,1086,0.04
length,5,1344,0.03
stack,5,448,0.04
index,5,1634,0.03
hash,5,877,0.04
current,5,497,0.03
nodes,5,1368,0.16
map,5,1251,0.01
graph,5,3036,0.35
override,5,885,0.01
println,4,454,0.03
first,4,649,0.07
array,4,1241,0.02
linked,4,541,0.11
root,4,902,0.09
left,4,958,0.1
right,4,975,0.1
result,4,569,0.01
start,4,824,0.03
max,4,1213,0.05
key,3,767,0.02
random,3,340,0.04
stream,3,463,0.01
width,3,397,0.03
height,3,446,0.04
system,3,602,0.03
com,3,209,0.0
head,3,483,0.1
col,3,216,0.03
row,3,373,0.03
object,3,412,0.01
grid,3,1232,0.18
visited,3,256,0.07
arrays,3,237,0.03
tree,3,1443,0.13
org,3,962,0.01
parent,3,380,0.04
edges,3,546,0.11
label,3,850,0.05
count,3,758,0.03
find,3,528,0.04
path,3,317,0.01
num,3,777,0.06
color,2,390,0.02
vertices,2,274,0.06
draw,2,203,0.03
print,2,227,0.02
math,2,619,0.06
iterator,2,308,0.03
element,2,377,0.02
args,2,233,0.01
queue,2,447,0.06
arr,2,566,0.1
data,2,388,0.01
main,2,264,0.02
capacity,2,166,0.04
cell,2,271,0.04
search,2,274,0.03
push,2,155,0.03
word,2,315,0.04
layout,2,260,0.01
bounds,2,201,0.03
location,2,366,0.04
number,2,245,0.02
min,2,920,0.07
vertex,2,697,0.11
end,2,509,0.04
output,2,559,0.02
old,2,269,0.05
state,2,478,0.01
core,2,220,0.01
with,2,240,0.02
builder,2,236,0.01
create,2,276,0.01
destination,2,133,0.03
labels,2,281,0.04
log,2,423,0.01
temp,2,412,0.05
previous,2,184,0.04
sum,2,544,0.1
graphs,2,127,0.04
utils,2,180,0.0
degree,2,252,0.07
depth,2,298,0.06
neighbor,2,430,0.13
neighbors,2,403,0.11
argument,1,288,0.03
std,1,133,0.03
item,1,208,0.01
illegal,1,373,0.05
image,1,124,0.01
digraph,1,63,0.03
items,1,74,0.01
pen,1,39,0.02
uniform,1,53,0.01
scale,1,48,0.01
radius,1,82,0.01
offscreen,1,37,0.01
comparable,1,52,0.02
scaled,1,24,0.01
filename,1,31,0.01
url,1,42,0.0
font,1,82,0.01
such,1,62,0.01
cycle,1,153,0.04
locale,1,21,0.0
bst,1,87,0.03
top,1,239,0.03
stair,1,28,0.01
front,1,42,0.01
sort,1,207,0.04
low,1,55,0.02
box,1,375,0.04
text,1,380,0.01
abego,1,85,0.03
treelayout,1,78,0.03
level,1,216,0.02
child,1,218,0.02
configuration,1,65,0.0
scene,1,188,0.02
widget,1,50,0.01
plus,1,78,0.02
children,1,250,0.04
extent,1,38,0.01
between,1,103,0.03
provider,1,38,0.0
gap,1,46,0.01
minus,1,46,0.01
svg,1,59,0.01
levels,1,35,0.01
change,1,42,0.0
demo,1,61,0.01
netbeans,1,28,0.01
append,1,231,0.01
point,1,1212,0.1
line,1,913,0.04
face,1,568,0.11
subdivision,1,501,0.23
points,1,234,0.03
lines,1,192,0.03
polygon,1,323,0.1
epsilon,1,267,0.06
twin,1,237,0.11
test,1,224,0.01
delta,1,220,0.05
rect,1,246,0.04
shift,1,263,0.06
origin,1,225,0.05
inner,1,204,0.05
button,1,229,0.01
distance,1,277,0.04
relationship,1,175,0.04
date,1,137,0.01
entity,1,131,0.01
name,1,234,0.0
type,1,234,0.0
procedure,1,95,0.03
versioner,1,66,0.03
optional,1,98,0.01
time,1,146,0.01
homer,1,54,0.02
rel,1,63,0.02
local,1,59,0.01
source,1,245,0.01
utility,1,48,0.01
props,1,40,0.01
mode,1,43,0.0
direction,1,59,0.01
diff,1,79,0.01
transaction,1,33,0.0
description,1,27,0.0
instant,1,66,0.01
rollback,1,28,0.01
graphdb,1,24,0.01
outgoing,1,23,0.01
update,1,91,0.01
deepak,1,114,0.05
ctci,1,114,0.05
problem,1,102,0.02
