keyword,doc_freq,total_freq,tfidf
get,32,94834,0.0
set,30,41931,0.01
string,30,37532,0.0
java,29,24678,0.0
name,23,21800,0.01
add,23,14728,0.01
text,23,17646,0.03
list,22,17538,0.0
util,22,11603,0.01
override,21,18681,0.01
event,20,12202,0.04
file,19,15084,0.01
exception,19,20038,0.0
value,19,23645,0.02
button,14,7249,0.03
listener,14,7823,0.02
org,14,40663,0.04
swing,13,7054,0.07
javax,13,6563,0.04
component,13,5784,0.04
awt,13,5402,0.06
item,12,16378,0.06
color,12,11941,0.06
type,12,18233,0.02
action,11,7557,0.03
field,11,15522,0.06
index,11,9839,0.02
map,11,12011,0.01
label,10,9748,0.05
result,10,19031,0.03
com,10,8547,0.01
data,10,28888,0.03
selected,9,3899,0.05
panel,9,7231,0.06
size,9,7717,0.01
logger,9,3463,0.01
group,8,6463,0.04
layout,8,6889,0.03
pane,8,4260,0.04
model,8,11875,0.03
table,8,11757,0.05
log,8,4571,0.01
width,8,6531,0.04
selection,7,6796,0.09
path,7,4378,0.01
create,7,5355,0.02
menu,7,4425,0.03
object,7,22096,0.04
image,7,7348,0.03
key,7,9361,0.02
dialog,6,5281,0.04
view,6,3864,0.01
array,6,5429,0.01
max,6,5155,0.02
state,6,8173,0.02
manager,6,4449,0.02
column,6,8834,0.05
length,6,6425,0.01
height,6,5337,0.04
player,6,8161,0.1
chooser,5,1760,0.04
files,5,1353,0.01
filter,5,2891,0.02
mode,5,2016,0.01
element,5,5173,0.02
controller,5,3541,0.03
utils,5,10319,0.02
property,5,5319,0.02
grid,5,5951,0.07
builder,5,3362,0.01
row,5,5610,0.04
font,5,4652,0.06
parent,4,4358,0.04
option,4,1427,0.01
run,4,1493,0.01
javafx,4,960,0.01
alignment,4,1276,0.02
command,4,3358,0.02
container,4,5998,0.06
border,4,2600,0.03
output,4,1994,0.01
input,4,4706,0.01
location,4,2109,0.02
box,4,3759,0.03
start,4,3977,0.01
gui,4,2375,0.03
args,4,3943,0.02
version,4,3020,0.02
factory,4,4625,0.02
stream,4,5816,0.01
inventory,4,6059,0.12
items,4,3084,0.03
plugin,4,2222,0.02
server,4,3203,0.02
current,3,3075,0.01
title,3,3275,0.03
enabled,3,1672,0.02
gap,3,1217,0.03
preferred,3,782,0.02
parallel,3,387,0.01
performed,3,1021,0.03
evt,3,1298,0.03
sequential,3,276,0.01
leading,3,312,0.01
close,3,2284,0.02
main,3,1482,0.01
area,3,4541,0.07
renderer,3,2951,0.05
control,3,4511,0.05
node,3,6740,0.02
progress,3,3675,0.03
info,3,6140,0.02
frame,3,1257,0.01
runnable,3,1036,0.02
level,3,1927,0.02
page,3,3421,0.03
bag,3,2529,0.04
constraints,3,2685,0.04
folder,3,2295,0.03
dimension,3,1101,0.02
append,3,5042,0.02
icon,3,3979,0.04
sequence,3,1507,0.02
read,3,5578,0.03
fxml,3,1065,0.01
hash,3,6534,0.03
scene,3,1249,0.01
api,3,1290,0.01
bounds,3,2595,0.04
update,3,2772,0.02
background,3,1782,0.02
stage,3,926,0.01
apache,3,15625,0.11
slot,3,1181,0.02
bukkit,3,2307,0.04
consumer,3,821,0.01
position,3,4031,0.02
values,3,1755,0.01
options,3,1320,0.01
stack,3,3436,0.02
registry,3,2108,0.02
packet,3,1602,0.02
message,3,3161,0.01
config,3,2332,0.01
extension,2,903,0.01
show,2,2301,0.02
count,2,5027,0.02
open,2,2022,0.02
filters,2,337,0.0
system,2,1993,0.01
all,2,4316,0.03
dir,2,868,0.01
logging,2,935,0.01
line,2,4846,0.02
scroll,2,1638,0.03
radio,2,792,0.02
btn,2,421,0.01
source,2,9258,0.04
,2,6415,
num,2,1031,0.01
other,2,3096,0.04
application,2,1163,0.01
app,2,558,0.0
buffer,2,2657,0.01
eclipse,2,5018,0.07
editor,2,6033,0.08
swt,2,4741,0.08
session,2,3207,0.02
constants,2,3133,0.02
types,2,1356,0.01
thread,2,987,0.01
send,2,1379,0.02
