keyword,doc_freq,total_freq,tfidf
get,7,46547,0.0
string,7,33191,0.0
set,7,18946,0.0
name,7,16109,0.01
value,6,13516,0.01
org,6,17828,0.02
java,5,12652,0.0
status,5,7571,0.05
event,5,12541,0.05
override,5,7389,0.0
exception,5,10156,0.0
message,5,6222,0.02
logger,4,5447,0.02
util,4,6924,0.0
context,4,6846,0.02
type,4,23283,0.03
list,4,8763,0.0
add,4,8736,0.01
log,4,4899,0.02
map,3,5567,0.01
command,3,5413,0.04
state,3,11588,0.04
time,3,4326,0.02
core,3,10884,0.06
service,3,9637,0.05
description,3,6884,0.07
handler,3,6430,0.04
info,3,5677,0.02
equals,3,6287,0.03
stream,3,3529,0.01
text,3,2582,0.01
com,3,5165,0.01
layout,3,2468,0.01
action,3,5111,0.03
object,3,5740,0.01
signal,2,1852,0.05
address,2,2729,0.03
device,2,10077,0.14
thread,2,1747,0.01
driver,2,3550,0.07
client,2,2127,0.01
apache,2,2576,0.02
append,2,1150,0.01
adapter,2,1369,0.01
item,2,13474,0.07
channel,2,7028,0.07
group,2,4500,0.03
configuration,2,3322,0.02
view,2,4921,0.02
android,2,2410,0.01
data,2,3892,0.01
listener,2,3162,0.01
intent,2,1510,0.01
api,2,2412,0.01
click,2,871,0.01
content,2,1490,0.01
array,2,3233,0.0
obj,2,3370,0.03
actions,2,990,0.02
key,2,3789,0.01
file,2,4047,0.0
desc,2,3779,0.08
field,2,5997,0.03
javax,2,4685,0.03
flux,1,499,0.02
zone,1,1144,0.03
net,1,1310,0.01
var,1,499,0.01
hvac,1,321,0.02
color,1,1470,0.01
mode,1,756,0.01
unit,1,2256,0.03
setpoint,1,262,0.01
error,1,2048,0.01
sink,1,592,0.02
timestamp,1,484,0.01
network,1,1790,0.03
offset,1,507,0.0
settings,1,558,0.01
source,1,1057,0.01
wire,1,175,0.01
font,1,230,0.0
reactor,1,120,0.0
debug,1,1009,0.01
instant,1,311,0.01
millis,1,437,0.01
thing,1,15368,0.61
eclipse,1,8225,0.15
uid,1,7836,0.15
smarthome,1,7087,0.33
types,1,2470,0.02
config,1,6515,0.03
registry,1,4891,0.06
provider,1,4867,0.04
items,1,1912,0.02
test,1,4716,0.03
rule,1,4052,0.06
that,1,3388,0.07
module,1,2826,0.04
result,1,3683,0.01
factory,1,3652,0.02
locale,1,2789,0.05
firmware,1,2497,0.11
,1,2902,
bundle,1,3618,0.04
with,1,2460,0.02
fan,1,192,0.01
spinner,1,736,0.02
http,1,1971,0.01
drawable,1,215,0.0
image,1,758,0.0
request,1,1392,0.01
location,1,710,0.01
application,1,412,0.0
visibility,1,681,0.01
google,1,612,0.01
endpoint,1,293,0.01
bar,1,166,0.0
ignore,1,630,0.01
url,1,1721,0.01
resource,1,1581,0.01
bitmap,1,75,0.0
progress,1,589,0.01
reader,1,960,0.01
wearable,1,305,0.01
tag,1,1018,0.01
security,1,345,0.0
drawer,1,354,0.01
invisible,1,47,0.0
manager,1,2725,0.01
toast,1,126,0.0
find,1,937,0.01
receiver,1,3295,0.07
power,1,3910,0.11
button,1,2520,0.02
room,1,2160,0.05
gateway,1,2625,0.08
dip,1,991,0.05
dips,1,991,0.05
apartment,1,1307,0.07
fragment,1,1598,0.02
dialog,1,1326,0.01
table,1,1448,0.01
scene,1,1671,0.02
database,1,1146,0.01
geofence,1,1049,0.06
widget,1,1709,0.02
recycler,1,982,0.02
constants,1,1325,0.01
method,1,1437,0.01
timer,1,1148,0.02
activity,1,811,0.01
column,1,964,0.01
nodel,1,802,0.04
json,1,2142,0.01
node,1,2305,0.01
entry,1,1669,0.01
simple,1,1755,0.02
binding,1,1704,0.03
schema,1,361,0.01
values,1,1307,0.01
events,1,1400,0.02
put,1,2354,0.01
length,1,1817,0.0
title,1,480,0.01
point,1,1194,0.01
atomic,1,457,0.01
bindings,1,175,0.01
reflection,1,210,0.01
names,1,890,0.01
next,1,1276,0.01
index,1,985,0.0
exc,1,203,0.01
freedomotic,1,2608,0.11
property,1,3138,0.02
swing,1,1307,0.02
plugin,1,1044,0.01
behavior,1,900,0.03
input,1,2225,0.01
frame,1,1269,0.01
pojo,1,783,0.02
logic,1,759,0.02
port,1,1837,0.02
plugins,1,465,0.01
path,1,2665,0.01
uuid,1,851,0.01
commands,1,540,0.01
create,1,3558,0.01
repository,1,1053,0.01
ucp,1,9303,0.4
notification,1,5638,0.09
xml,1,5612,0.05
dog,1,4055,0.16
elem,1,3952,0.12
elite,1,3602,0.15
polito,1,3589,0.15
model,1,6479,0.02
lang,1,3231,0.03
library,1,3511,0.07
hash,1,4734,0.02
services,1,2354,0.04
code,1,3387,0.02
notify,1,2589,0.07
uri,1,4200,0.04
echelon,1,2133,0.09
axis,1,2158,0.05
measure,1,2179,0.05
namespace,1,2085,0.04
web,1,2170,0.02
wsdl,1,1901,0.08
