keyword,doc_freq,total_freq,tfidf
camera,1,95,0.54
get,1,82,0.0
view,1,63,0.09
width,1,58,0.19
height,1,58,0.19
activity,1,55,0.13
texture,1,52,0.29
preview,1,50,0.4
android,1,60,0.11
image,1,51,0.11
size,1,52,0.03
capture,1,38,0.28
request,1,38,0.06
surface,1,36,0.23
dialog,1,36,0.12
string,1,35,0.0
device,1,24,0.13
session,1,25,0.07
max,1,23,0.04
set,1,29,0.0
fragment,1,25,0.09
override,1,28,0.01
rotation,1,23,0.18
reader,1,21,0.05
manager,1,20,0.04
ratio,1,18,0.15
background,1,18,0.12
permission,1,16,0.09
,1,16,
exception,1,17,0.0
thread,1,16,0.05
state,1,17,0.02
bitmap,1,16,0.07
result,1,16,0.01
close,1,15,0.07
rect,1,16,0.1
context,1,15,0.01
non,1,14,0.05
center,1,14,0.1
instance,1,13,0.03
listener,1,13,0.02
inference,1,13,0.16
text,1,14,0.01
orientation,1,13,0.11
open,1,12,0.06
display,1,12,0.07
handler,1,12,0.03
java,1,12,0.0
buffer,1,12,0.03
matrix,1,12,0.05
