keyword,doc_freq,total_freq,tfidf
image,2,68,0.14
get,2,85,0.0
android,2,65,0.11
bitmap,2,88,0.39
context,2,44,0.04
set,2,39,0.0
app,2,15,0.03
graphics,2,15,0.08
path,2,33,0.03
view,1,94,0.13
size,1,33,0.02
radius,1,30,0.2
gaussian,1,24,0.3
vansuita,1,18,0.26
gaussianblur,1,18,0.27
changed,1,20,0.15
bar,1,19,0.08
support,1,21,0.07
seek,1,18,0.13
blur,1,19,0.23
com,1,18,0.01
settings,1,16,0.06
max,1,16,0.03
override,1,23,0.01
sample,1,15,0.07
listener,1,16,0.02
pager,1,14,0.11
fragment,1,15,0.05
dinosaur,1,15,0.23
async,1,13,0.07
adapter,1,13,0.04
layout,1,13,0.03
menu,1,12,0.04
drawable,1,12,0.06
animator,1,11,0.09
thread,1,10,0.03
blurred,1,9,0.14
bundle,1,10,0.04
main,1,10,0.03
activity,1,10,0.02
render,1,10,0.07
event,1,9,0.01
motion,1,9,0.09
find,1,9,0.03
action,1,10,0.02
script,1,10,0.05
create,1,11,0.02
tag,1,9,0.02
animate,1,9,0.1
item,1,9,0.02
file,1,55,0.02
output,1,44,0.07
format,1,30,0.07
target,1,36,0.09
compress,1,27,0.3
filename,1,17,0.13
length,1,15,0.01
source,1,16,0.04
dir,1,13,0.05
quality,1,15,0.14
flowable,1,15,0.16
resizer,1,14,0.18
string,1,22,0.0
exception,1,13,0.0
name,1,15,0.0
java,1,13,0.0
stream,1,9,0.01
original,1,10,0.09
width,1,17,0.05
height,1,17,0.06
scaled,1,9,0.09
locale,1,7,0.05
utils,1,7,0.01
extension,1,7,0.04
resized,1,6,0.08
options,1,11,0.03
util,1,9,0.0
with,1,13,0.03
echodev,1,5,0.07
lower,1,6,0.05
aspect,1,5,0.05
ratio,1,8,0.06
test,1,5,0.01
ends,1,4,0.05
factory,1,7,0.01
index,1,4,0.0
directory,1,4,0.02
callable,1,3,0.03
just,1,3,0.03
org,1,3,0.0
junit,1,3,0.02
