keyword,doc_freq,total_freq,tfidf
get,4,2660,0.0
set,4,1667,0.0
image,4,2042,0.05
list,4,1171,0.0
string,4,692,0.0
java,4,624,0.0
color,3,1435,0.04
org,3,708,0.0
create,3,487,0.01
img,3,528,0.05
array,3,395,0.0
obj,2,10048,0.44
mat,2,8681,0.8
val,2,3409,0.18
ret,2,2306,0.15
size,2,2169,0.02
camera,2,1433,0.1
dst,2,1526,0.15
src,2,1380,0.1
type,2,1235,0.01
width,2,1218,0.05
height,2,1201,0.05
cap,2,1059,0.13
point,2,795,0.03
points,2,711,0.05
prop,2,820,0.06
max,2,820,0.02
opencv,2,697,0.07
vals,2,240,0.03
mats,2,120,0.01
vector,2,596,0.04
view,2,468,0.01
matrix,2,528,0.02
rect,2,549,0.04
threshold,2,451,0.04
count,2,499,0.01
log,2,507,0.01
core,2,441,0.01
mask,2,445,0.04
scale,2,414,0.02
flags,2,389,0.03
addr,2,400,0.03
channels,2,415,0.04
buff,2,424,0.05
android,2,377,0.01
criteria,2,347,0.03
dist,2,331,0.03
exception,2,510,0.0
file,2,422,0.0
output,2,160,0.0
object,2,331,0.0
util,2,360,0.0
name,2,195,0.0
out,2,424,0.01
ramo,1,1,0.0
run,1,19,0.0
klevis,1,1,0.0
min,1,453,0.02
face,1,286,0.03
override,1,334,0.0
food,1,58,0.01
json,1,43,0.0
recognition,1,31,0.0
bitmap,1,221,0.01
task,1,22,0.0
writer,1,40,0.0
photo,1,81,0.01
http,1,18,0.0
stream,1,94,0.0
igor,1,13,0.0
append,1,30,0.0
line,1,205,0.0
rendulic,1,13,0.0
url,1,25,0.0
item,1,20,0.0
dir,1,54,0.0
token,1,16,0.0
conn,1,10,0.0
options,1,19,0.0
result,1,333,0.0
rotate,1,37,0.0
foodrecognition,1,9,0.0
feed,1,12,0.0
opt,1,16,0.0
map,1,168,0.0
simple,1,33,0.0
picture,1,11,0.0
message,1,89,0.0
take,1,10,0.0
target,1,47,0.0
connection,1,40,0.0
exif,1,19,0.0
num,1,375,0.01
border,1,330,0.02
length,1,365,0.0
card,1,365,0.03
images,1,151,0.01
buffered,1,148,0.01
tom,1,115,0.02
white,1,121,0.01
game,1,115,0.01
com,1,198,0.0
shape,1,139,0.01
label,1,116,0.0
gray,1,242,0.03
files,1,53,0.0
features,1,107,0.01
panel,1,89,0.0
boofcv,1,80,0.01
cards,1,31,0.0
number,1,242,0.01
feature,1,102,0.01
finder,1,71,0.01
description,1,69,0.0
detector,1,218,0.02
find,1,238,0.01
parse,1,66,0.0
shading,1,61,0.01
shapes,1,50,0.01
predict,1,115,0.02
contours,1,185,0.03
system,1,75,0.0
args,1,57,0.0
println,1,55,0.0
net,1,60,0.0
conv,1,55,0.01
quadrilateral,1,51,0.01
test,1,141,0.0
add,1,191,0.0
predictor,1,47,0.01
prediction,1,41,0.01
sets,1,20,0.0
