keyword,doc_freq,total_freq,tfidf
get,48,59539,0.0
set,45,25695,0.01
image,43,26738,0.17
override,37,13645,0.01
string,35,27572,0.0
context,34,4497,0.01
view,33,13748,0.06
android,33,4646,0.02
list,26,12476,0.0
width,26,10862,0.1
size,24,20828,0.04
height,24,9245,0.09
activity,23,2026,0.01
name,23,11863,0.01
java,22,10241,0.0
file,21,11995,0.01
listener,21,5242,0.02
type,19,17063,0.02
com,19,2911,0.0
layout,18,3730,0.02
content,18,2214,0.01
exception,18,12946,0.0
bitmap,17,3562,0.05
uri,17,2524,0.02
util,17,5278,0.0
item,15,4686,0.03
text,15,5968,0.02
color,15,12971,0.09
result,15,3744,0.01
create,15,7682,0.03
value,15,15618,0.02
intent,14,1497,0.01
path,14,5090,0.01
data,14,10300,0.02
add,14,12543,0.01
app,14,990,0.01
array,13,5854,0.01
click,13,1123,0.01
max,13,6138,0.03
drawable,13,1335,0.02
media,12,1607,0.02
scale,12,3224,0.05
tag,12,3096,0.02
output,12,3250,0.02
count,11,6178,0.03
state,11,3186,0.01
matrix,11,1764,0.02
org,11,9041,0.01
event,10,6427,0.03
adapter,10,979,0.01
images,10,1133,0.03
support,10,848,0.01
request,10,1050,0.0
stream,10,4473,0.01
action,9,3655,0.02
length,9,9551,0.03
min,9,4685,0.05
bottom,9,1268,0.03
test,9,1121,0.01
utils,8,3480,0.01
fragment,8,889,0.01
store,8,5013,0.07
index,8,10113,0.03
options,8,3404,0.03
,8,1497,
widget,8,692,0.01
menu,8,1738,0.02
left,8,2114,0.03
right,8,1735,0.02
graphics,8,1328,0.02
top,8,1505,0.03
log,8,2125,0.01
bundle,7,888,0.01
find,7,1244,0.01
math,7,3928,0.05
button,7,2621,0.02
code,7,1883,0.01
selected,6,2928,0.05
motion,6,593,0.02
map,6,5728,0.01
aspect,6,1305,0.04
ratio,6,1804,0.04
rect,6,4114,0.07
non,6,1502,0.01
filter,6,7899,0.07
node,6,11836,0.05
radius,6,2379,0.05
start,6,4262,0.02
bar,6,954,0.01
sample,6,1191,0.02
compat,6,397,0.01
instance,6,1325,0.01
response,6,290,0.0
img,6,10905,0.26
dialog,6,4861,0.05
line,6,2508,0.02
position,6,3686,0.03
mode,6,3314,0.03
cursor,5,2384,0.04
column,5,2485,0.02
toolbar,5,640,0.02
crop,5,3896,0.12
extra,5,1117,0.02
current,5,4278,0.03
format,5,8240,0.06
input,5,4151,0.01
manager,5,1210,0.01
key,5,6003,0.02
error,5,1273,0.01
pixel,5,4835,0.11
target,5,1655,0.01
offset,5,3363,0.03
permission,5,422,0.01
title,5,1035,0.01
callback,5,695,0.01
factory,5,4357,0.02
camera,5,1754,0.03
core,5,7819,0.04
gallery,5,347,0.01
video,5,1358,0.03
holder,4,967,0.01
gesture,4,617,0.02
grid,4,1632,0.03
bounds,4,1957,0.04
object,4,3155,0.01
src,4,4475,0.08
panel,4,4881,0.06
point,4,3010,0.03
pager,4,170,0.0
application,4,465,0.0
btn,4,102,0.0
pixels,4,3948,0.1
out,4,4788,0.02
points,4,1789,0.03
touch,4,751,0.02
zoom,4,1443,0.04
handler,4,1985,0.01
number,4,2194,0.02
delta,4,743,0.02
values,4,1638,0.01
storage,4,471,0.01
views,4,1218,0.02
thread,4,941,0.01
style,4,1528,0.02
element,4,1995,0.01
url,4,882,0.0
from,4,2814,0.02
bucket,3,460,0.01
files,3,2522,0.02
animation,3,453,0.01
items,3,355,0.0
lib,3,142,0.0
egl,3,626,0.02
gui,3,3068,0.07
awt,3,4674,0.08
angle,3,2182,0.05
tools,3,6535,0.14
end,3,2786,0.03
config,3,1624,0.01
base,3,2905,0.03
paint,3,1471,0.03
androidx,3,478,0.01
toast,3,201,0.0
req,3,304,0.01
loader,3,471,0.01
show,3,1855,0.02
message,3,1138,0.0
num,3,4756,0.05
mask,3,1890,0.04
logger,3,3124,0.01
query,3,486,0.0
window,3,1795,0.03
border,3,2076,0.04
group,3,2113,0.02
icon,3,1527,0.02
tap,3,208,0.01
detector,3,1379,0.03
draw,3,1369,0.03
canvas,3,1620,0.03
custom,3,321,0.01
put,3,3298,0.01
build,3,1056,0.01
github,3,120,0.0
threshold,3,1062,0.02
model,3,10132,0.03
frame,3,1664,0.02
row,3,4178,0.04
selection,3,4346,0.08
tags,3,512,0.01
elements,3,489,0.01
animator,3,88,0.0
saved,3,413,0.01
source,3,2776,0.02
original,3,762,0.02
attribute,3,1222,0.01
surface,3,618,0.01
directory,3,701,0.01
net,3,4054,0.04
limit,3,459,0.01
junit,3,74,0.0
with,3,1925,0.02
choose,2,68,0.0
inflater,2,358,0.01
down,2,644,0.02
exif,2,512,0.02
rotate,2,555,0.02
album,2,195,0.01
version,2,1202,0.01
local,2,768,0.01
cache,2,1459,0.02
info,2,2900,0.01
colors,2,1459,0.04
buffered,2,3905,0.05
transform,2,2407,0.05
tool,2,1771,0.04
edit,2,2612,0.04
gradient,2,882,0.03
seek,2,818,0.02
bind,2,94,0.0
json,2,224,0.0
make,2,895,0.02
rgb,2,4338,0.14
dst,2,2593,0.06
alpha,2,1654,0.04
wall,2,709,0.03
change,2,1783,0.03
progress,2,1601,0.02
recycler,2,340,0.01
corner,2,417,0.01
rule,2,282,0.0
parse,2,2245,0.02
swing,2,2196,0.03
javax,2,2056,0.02
not,2,583,0.0
function,2,875,0.01
ret,2,1277,0.02
enabled,2,1830,0.03
old,2,1379,0.03
changed,2,1328,0.03
margin,2,383,0.01
focus,2,639,0.02
builder,2,1561,0.0
res,2,1820,0.02
background,2,987,0.02
padding,2,515,0.01
myinnos,2,42,0.0
write,2,2224,0.02
esc,2,136,0.01
pos,2,2760,0.03
font,2,1375,0.02
print,2,602,0.01
service,2,2546,0.01
argument,2,842,0.01
illegal,2,1176,0.02
rows,2,810,0.01
val,2,2421,0.03
spacing,2,476,0.02
dist,2,552,0.01
visibility,2,552,0.01
component,2,4406,0.04
scroll,2,1237,0.03
last,2,2989,0.04
children,2,675,0.01
vertical,2,656,0.02
horizontal,2,728,0.03
entity,2,371,0.0
page,2,540,0.01
javafx,2,148,0.0
box,2,2981,0.04
scene,2,146,0.0
hash,2,1861,0.01
player,2,529,0.01
orientation,2,610,0.02
load,2,1452,0.02
animate,2,66,0.0
picker,2,614,0.02
measure,2,376,0.01
spec,2,1770,0.03
typed,2,350,0.01
attrs,2,410,0.01
constants,2,744,0.01
display,2,807,0.01
buffer,2,1635,0.01
preview,2,779,0.02
audio,2,312,0.01
texture,2,425,0.01
entry,2,1132,0.01
stack,2,1375,0.01
commands,2,111,0.0
command,2,314,0.0
module,2,667,0.01
integer,2,4424,0.03
hierarchy,2,204,0.01
html,2,464,0.01
tile,2,2369,0.06
optional,2,307,0.0
pattern,2,766,0.01
permissions,2,277,0.01
destination,2,210,0.0
extension,2,412,0.01
photo,2,331,0.01
facebook,2,86,0.0
meta,2,3219,0.05
apply,2,527,0.01
copy,2,1229,0.02
gaussian,2,216,0.01
settings,2,8564,0.09
main,2,603,0.01
render,2,475,0.01
script,2,278,0.0
score,2,150,0.0
has,2,1738,0.03
host,2,64,0.0
compress,2,502,0.02
quality,2,337,0.01
buckets,1,40,0.0
anim,1,113,0.0
ucrop,1,232,0.01
yalantis,1,95,0.0
cluster,1,345,0.01
pool,1,505,0.01
deviceinfo,1,183,0.01
mayur,1,158,0.01
medialibrary,1,134,0.01
date,1,1432,0.01
clusters,1,91,0.0
pixelitor,1,4614,0.21
layer,1,3903,0.07
param,1,3818,0.04
shape,1,3740,0.08
filters,1,1463,0.03
comp,1,2196,0.07
layers,1,631,0.01
stroke,1,1730,0.05
range,1,1829,0.03
oblique,1,90,0.0
shader,1,131,0.0
setup,1,590,0.02
tan,1,37,0.0
calligraphy,1,41,0.0
queue,1,283,0.0
volley,1,11,0.0
upload,1,44,0.0
