keyword,doc_freq,total_freq,tfidf
get,5,46873,0.0
string,5,39018,0.0
set,5,22105,0.0
add,4,13890,0.01
name,4,15057,0.01
list,4,8553,0.0
pattern,4,1839,0.01
java,4,20228,0.0
value,3,6131,0.0
type,3,18205,0.01
file,3,6488,0.0
text,3,9272,0.01
equals,3,5044,0.02
org,3,14224,0.01
util,3,3123,0.0
exception,3,16663,0.0
object,3,6273,0.01
contains,2,1494,0.01
create,2,6187,0.02
length,2,5929,0.01
sentence,2,476,0.01
count,2,2272,0.01
candidate,2,452,0.01
url,2,6943,0.02
event,2,7474,0.02
filter,2,1294,0.01
map,2,20140,0.01
data,2,9377,0.01
override,2,7874,0.0
array,2,5482,0.0
size,2,4691,0.0
lang,2,4304,0.03
subject,2,4148,0.05
utils,2,2522,0.0
hash,2,3504,0.01
cells,1,1925,0.03
cell,1,2408,0.02
attribute,1,2187,0.01
table,1,4079,0.02
attributes,1,826,0.01
element,1,3031,0.01
num,1,1224,0.01
content,1,3261,0.01
header,1,1125,0.01
weka,1,615,0.01
tables,1,404,0.01
statement,1,738,0.01
row,1,3091,0.02
utilities,1,462,0.01
caption,1,404,0.01
values,1,1151,0.0
prepared,1,373,0.01
number,1,1229,0.01
article,1,743,0.01
numeric,1,372,0.01
arm,1,283,0.01
item,1,1673,0.01
linked,1,1072,0.01
node,1,2570,0.01
val,1,619,0.0
lower,1,684,0.01
rows,1,660,0.01
art,1,286,0.01
sql,1,992,0.01
stub,1,507,0.01
document,1,1267,0.01
doc,1,573,0.01
child,1,755,0.01
crawl,1,684,0.01
request,1,1863,0.0
http,1,1297,0.01
response,1,1224,0.0
web,1,1050,0.01
github,1,163,0.0
peterbencze,1,163,0.0
serritor,1,163,0.0
com,1,360,0.0
servlet,1,1217,0.01
api,1,805,0.0
handler,1,1538,0.01
duration,1,279,0.0
builder,1,1189,0.0
delay,1,166,0.0
socket,1,312,0.0
logger,1,2576,0.01
server,1,1410,0.01
configuration,1,703,0.0
validate,1,194,0.0
allowed,1,166,0.0
config,1,667,0.0
error,1,1314,0.0
cookie,1,105,0.0
jwt,1,86,0.0
lock,1,525,0.0
session,1,187,0.0
millis,1,334,0.0
stats,1,234,0.0
internal,1,128,0.0
path,1,2192,0.0
user,1,2006,0.01
not,1,536,0.0
domain,1,88,0.0
apache,1,1500,0.01
key,1,4358,0.01
topic,1,58118,0.62
wandora,1,20501,0.58
grid,1,19709,0.2
bag,1,19499,0.28
constraints,1,18506,0.25
topics,1,4837,0.08
awt,1,13820,0.13
panel,1,12768,0.08
button,1,9531,0.04
javax,1,8251,0.04
association,1,6767,0.14
context,1,6955,0.01
state,1,7154,0.01
swing,1,6934,0.06
application,1,6459,0.03
tool,1,4457,0.05
types,1,1943,0.01
action,1,5020,0.02
locator,1,4975,0.1
log,1,5026,0.01
label,1,4969,0.02
simple,1,4710,0.04
box,1,4536,0.03
xml,1,4414,0.02
word,1,1874,0.02
words,1,1164,0.01
graph,1,1871,0.02
indexed,1,739,0.02
semantic,1,658,0.01
edge,1,1264,0.01
core,1,815,0.0
phrase,1,534,0.01
root,1,1330,0.01
constituent,1,370,0.01
nlp,1,376,0.01
edges,1,586,0.01
clause,1,341,0.01
relation,1,600,0.01
relations,1,510,0.01
uni,1,251,0.0
mannheim,1,251,0.01
annotated,1,233,0.0
tag,1,4005,0.02
append,1,2474,0.01
grammatical,1,212,0.01
prop,1,341,0.0
proposition,1,175,0.0
matcher,1,777,0.01
pos,1,533,0.0
ner,1,204,0.01
temp,1,612,0.01
chained,1,192,0.01
english,1,225,0.01
open,1,1502,0.01
verb,1,236,0.01
stanford,1,185,0.0
rel,1,210,0.0
attribution,1,184,0.0
place,1,1240,0.02
opensextant,1,676,0.02
geo,1,1474,0.02
country,1,1093,0.02
match,1,1219,0.01
put,1,2064,0.0
solr,1,441,0.01
code,1,1267,0.0
rule,1,451,0.0
places,1,138,0.0
names,1,843,0.0
field,1,4040,0.01
input,1,2689,0.0
feature,1,438,0.0
json,1,3218,0.01
output,1,1876,0.01
extractors,1,1014,0.02
date,1,1720,0.01
offset,1,405,0.0
format,1,1193,0.01
out,1,2813,0.01
lat,1,421,0.01
precision,1,195,0.0
extraction,1,448,0.01
params,1,931,0.0
