keyword,doc_freq,total_freq,tfidf
string,3,1501,0.0
get,3,2295,0.0
list,3,593,0.0
value,3,677,0.01
map,3,513,0.01
object,3,501,0.01
java,3,464,0.0
org,3,1286,0.02
util,3,411,0.0
query,2,421,0.04
key,2,620,0.02
set,2,390,0.0
data,2,1168,0.02
table,2,844,0.07
template,2,365,0.06
path,2,257,0.01
name,2,562,0.01
com,2,334,0.01
row,2,669,0.08
response,2,172,0.01
statement,2,117,0.02
model,2,1030,0.04
properties,2,318,0.04
mapper,2,173,0.03
exception,2,1203,0.0
override,2,712,0.01
apache,2,1206,0.15
type,2,1373,0.02
types,2,284,0.03
context,2,283,0.01
version,1,202,0.02
database,1,209,0.03
source,1,298,0.02
jdbc,1,111,0.03
connection,1,110,0.01
integer,1,156,0.01
request,1,160,0.01
rows,1,94,0.02
dao,1,95,0.02
method,1,86,0.01
sql,1,110,0.01
variable,1,65,0.01
html,1,57,0.01
find,1,62,0.01
zenquery,1,48,0.03
mapping,1,56,0.01
body,1,59,0.01
prepared,1,43,0.01
springframework,1,39,0.01
current,1,108,0.01
variables,1,27,0.01
produces,1,33,0.01
driver,1,33,0.01
xml,1,31,0.0
size,1,139,0.0
foreign,1,30,0.02
property,1,499,0.03
ont,1,448,0.22
resource,1,431,0.05
ontology,1,349,0.17
uri,1,324,0.04
jena,1,275,0.13
create,1,428,0.02
atomgraph,1,230,0.12
rdf,1,197,0.08
add,1,291,0.0
factory,1,296,0.02
graph,1,144,0.03
log,1,213,0.01
denied,1,126,0.07
media,1,118,0.02
javax,1,137,0.01
iterator,1,157,0.02
core,1,141,0.01
literal,1,108,0.04
datatype,1,98,0.05
call,1,95,0.02
builder,1,218,0.01
argument,1,134,0.02
server,1,89,0.01
processor,1,77,0.01
node,1,82,0.0
parameter,1,77,0.01
pulsar,1,1309,0.69
schema,1,1285,0.24
flink,1,776,0.41
topic,1,725,0.17
message,1,523,0.03
client,1,426,0.04
format,1,436,0.04
options,1,367,0.04
field,1,305,0.02
range,1,341,0.07
state,1,326,0.01
streaming,1,268,0.1
connectors,1,232,0.1
topics,1,141,0.05
catalog,1,248,0.11
admin,1,247,0.08
serialization,1,243,0.09
info,1,307,0.02
fields,1,170,0.03
mode,1,235,0.03
time,1,218,0.01
record,1,214,0.03
api,1,208,0.02
logical,1,201,0.08
metadata,1,211,0.03
utils,1,139,0.0
url,1,220,0.01
deserialization,1,191,0.11
