keyword,doc_freq,total_freq,tfidf
string,9,2413,0.0
java,9,879,0.0
get,8,2591,0.0
set,8,781,0.0
add,8,782,0.01
map,8,554,0.01
exception,6,504,0.0
util,6,500,0.01
list,5,1844,0.01
name,5,495,0.01
length,5,557,0.03
builder,5,350,0.02
stream,4,380,0.02
words,4,373,0.12
node,4,442,0.03
value,4,406,0.01
system,4,640,0.06
out,4,662,0.05
file,4,959,0.02
term,3,452,0.17
field,3,329,0.03
org,3,450,0.01
doc,3,324,0.1
apache,3,221,0.04
token,3,231,0.03
max,3,369,0.03
word,3,307,0.08
filter,3,199,0.03
reader,3,280,0.03
count,3,411,0.04
path,3,239,0.01
key,3,248,0.01
type,3,409,0.01
put,3,232,0.02
override,3,255,0.0
println,3,639,0.09
integer,3,500,0.05
array,3,425,0.01
query,2,371,0.05
lucene,2,96,0.06
result,2,178,0.01
attribute,2,130,0.02
filters,2,61,0.02
append,2,146,0.01
prefix,2,97,0.03
web,2,273,0.05
github,2,330,0.05
com,2,378,0.01
candidate,2,210,0.08
api,2,162,0.02
handler,2,267,0.03
url,2,268,0.02
event,2,168,0.01
error,2,251,0.02
millis,2,108,0.04
domain,2,92,0.02
pattern,2,120,0.02
factory,2,380,0.03
distance,2,268,0.07
object,2,213,0.01
non,2,127,0.02
args,2,280,0.03
start,2,212,0.02
parent,2,130,0.03
entry,2,100,0.01
stop,2,130,0.04
row,2,47,0.01
text,2,335,0.02
panel,2,104,0.02
label,2,187,0.02
input,2,214,0.01
size,2,800,0.02
features,2,362,0.12
score,2,572,0.18
feature,2,330,0.08
scorer,2,397,0.26
data,2,576,0.02
model,2,279,0.02
files,2,150,0.02
content,2,238,0.02
settings,2,118,0.02
index,2,277,0.01
params,1,257,0.03
terms,1,178,0.09
fields,1,89,0.02
solr,1,135,0.07
feedback,1,116,0.07
payload,1,130,0.04
boost,1,126,0.09
freq,1,214,0.15
match,1,112,0.03
relevancy,1,83,0.06
names,1,97,0.01
min,1,204,0.03
interesting,1,55,0.04
must,1,60,0.04
parser,1,68,0.01
dbg,1,50,0.04
req,1,51,0.02
results,1,49,0.01
searcher,1,42,0.02
crawl,1,531,0.33
request,1,382,0.03
http,1,339,0.04
response,1,354,0.03
peterbencze,1,163,0.11
serritor,1,163,0.11
servlet,1,181,0.04
duration,1,153,0.05
delay,1,132,0.05
socket,1,124,0.03
logger,1,134,0.01
server,1,117,0.02
configuration,1,111,0.01
validate,1,108,0.04
allowed,1,96,0.06
config,1,135,0.01
cookie,1,90,0.03
jwt,1,86,0.04
lock,1,103,0.03
session,1,76,0.01
stats,1,120,0.03
internal,1,80,0.02
user,1,96,0.01
not,1,110,0.02
position,1,253,0.04
state,1,264,0.02
liblevenshtein,1,157,0.09
build,1,216,0.03
dawg,1,180,0.1
transducer,1,152,0.09
dictionary,1,129,0.05
next,1,161,0.02
option,1,98,0.02
serializable,1,138,0.05
transition,1,95,0.03
,1,145,
function,1,123,0.02
version,1,107,0.02
collection,1,81,0.02
options,1,79,0.01
lombok,1,80,0.02
algorithm,1,92,0.03
proto,1,54,0.02
positions,1,30,0.01
serial,1,57,0.02
uid,1,57,0.02
time,1,283,0.02
starts,1,132,0.07
with,1,206,0.03
elapsed,1,91,0.05
current,1,220,0.03
trie,1,88,0.06
similarity,1,111,0.06
remove,1,80,0.02
leaf,1,78,0.05
line,1,204,0.02
charset,1,41,0.01
children,1,26,0.01
root,1,95,0.02
nodes,1,40,0.01
preprocess,1,43,0.03
buffered,1,146,0.03
number,1,36,0.0
algo,1,14,0.01
visited,1,18,0.01
charsets,1,18,0.01
sensitive,1,13,0.01
stack,1,60,0.01
graph,1,30,0.01
topic,1,51,0.02
edge,1,31,0.01
twt,1,16,0.01
emotion,1,21,0.02
twitter,1,19,0.01
json,1,65,0.01
anger,1,8,0.01
fear,1,8,0.01
disgust,1,8,0.01
sadness,1,8,0.01
joy,1,8,0.01
button,1,27,0.0
message,1,106,0.01
twittervis,1,8,0.01
obj,1,16,0.0
alchemy,1,6,0.0
dev,1,7,0.0
tweet,1,6,0.0
vis,1,5,0.0
status,1,50,0.01
greetings,1,5,0.0
auth,1,41,0.01
secret,1,19,0.01
submit,1,4,0.0
language,1,20,0.01
rank,1,529,0.26
idx,1,334,0.1
ranker,1,304,0.23
samples,1,286,0.13
output,1,319,0.03
umass,1,198,0.15
test,1,245,0.03
edu,1,199,0.07
ciir,1,198,0.15
weight,1,181,0.06
metric,1,151,0.06
best,1,152,0.07
validation,1,145,0.05
math,1,182,0.04
learning,1,128,0.06
labels,1,107,0.03
sum,1,150,0.05
scores,1,107,0.05
create,1,200,0.02
back,1,181,0.09
pwn,1,172,0.16
tree,1,157,0.03
mouse,1,78,0.03
document,1,95,0.02
btn,1,66,0.02
log,1,183,0.01
mediator,1,67,0.04
table,1,66,0.01
scroll,1,49,0.02
pane,1,54,0.01
paths,1,37,0.01
swing,1,56,0.01
child,1,38,0.01
layout,1,47,0.0
year,1,28,0.02
clicked,1,26,0.02
mutable,1,29,0.02
driver,1,75,0.03
listener,1,34,0.0
chooser,1,22,0.01
export,1,21,0.01
selection,1,20,0.01
parse,1,138,0.02
sent,1,373,0.22
kariminf,1,355,0.27
process,1,228,0.05
order,1,214,0.05
sim,1,188,0.1
hash,1,292,0.03
pre,1,154,0.07
summary,1,138,0.06
lang,1,163,0.03
folder,1,122,0.04
num,1,210,0.04
unit,1,137,0.03
tcc,1,114,0.09
pos,1,149,0.03
nbr,1,108,0.08
sentences,1,100,0.06
leng,1,101,0.08
processor,1,94,0.02
comb,1,94,0.07
gbc,1,92,0.05
elasticsearch,1,56,0.03
analyzer,1,82,0.04
persian,1,48,0.05
analysis,1,79,0.04
provider,1,29,0.0
environment,1,18,0.01
tokenfilters,1,26,0.02
parsi,1,17,0.02
standard,1,76,0.04
width,1,15,0.0
joiner,1,19,0.02
suffixes,1,13,0.01
zero,1,19,0.01
normalization,1,12,0.01
hamza,1,12,0.01
stem,1,16,0.01
arrays,1,72,0.02
analyzers,1,5,0.0
yeh,1,9,0.01
