keyword,doc_freq,total_freq,tfidf
get,33,176984,0.0
string,32,147498,0.0
set,30,61000,0.01
message,28,80970,0.15
exception,27,70231,0.01
name,26,64848,0.02
override,26,33624,0.01
java,24,37239,0.0
util,24,26080,0.01
list,23,34601,0.01
type,22,36218,0.02
map,22,24043,0.01
context,19,26596,0.03
value,18,36011,0.02
object,17,25792,0.03
data,17,33114,0.02
user,16,32878,0.1
org,16,46867,0.03
view,13,21439,0.04
com,13,28506,0.02
listener,12,13311,0.03
text,12,14066,0.02
client,12,21109,0.07
add,12,20748,0.01
service,12,26592,0.07
android,11,7617,0.02
messages,11,5518,0.04
activity,11,8167,0.03
log,11,27255,0.04
key,11,24185,0.03
utils,11,12750,0.02
time,11,12475,0.03
logger,11,22969,0.04
item,11,9124,0.02
info,10,19470,0.04
config,10,19982,0.04
chat,9,5069,0.05
core,9,19227,0.05
size,9,21122,0.02
connection,9,24916,0.1
session,9,23745,0.09
file,9,23227,0.01
factory,9,16912,0.04
request,9,12851,0.03
intent,8,3866,0.02
builder,8,27911,0.04
response,8,13091,0.03
result,8,18618,0.02
state,8,10513,0.02
instance,7,11822,0.03
manager,7,15010,0.04
click,7,3864,0.02
layout,7,5552,0.02
stream,7,13767,0.02
msg,7,13349,0.1
url,7,11021,0.03
apache,7,29800,0.14
image,7,4861,0.01
handler,6,10546,0.03
json,6,8923,0.02
api,6,8834,0.02
server,6,19601,0.07
group,6,14621,0.05
event,6,10426,0.02
queue,6,21284,0.16
property,6,15418,0.04
configuration,6,16123,0.05
properties,6,12038,0.05
resource,6,10281,0.04
hash,6,16914,0.04
support,5,3081,0.01
firebase,5,788,0.01
consumer,5,9198,0.07
count,5,11480,0.03
error,5,13815,0.03
element,5,13284,0.04
field,5,14557,0.04
from,5,12505,0.05
put,5,10815,0.02
find,5,3895,0.01
path,5,10608,0.01
database,5,3849,0.02
channel,5,10654,0.05
model,5,6916,0.01
entity,5,9916,0.04
google,5,19695,0.08
address,5,21750,0.11
timeout,5,6514,0.06
provider,5,7509,0.03
app,4,3785,0.01
contact,4,5051,0.06
sender,4,3558,0.03
protocol,4,9258,0.07
adapter,4,2665,0.01
jms,4,14953,0.27
create,4,15261,0.03
socket,4,3295,0.02
input,4,12878,0.02
status,4,8810,0.03
amqp,4,6051,0.12
delivery,4,4550,0.06
array,4,11733,0.01
conversation,3,4286,0.06
contacts,3,453,0.01
options,3,5289,0.02
max,3,8727,0.02
ack,3,2927,0.04
store,3,12158,0.07
bean,3,11111,0.07
node,3,10938,0.02
date,3,3463,0.01
last,3,5529,0.03
widget,3,1878,0.01
notification,3,3645,0.03
constants,3,11348,0.05
sql,3,8227,0.04
names,3,3194,0.01
task,3,7233,0.03
debug,3,7309,0.04
holder,3,4064,0.02
scale,3,2262,0.02
qpid,3,11263,0.25
test,3,8699,0.02
javax,3,6428,0.02
broker,3,5340,0.07
buffer,3,15694,0.05
number,3,5156,0.02
payload,3,3112,0.02
parse,3,8581,0.04
descriptor,3,4877,0.03
registry,3,9268,0.06
other,3,6175,0.05
code,3,9145,0.02
common,3,3930,0.02
equals,3,11782,0.03
with,3,7531,0.03
http,3,6201,0.02
annotation,3,2282,0.01
token,3,4534,0.02
lock,3,5900,0.04
messaging,3,2895,0.05
send,3,7902,0.06
mode,3,4705,0.02
action,3,4515,0.01
content,3,7699,0.02
record,3,5703,0.03
uri,3,6406,0.03
topic,3,5227,0.04
integer,3,6665,0.02
button,3,3749,0.01
tag,2,4367,0.01
fragment,2,1236,0.01
pager,2,310,0.0
runtime,2,3701,0.02
listeners,2,1097,0.01
title,2,1543,0.01
icon,2,904,0.01
inflater,2,869,0.01
system,2,7146,0.02
duration,2,2178,0.02
out,2,5774,0.01
pattern,2,1828,0.01
length,2,8177,0.01
option,2,2369,0.01
account,2,2091,0.02
username,2,3307,0.02
