keyword,doc_freq,total_freq,tfidf
string,13,31788,0.0
get,12,46568,0.0
file,11,17074,0.01
java,11,9355,0.0
util,11,13784,0.0
name,11,18355,0.01
exception,10,8698,0.0
list,10,14019,0.0
set,10,11806,0.0
path,9,7079,0.01
override,9,11655,0.0
text,8,10019,0.01
value,8,7993,0.0
org,7,15198,0.01
result,7,7763,0.01
type,7,16982,0.01
project,6,11633,0.08
source,6,4127,0.01
add,6,6370,0.0
context,6,4655,0.01
stream,5,2875,0.0
info,5,3354,0.01
message,5,4481,0.01
element,5,26861,0.09
object,5,5987,0.01
com,5,20168,0.01
node,5,6317,0.01
map,5,6302,0.0
model,4,6650,0.01
files,4,1030,0.0
logger,4,3214,0.01
parent,4,4749,0.03
lang,4,11032,0.07
array,4,5159,0.0
,4,12210,
create,4,4761,0.01
resource,4,2249,0.01
length,4,4076,0.01
utils,4,3126,0.0
eclipse,3,6132,0.06
target,3,3303,0.01
action,3,3653,0.01
log,3,2478,0.0
version,3,2023,0.01
variable,3,3135,0.03
field,3,3222,0.01
error,3,2738,0.01
output,3,2033,0.01
root,3,3364,0.02
label,3,2412,0.01
start,3,3581,0.01
method,3,3553,0.01
module,3,6024,0.04
offset,3,4319,0.02
input,3,3006,0.01
code,3,3762,0.01
data,3,5957,0.01
manager,3,4168,0.01
builder,3,3604,0.01
entry,2,1655,0.01
ide,2,1062,0.03
plugins,2,1941,0.02
reference,2,3000,0.02
sdk,2,2460,0.03
runtime,2,3219,0.02
compile,2,749,0.01
test,2,2303,0.01
core,2,4082,0.01
reader,2,1162,0.0
operation,2,1331,0.01
parser,2,2204,0.01
line,2,4208,0.01
preferences,2,746,0.01
fxml,2,276,0.0
scene,2,244,0.0
javafx,2,280,0.0
main,2,959,0.0
property,2,1148,0.0
psi,2,20375,0.38
intellij,2,11240,0.2
not,2,11582,0.05
types,2,1688,0.01
expression,2,2587,0.02
nullable,2,3854,0.03
member,2,1949,0.02
openapi,2,3052,0.06
settings,2,2825,0.02
elements,2,1563,0.01
token,2,6235,0.03
buffer,2,1897,0.01
sql,2,802,0.0
groovy,2,742,0.02
image,2,2638,0.01
index,2,3757,0.0
address,2,415,0.0
swt,2,2963,0.04
selection,2,3857,0.04
event,2,2662,0.01
illegal,2,372,0.0
parameter,2,1261,0.01
editor,2,4060,0.04
config,2,1551,0.0
key,2,3572,0.0
classpath,1,372,0.01
folder,1,693,0.01
gradle,1,269,0.0
library,1,908,0.01
zip,1,121,0.0
factory,1,957,0.0
android,1,157,0.0
entries,1,215,0.0
aar,1,20,0.0
api,1,341,0.0
folders,1,63,0.0
format,1,786,0.0
dependencies,1,185,0.0
merged,1,12,0.0
greensopinion,1,5,0.0
when,1,139,0.0
plugin,1,1166,0.01
melnorme,1,1037,0.03
utilbox,1,575,0.02
rust,1,568,0.02
common,1,1168,0.01
tool,1,698,0.01
tooling,1,320,0.01
location,1,1172,0.01
build,1,1528,0.01
parse,1,1248,0.01
cargo,1,258,0.01
messages,1,510,0.0
iterator,1,1027,0.01
github,1,294,0.0
rustdt,1,185,0.01
status,1,2093,0.01
stage,1,103,0.0
loader,1,304,0.0
application,1,649,0.0
app,1,146,0.0
load,1,594,0.0
openjfx,1,8,0.0
args,1,949,0.0
