keyword,doc_freq,total_freq,tfidf
get,52,94396,0.0
string,51,47461,0.0
java,47,14779,0.0
set,44,18260,0.0
list,43,18172,0.01
util,41,14911,0.01
exception,38,11619,0.0
name,37,16128,0.01
message,35,29316,0.1
add,31,11253,0.01
override,28,13764,0.01
user,27,14585,0.08
event,27,20750,0.08
builder,27,12834,0.03
value,25,9583,0.01
type,24,18028,0.02
bot,23,8876,0.24
com,22,11311,0.01
text,22,7299,0.02
channel,21,17785,0.16
map,21,10688,0.01
array,20,5482,0.01
command,19,14333,0.1
object,18,7451,0.02
utils,18,6469,0.02
json,18,9383,0.05
logger,18,4868,0.02
file,17,7086,0.01
data,17,11190,0.02
client,17,6434,0.04
api,17,10917,0.06
send,16,5901,0.08
url,16,6647,0.03
stream,16,5949,0.01
org,16,10018,0.01
guild,15,17954,0.54
time,15,6441,0.03
commands,15,4166,0.06
info,15,5497,0.02
response,14,6257,0.03
append,14,4239,0.02
equals,13,5328,0.03
request,13,7450,0.03
jda,13,4860,0.16
net,13,6488,0.06
manager,13,5084,0.02
action,13,4968,0.02
core,12,6051,0.03
key,12,7147,0.02
config,12,5095,0.02
result,11,5742,0.01
messages,11,1890,0.03
args,11,6239,0.03
context,11,9149,0.02
input,10,3120,0.01
member,10,6329,0.12
chat,9,4513,0.09
content,9,4805,0.02
level,9,3503,0.04
error,9,4514,0.02
model,8,3402,0.01
size,8,4856,0.01
role,8,5028,0.08
length,8,3924,0.01
token,8,2184,0.02
reply,8,3123,0.07
hash,7,4229,0.02
integer,7,3296,0.02
color,7,3020,0.02
player,7,4472,0.07
service,7,4415,0.02
log,7,3878,0.01
option,7,2930,0.02
listener,7,3379,0.01
server,7,7252,0.05
node,7,2763,0.01
build,7,5124,0.04
path,7,3691,0.01
factory,7,2586,0.01
query,6,3726,0.03
code,6,3431,0.02
sender,6,1472,0.02
settings,6,1899,0.02
queue,6,4192,0.06
connection,6,1777,0.01
entity,6,5002,0.04
matcher,6,1454,0.02
session,6,1374,0.01
users,6,1126,0.02
game,6,3986,0.07
create,6,4883,0.02
update,6,3796,0.04
instance,6,2904,0.01
annotation,6,2532,0.02
base,5,2845,0.02
title,5,1957,0.02
permission,5,3748,0.05
events,5,945,0.01
format,5,3789,0.02
embed,5,3253,0.1
entities,5,2169,0.05
order,5,2063,0.03
put,5,3213,0.01
find,5,1523,0.01
line,5,1713,0.01
packet,5,3018,0.04
property,5,2887,0.01
github,5,929,0.01
entry,5,2474,0.01
date,5,3521,0.02
item,5,3330,0.02
target,5,2713,0.02
rest,5,3192,0.05
discord,5,2938,0.09
lombok,5,1879,0.02
handler,5,2956,0.02
not,5,2316,0.02
status,5,3337,0.02
mode,4,1850,0.02
received,4,1418,0.04
help,4,1639,0.04
group,4,2446,0.02
price,4,1300,0.02
values,4,1374,0.01
trade,4,501,0.01
index,4,2980,0.01
current,4,3350,0.02
msg,4,953,0.01
output,4,2119,0.01
out,4,1757,0.01
store,4,3205,0.04
username,4,1096,0.01
max,4,2597,0.01
protocol,4,1630,0.03
main,4,1885,0.01
http,4,2151,0.01
element,4,1412,0.01
position,4,6083,0.05
cache,4,3646,0.04
strategy,4,1615,0.02
state,4,5219,0.02
params,4,552,0.0
description,4,3376,0.03
options,4,1720,0.01
springframework,4,1123,0.01
that,3,836,0.02
parse,3,2082,0.02
author,3,1901,0.04
wrapper,3,924,0.01
decimal,3,1901,0.04
big,3,1791,0.03
currency,3,1189,0.03
filter,3,2477,0.02
read,3,2269,0.01
write,3,1185,0.01
str,3,825,0.01
location,3,1395,0.01
slot,3,887,0.02
network,3,753,0.01
random,3,1340,0.02
account,3,435,0.01
pair,3,805,0.01
pattern,3,1713,0.02
optional,3,3032,0.04
constants,3,1991,0.02
prop,3,173,0.0
contains,3,2128,0.03
chan,3,488,0.02
post,3,1420,0.02
unit,3,12334,0.15
attack,3,740,0.02
voice,3,3334,0.11
interaction,3,2183,0.07
application,3,1395,0.01
delete,3,2352,0.04
properties,3,1755,0.02
match,3,1103,0.01
body,3,1801,0.02
task,3,1540,0.01
field,3,2791,0.01
button,3,2048,0.01
impl,3,3015,0.03
,3,2306,
conversation,3,2162,0.06
audio,3,2704,0.05
track,3,1990,0.04
sql,3,1137,0.01
statement,3,712,0.01
javax,3,1813,0.01
replace,3,1356,0.02
app,3,593,0.0
quick,3,531,0.02
payload,3,1497,0.02
symbol,3,384,0.01
orders,3,373,0.01
database,3,1853,0.02
print,3,1229,0.01
repository,3,1610,0.02
attribute,3,402,0.0
param,3,871,0.01
image,3,3173,0.02
view,3,941,0.0
telegrambot,2,1465,0.07
objects,2,1869,0.02
inline,2,1893,0.08
video,2,763,0.01
thumb,2,408,0.01
photo,2,682,0.02
keyboard,2,458,0.01
feed,2,246,0.01
execute,2,1275,0.02
serialized,2,766,0.01
trading,2,299,0.01
tick,2,360,0.01
writer,2,658,0.01
reader,2,821,0.01
names,2,553,0.0
obj,2,1252,0.01
table,2,1045,0.01
buffered,2,923,0.01
start,2,1935,0.01
from,2,2801,0.02
var,2,3123,0.04
uuid,2,469,0.01
attributes,2,418,0.0
password,2,364,0.0
slack,2,204,0.01
irc,2,111,0.0
join,2,1246,0.03
notification,2,513,0.01
verify,2,403,0.01
document,2,1562,0.02
shard,2,2449,0.07
logging,2,653,0.01
room,2,1500,0.03
