keyword,doc_freq,total_freq,tfidf
get,45,150096,0.0
string,44,91584,0.0
override,39,32771,0.01
set,39,49440,0.0
exception,36,54015,0.01
java,31,28560,0.0
name,31,51572,0.01
util,28,20689,0.0
value,26,95493,0.03
list,26,25470,0.0
message,22,20096,0.03
com,22,14050,0.01
type,22,97218,0.04
org,21,55189,0.02
add,21,36497,0.01
data,20,41700,0.02
log,18,15719,0.02
map,18,17301,0.01
object,17,22855,0.02
device,16,18557,0.1
client,15,18844,0.04
android,15,2554,0.0
key,15,16235,0.01
text,14,24362,0.02
context,14,22762,0.02
logger,14,12297,0.02
result,14,12686,0.01
json,13,10661,0.02
state,13,23892,0.03
length,13,7710,0.01
listener,13,6195,0.01
config,12,14521,0.02
view,12,4084,0.01
manager,12,12209,0.02
code,12,16204,0.03
service,12,20378,0.04
time,11,16471,0.03
file,11,9417,0.0
command,11,9135,0.02
event,11,23461,0.03
request,11,16562,0.02
status,11,19530,0.05
array,11,10800,0.01
stream,11,10917,0.01
response,10,15905,0.03
callback,10,4064,0.02
handler,10,10186,0.02
token,10,9117,0.02
server,10,19486,0.05
info,10,10791,0.02
buffer,10,10402,0.02
activity,9,1498,0.0
error,9,10116,0.01
action,9,5637,0.01
format,9,7375,0.02
system,8,5282,0.01
connect,8,1866,0.01
node,8,192723,0.29
channel,8,11234,0.04
builder,8,13788,0.01
item,8,18058,0.03
equals,8,11445,0.02
size,8,8756,0.01
intent,7,1171,0.0
,7,15939,
topic,7,4677,0.03
user,7,14558,0.03
model,7,14726,0.02
field,7,14300,0.03
content,7,4381,0.01
hash,7,11174,0.02
configuration,7,9346,0.02
index,7,4767,0.0
values,7,5905,0.01
mqtt,6,5954,0.09
http,6,5541,0.01
api,6,6838,0.01
create,6,7315,0.01
uri,6,10758,0.03
address,6,12569,0.05
put,6,9188,0.01
javax,6,6615,0.02
port,6,4167,0.02
integer,6,25962,0.05
location,6,2277,0.01
append,6,6261,0.01
instance,6,7048,0.01
factory,6,7802,0.01
out,5,6095,0.01
eclipse,5,34077,0.23
stack,5,24002,0.08
read,5,13071,0.03
payload,5,2763,0.02
converter,5,2854,0.02
connection,5,6404,0.02
update,5,8349,0.03
google,5,3497,0.01
auth,5,3400,0.02
from,5,6057,0.02
path,5,8806,0.01
tag,5,2350,0.01
layout,5,1842,0.0
bundle,5,4930,0.02
input,5,7004,0.01
image,5,1971,0.0
unit,5,11733,0.06
app,5,2236,0.01
