keyword,doc_freq,total_freq,tfidf
pane,1,64,0.39
option,1,55,0.23
frame,1,60,0.26
message,1,46,0.08
set,1,60,0.01
menu,1,42,0.18
swing,1,33,0.21
close,1,33,0.19
label,1,33,0.11
show,1,25,0.14
cursor,1,29,0.19
panel,1,37,0.18
dialog,1,25,0.1
process,1,32,0.18
add,1,37,0.01
javax,1,26,0.09
get,1,24,0.0
error,1,19,0.03
stream,1,19,0.02
lbl,1,19,0.25
button,1,22,0.06
acgs,1,19,0.46
action,1,19,0.05
java,1,20,0.0
layout,1,19,0.05
logger,1,17,0.03
bar,1,17,0.09
border,1,20,0.15
log,1,15,0.02
input,1,15,0.02
reader,1,14,0.04
core,1,17,0.04
string,1,21,0.0
builder,1,12,0.01
radio,1,13,0.16
text,1,14,0.02
isr,1,12,0.25
exception,1,12,0.0
buffer,1,12,0.04
image,1,12,0.03
print,1,12,0.05
awt,1,11,0.08
script,1,12,0.08
tmp,1,12,0.1
area,1,10,0.1
listener,1,11,0.02
printer,1,10,0.12
level,1,9,0.05
icon,1,9,0.05
code,1,12,0.03
