keyword,doc_freq,total_freq,tfidf
get,5,4198,0.0
java,5,767,0.0
string,5,3439,0.0
exception,5,1882,0.0
uri,4,3184,0.15
org,4,761,0.01
util,4,503,0.0
model,4,4461,0.08
stream,3,600,0.01
rdf,3,331,0.06
json,3,989,0.03
node,3,533,0.01
property,3,699,0.02
apache,3,364,0.02
command,3,252,0.01
create,3,697,0.02
jena,3,348,0.07
value,3,1351,0.01
factory,3,562,0.01
input,3,380,0.01
output,3,190,0.0
out,3,145,0.0
list,3,1190,0.0
object,3,1490,0.02
query,3,523,0.02
path,3,947,0.01
set,3,576,0.0
parser,2,61,0.0
subject,2,36,0.0
triple,2,35,0.01
base,2,127,0.01
reader,2,77,0.0
line,2,37,0.0
writer,2,81,0.0
array,2,298,0.0
charset,2,30,0.0
system,2,150,0.0
literal,2,114,0.02
datatype,2,103,0.02
lib,2,11,0.0
parse,2,57,0.0
map,2,357,0.0
graph,2,200,0.01
description,2,17,0.0
resource,2,880,0.04
override,2,1423,0.01
atomgraph,2,238,0.05
com,2,267,0.0
add,2,545,0.0
type,2,3547,0.02
core,2,1325,0.04
types,2,159,0.01
server,2,431,0.02
processor,2,91,0.01
context,2,294,0.0
file,2,887,0.01
name,2,582,0.0
stack,1,23,0.0
last,1,30,0.0
xsd,1,17,0.0
properties,1,57,0.0
empty,1,53,0.0
buffered,1,34,0.0
deque,1,6,0.0
convert,1,17,0.0
standard,1,17,0.0
riot,1,25,0.01
charsets,1,11,0.0
component,1,12,0.0
ont,1,448,0.09
ontology,1,349,0.07
template,1,274,0.02
mapper,1,153,0.01
log,1,168,0.0
denied,1,126,0.03
media,1,175,0.01
response,1,382,0.01
javax,1,277,0.01
iterator,1,241,0.02
call,1,96,0.01
builder,1,142,0.0
argument,1,131,0.01
statement,1,71,0.0
parameter,1,87,0.0
url,1,797,0.02
install,1,571,0.11
kns,1,390,0.12
format,1,319,0.01
version,1,311,0.01
kbox,1,237,0.07
aksw,1,222,0.06
message,1,402,0.01
commands,1,140,0.01
dest,1,178,0.03
source,1,154,0.01
print,1,168,0.01
serializer,1,135,0.01
visitor,1,133,0.01
locate,1,124,0.03
utils,1,193,0.0
param,1,358,0.02
not,1,138,0.01
resolved,1,100,0.02
target,1,120,0.0
kibe,1,88,0.03
contains,1,138,0.01
zip,1,86,0.01
box,1,87,0.01
println,1,87,0.0
key,1,288,0.0
csv,1,31,0.0
per,1,21,0.0
row,1,16,0.0
max,1,31,0.0
column,1,11,0.0
delimiter,1,12,0.0
settings,1,10,0.0
function,1,18,0.0
count,1,43,0.0
etl,1,8,0.0
cell,1,7,0.0
write,1,112,0.0
parsing,1,18,0.0
parsers,1,4,0.0
option,1,7,0.0
construct,1,9,0.0
topic,1,3795,0.37
assoc,1,2763,0.62
dmx,1,2087,0.44
topics,1,901,0.13
def,1,1251,0.14
comp,1,1305,0.2
impl,1,1274,0.08
systems,1,1202,0.22
child,1,882,0.06
config,1,909,0.02
role,1,765,0.07
service,1,813,0.02
assocs,1,282,0.06
related,1,683,0.13
view,1,609,0.01
player,1,593,0.05
event,1,535,0.01
workspace,1,519,0.09
logger,1,663,0.01
runtime,1,440,0.03
plugin,1,381,0.02
defs,1,156,0.03
values,1,195,0.01
update,1,398,0.02
username,1,339,0.03
topicmap,1,317,0.07
fetch,1,314,0.05
info,1,371,0.01
