keyword,doc_freq,total_freq,tfidf
string,1,117,0.0
input,1,61,0.06
ids,1,67,0.39
code,1,57,0.1
point,1,53,0.16
sequence,1,41,0.18
model,1,52,0.05
inputs,1,32,0.23
sequences,1,36,0.32
list,1,36,0.0
token,1,38,0.09
stream,1,39,0.03
java,1,36,0.0
array,1,26,0.01
tokenizer,1,33,0.26
mask,1,28,0.18
segment,1,28,0.2
builder,1,30,0.03
tokenize,1,28,0.31
vocabulary,1,31,0.32
path,1,29,0.02
put,1,25,0.03
length,1,27,0.02
map,1,27,0.01
character,1,26,0.17
max,1,22,0.03
get,1,24,0.0
characters,1,22,0.21
buffer,1,21,0.04
tokens,1,18,0.12
lower,1,18,0.12
file,1,21,0.01
util,1,19,0.0
arrays,1,13,0.06
output,1,19,0.03
exception,1,15,0.0
embedding,1,14,0.17
start,1,15,0.02
feed,1,12,0.1
bundle,1,13,0.05
tensor,1,13,0.14
set,1,13,0.0
embed,1,12,0.13
converted,1,12,0.12
lists,1,8,0.06
punctuation,1,13,0.13
bert,1,12,0.14
integer,1,12,0.02
basic,1,12,0.09
whitespace,1,11,0.12
