keyword,doc_freq,total_freq,tfidf
length,2,15094,0.04
get,2,42390,0.0
data,2,34607,0.05
value,2,9711,0.01
info,2,6338,0.02
index,2,6726,0.01
exception,2,12106,0.0
string,2,23708,0.0
size,2,12577,0.02
java,2,9942,0.0
array,2,35646,0.05
org,2,32651,0.04
same,2,8590,0.27
matrix,1,3587,0.04
complex,1,1840,0.05
result,1,3860,0.01
rows,1,1781,0.03
columns,1,2041,0.03
other,1,2186,0.03
put,1,4240,0.02
idx,1,3035,0.05
indices,1,1740,0.05
row,1,1164,0.01
column,1,3936,0.03
blas,1,901,0.04
work,1,271,0.01
dup,1,791,0.03
scalar,1,2062,0.07
lwork,1,148,0.01
lda,1,473,0.02
math,1,1458,0.02
dummy,1,270,0.01
cindices,1,117,0.01
rindices,1,117,0.01
check,1,2705,0.02
ensure,1,464,0.02
addi,1,350,0.02
muli,1,398,0.02
simple,1,346,0.0
jblas,1,99,0.0
find,1,153,0.0
divi,1,224,0.01
incx,1,92,0.0
stream,1,3252,0.01
range,1,443,0.01
uplo,1,533,0.02
subi,1,160,0.01
vector,1,4307,0.06
iwork,1,74,0.0
alpha,1,947,0.02
type,1,22588,0.02
ind,1,19983,0.55
input,1,17441,0.05
shape,1,17618,0.31
pointer,1,17186,0.31
override,1,17518,0.01
list,1,17354,0.01
name,1,16130,0.01
buffer,1,15479,0.1
layer,1,14290,0.22
set,1,14559,0.0
variable,1,12732,0.18
api,1,11677,0.06
builder,1,11330,0.03
linalg,1,10851,0.29
output,1,9181,0.04
arrays,1,2935,0.04
cast,1,8978,0.25
types,1,3348,0.02
diff,1,8193,0.17
util,1,7002,0.0
map,1,7839,0.01
add,1,7809,0.01
num,1,6819,0.06
inputs,1,2732,0.06
ops,1,6346,0.21
out,1,6438,0.03
workspace,1,5916,0.17
args,1,4868,0.03
names,1,2322,0.02
layers,1,2356,0.05
conf,1,5531,0.09
dimensions,1,4530,0.15
offset,1,5083,0.04
config,1,5251,0.02
state,1,4972,0.02
max,1,4969,0.02
