keyword,doc_freq,total_freq,tfidf
org,1,320,0.06
reader,1,236,0.23
record,1,209,0.31
file,1,233,0.04
iterator,1,203,0.33
transform,1,153,0.4
set,1,138,0.0
api,1,129,0.1
data,1,135,0.03
split,1,111,0.25
datavec,1,105,0.44
exception,1,96,0.0
java,1,95,0.0
string,1,102,0.0
add,1,92,0.01
layer,1,81,0.19
process,1,83,0.15
out,1,76,0.05
image,1,77,0.07
list,1,82,0.0
path,1,72,0.02
schema,1,70,0.15
records,1,31,0.08
builder,1,72,0.03
linalg,1,63,0.25
sentence,1,64,0.21
model,1,65,0.03
conf,1,61,0.16
system,1,60,0.04
println,1,58,0.06
build,1,60,0.07
get,1,58,0.0
column,1,42,0.05
spark,1,54,0.16
input,1,48,0.02
util,1,42,0.0
array,1,38,0.01
label,1,42,0.05
size,1,45,0.01
com,1,43,0.01
arrays,1,35,0.07
args,1,41,0.04
factory,1,38,0.03
word,1,38,0.08
columns,1,26,0.06
layers,1,22,0.07
integer,1,33,0.03
example,1,31,0.05
main,1,33,0.04
activation,1,32,0.12
