keyword,doc_freq,total_freq,tfidf
string,34,7095,0.0
get,34,8853,0.0
log,30,3701,0.1
java,30,2096,0.0
name,29,2691,0.02
override,28,2243,0.01
util,27,1753,0.01
exception,21,1952,0.0
message,21,1645,0.05
logger,20,2231,0.07
org,20,1767,0.02
set,19,1876,0.0
com,18,1831,0.02
list,16,1312,0.0
format,16,1424,0.08
level,15,2065,0.19
error,15,1167,0.04
object,15,1732,0.03
type,15,1561,0.01
throwable,15,699,0.11
factory,14,1544,0.06
map,14,1157,0.01
context,14,1286,0.03
builder,14,1315,0.03
event,13,4056,0.13
args,12,1024,0.05
config,11,1133,0.04
debug,11,442,0.04
logging,11,602,0.08
append,11,1796,0.07
trace,10,590,0.05
stream,9,748,0.01
file,9,751,0.01
info,9,383,0.01
utils,9,899,0.02
value,9,1502,0.01
tag,9,424,0.02
apache,9,373,0.03
annotation,8,559,0.03
enabled,8,461,0.05
time,8,1620,0.06
thread,8,553,0.04
method,7,1110,0.06
add,7,787,0.01
android,7,219,0.01
pattern,7,540,0.05
output,7,408,0.01
text,7,421,0.01
base,7,136,0.01
request,7,1398,0.05
appender,7,271,0.07
writer,7,333,0.02
create,7,374,0.01
mdc,6,280,0.1
out,6,457,0.02
filter,6,1192,0.07
listener,6,565,0.02
path,6,418,0.01
key,6,1008,0.02
warn,6,154,0.04
property,6,537,0.02
system,6,343,0.01
core,6,427,0.02
put,6,433,0.01
result,6,356,0.01
length,6,530,0.01
field,6,510,0.02
test,6,224,0.01
date,6,320,0.02
content,6,480,0.02
logs,5,226,0.05
bean,5,457,0.05
,5,392,
instance,5,361,0.02
service,5,228,0.01
configuration,5,424,0.02
msg,5,736,0.09
impl,5,197,0.02
concurrent,5,254,0.04
hash,5,281,0.01
json,5,1585,0.07
array,5,456,0.01
stack,5,521,0.04
manager,5,470,0.02
print,5,308,0.02
response,5,1052,0.04
servlet,5,303,0.03
size,5,646,0.01
layout,5,420,0.02
max,5,563,0.02
logback,5,125,0.04
element,5,329,0.02
target,4,262,0.01
user,4,670,0.03
loggers,4,77,0.02
lang,4,181,0.02
priority,4,81,0.02
warning,4,181,0.04
empty,4,474,0.04
buffer,4,501,0.03
provider,4,305,0.02
http,4,1207,0.07
data,4,253,0.0
simple,4,153,0.02
api,4,758,0.03
formatter,4,499,0.1
warnings,4,114,0.02
suppress,4,136,0.02
app,4,203,0.01
count,4,736,0.03
illegal,4,257,0.03
start,4,399,0.01
plugin,4,165,0.01
matcher,4,205,0.02
parameter,3,385,0.03
names,3,145,0.01
springframework,3,275,0.02
arguments,3,211,0.03
registry,3,53,0.01
marker,3,520,0.09
build,3,217,0.01
parse,3,175,0.01
number,3,217,0.01
levels,3,52,0.01
contains,3,162,0.02
timber,3,58,0.01
tree,3,45,0.0
timestamp,3,220,0.03
verbose,3,130,0.04
junit,3,29,0.0
state,3,861,0.02
charset,3,305,0.05
update,3,448,0.04
optional,3,204,0.02
javax,3,263,0.02
action,3,250,0.01
equals,3,313,0.01
attribute,3,169,0.01
url,3,288,0.01
handler,3,185,0.01
net,3,346,0.03
view,3,377,0.01
activity,3,611,0.03
extension,3,85,0.01
err,3,62,0.01
line,3,209,0.01
converter,3,84,0.01
qos,3,95,0.03
github,3,149,0.01
argument,3,272,0.03
obj,3,313,0.03
source,3,985,0.05
code,3,288,0.01
printer,2,397,0.08
validator,2,172,0.03
resolver,2,990,0.16
invocation,2,148,0.03
expression,2,135,0.02
facade,2,110,0.03
collector,2,141,0.03
option,2,61,0.0
application,2,115,0.01
enable,2,87,0.01
security,2,171,0.02
channel,2,381,0.03
non,2,168,0.01
arg,2,164,0.02
location,2,136,0.01
tuple,2,18,0.0
formatting,2,22,0.01
formatted,2,106,0.03
function,2,231,0.01
retention,2,80,0.01
filtered,2,34,0.01
properties,2,385,0.03
export,2,15,0.0
clazz,2,110,0.02
bundle,2,127,0.01
integer,2,161,0.01
item,2,246,0.01
settings,2,482,0.04
predicate,2,222,0.03
printing,2,30,0.01
substring,2,125,0.03
all,2,394,0.03
min,2,125,0.01
statement,2,34,0.0
iterator,2,70,0.01
unit,2,248,0.03
buffered,2,108,0.01
headers,2,537,0.07
body,2,735,0.07
status,2,443,0.02
reply,2,284,0.06
write,2,493,0.03
nullable,2,238,0.03
with,2,308,0.02
input,2,237,0.01
close,2,143,0.01
command,2,695,0.04
seconds,2,129,0.03
inject,2,37,0.0
database,2,305,0.03
check,2,246,0.02
internal,2,113,0.01
arrays,2,131,0.01
execution,2,26,0.0
flush,2,153,0.04
color,2,186,0.01
record,2,62,0.01
prefix,2,198,0.03
replace,2,201,0.03
events,2,66,0.01
classic,2,86,0.03
template,2,329,0.04
per,2,107,0.02
runner,2,85,0.01
run,2,128,0.01
println,2,52,0.0
runtime,2,136,0.01
adapter,2,57,0.0
spi,2,56,0.01
node,2,190,0.01
plugins,2,77,0.01
current,2,249,0.01
proxy,2,150,0.02
client,2,344,0.02
session,2,71,0.0
invoke,2,52,0.01
post,2,84,0.01
point,2,65,0.0
params,2,109,0.01
support,2,58,0.0
wtf,2,38,0.01
index,2,312,0.01
eclair,1,289,0.12
tinkoff,1,238,0.1
definition,1,110,0.02
mdcs,1,82,0.03
validate,1,128,0.02
usage,1,92,0.02
watch,1,34,0.01
thinksincode,1,27,0.01
tailstreamer,1,27,0.01
options,1,111,0.01
keystore,1,25,0.01
watcher,1,24,0.01
password,1,41,0.0
tail,1,52,0.01
web,1,71,0.01
nio,1,121,0.02
ssl,1,26,0.0
autowired,1,30,0.0
connector,1,64,0.01
users,1,49,0.01
publisher,1,31,0.01
supplier,1,199,0.04
underlying,1,68,0.02
suppliers,1,36,0.02
lambda,1,55,0.01
kwonnam,1,17,0.01
aware,1,13,0.0
fqcn,1,15,0.01
defaultlogger,1,4,0.0
plain,1,6,0.0
threshold,1,38,0.01
liquibase,1,7,0.0
mattbertolini,1,3,0.0
fine,1,14,0.0
osgi,1,2,0.0
severe,1,13,0.0
version,1,107,0.01
props,1,167,0.03
versioning,1,1,0.0
logg,1,291,0.12
constant,1,98,0.02
interceptor,1,163,0.03
space,1,66,0.01
parser,1,103,0.01
xml,1,94,0.01
intent,1,67,0.0
callback,1,52,0.0
child,1,59,0.01
sub,1,40,0.01
btn,1,20,0.0
structure,1,19,0.0
people,1,18,0.01
matches,1,80,0.02
regex,1,90,0.01
streams,1,32,0.01
delegates,1,15,0.01
suppressions,1,13,0.0
readonly,1,13,0.0
extensions,1,11,0.0
collections,1,88,0.02
row,1,126,0.01
values,1,106,0.0
delegate,1,92,0.01
baos,1,13,0.0
rules,1,39,0.01
show,1,27,0.0
rule,1,10,0.0
when,1,28,0.01
fails,1,11,0.0
only,1,63,0.01
next,1,189,0.01
local,1,134,0.01
lock,1,29,0.0
description,1,30,0.0
errors,1,27,0.01
lachlanmckee,1,2,0.0
amazon,1,64,0.01
email,1,60,0.01
page,1,58,0.0
allowed,1,55,0.02
jpomykala,1,32,0.01
springhoc,1,32,0.01
details,1,63,0.01
metadata,1,41,0.0
upload,1,33,0.01
mail,1,28,0.01
principal,1,26,0.01
auto,1,90,0.01
services,1,26,0.0
amazonaws,1,33,0.01
cors,1,23,0.01
credentials,1,36,0.01
logbook,1,777,0.25
zalando,1,490,0.14
header,1,210,0.02
filters,1,131,0.02
apiguardian,1,161,0.04
stage,1,164,0.02
constructor,1,189,0.02
correlation,1,149,0.05
query,1,179,0.01
read,1,214,0.01
buf,1,91,0.01
seek,1,12,0.0
resource,1,173,0.01
lines,1,51,0.01
appenders,1,7,0.0
offset,1,96,0.01
effective,1,15,0.01
bus,1,48,0.01
cloudogu,1,44,0.02
decorated,1,32,0.01
timer,1,36,0.01
counter,1,36,0.0
execute,1,93,0.01
duration,1,99,0.01
nano,1,135,0.04
nanoseconds,1,28,0.01
clock,1,56,0.02
convert,1,42,0.01
histogram,1,9,0.0
nanos,1,108,0.04
decorator,1,17,0.0
enterprise,1,22,0.01
handlers,1,4,0.0
cdi,1,7,0.0
micrometer,1,7,0.0
register,1,20,0.0
historian,1,71,0.03
open,1,197,0.02
callbacks,1,43,0.01
helper,1,63,0.01
yslibrary,1,21,0.01
lite,1,15,0.0
directory,1,28,0.0
