keyword,doc_freq,total_freq,tfidf
get,2,3365,0.0
language,2,2735,0.43
string,2,3108,0.0
java,2,944,0.0
set,2,924,0.0
override,2,858,0.01
name,2,797,0.01
util,2,550,0.0
utils,2,533,0.01
list,2,659,0.0
array,2,537,0.01
text,2,634,0.02
context,2,513,0.01
modernmt,1,1952,0.71
exception,1,2071,0.01
file,1,1293,0.01
corpus,1,1098,0.33
config,1,940,0.04
translation,1,955,0.21
source,1,905,0.05
builder,1,896,0.02
direction,1,824,0.15
reader,1,762,0.05
sentence,1,713,0.15
length,1,786,0.02
tag,1,638,0.04
target,1,712,0.05
token,1,622,0.04
tokenizer,1,618,0.15
memory,1,634,0.11
stream,1,657,0.02
index,1,638,0.01
processing,1,549,0.11
line,1,544,0.03
decoder,1,545,0.1
add,1,575,0.0
result,1,542,0.01
map,1,555,0.0
put,1,511,0.02
size,1,534,0.01
model,1,459,0.01
word,1,405,0.05
filter,1,443,0.03
writer,1,489,0.04
xml,1,442,0.04
options,1,352,0.02
org,1,427,0.01
analyzer,1,387,0.1
apache,1,388,0.04
node,1,398,0.02
view,1,286,0.01
hook,1,225,0.06
method,1,339,0.02
android,1,215,0.01
preference,1,194,0.03
translate,1,226,0.06
args,1,408,0.02
log,1,512,0.02
web,1,131,0.01
notification,1,114,0.02
alltrans,1,110,0.06
param,1,122,0.01
debug,1,125,0.01
key,1,269,0.01
translated,1,78,0.02
sequence,1,151,0.02
client,1,72,0.0
original,1,101,0.02
dialog,1,71,0.01
uri,1,106,0.01
request,1,239,0.01
object,1,341,0.01
translator,1,66,0.02
build,1,214,0.02
xposed,1,60,0.02
url,1,101,0.0
cache,1,112,0.01
value,1,432,0.0
from,1,248,0.02
pref,1,51,0.01
version,1,76,0.01
,1,82,
application,1,50,0.0
values,1,84,0.0
user,1,130,0.01
extra,1,71,0.01
call,1,91,0.01
