keyword,doc_freq,total_freq,tfidf
get,10,10139,0.0
string,10,3937,0.0
set,9,5269,0.01
value,8,2221,0.01
file,6,1688,0.01
java,6,2095,0.0
exception,6,1235,0.0
list,6,2878,0.01
max,6,1305,0.03
size,6,1973,0.02
util,6,1634,0.0
name,5,1273,0.0
com,5,974,0.01
add,5,2279,0.01
test,4,731,0.02
start,4,575,0.01
result,4,1059,0.01
out,4,1120,0.02
min,4,909,0.04
override,4,1345,0.0
array,4,1047,0.01
org,3,2068,0.01
android,3,79,0.0
path,3,332,0.0
key,3,1144,0.01
button,3,730,0.02
state,3,1120,0.02
system,3,1107,0.03
random,3,1042,0.07
matrix,3,589,0.03
action,3,468,0.01
width,3,541,0.02
height,3,566,0.03
line,3,691,0.02
instance,3,1307,0.03
data,3,1438,0.01
config,3,743,0.02
map,3,1082,0.01
length,3,1230,0.02
values,3,458,0.01
dist,3,652,0.07
context,2,186,0.0
create,2,398,0.01
app,2,23,0.0
environment,2,312,0.03
resources,2,33,0.0
log,2,205,0.0
target,2,354,0.01
equals,2,463,0.01
content,2,56,0.0
solution,2,1160,0.18
panel,2,667,0.04
html,2,347,0.03
month,2,453,0.08
solutions,2,159,0.03
click,2,196,0.01
shared,2,660,0.05
vector,2,845,0.06
objective,2,509,0.09
num,2,430,0.02
search,2,221,0.01
parse,2,437,0.02
integer,2,653,0.02
println,2,881,0.03
bitmap,2,687,0.04
drawable,2,59,0.0
scale,2,123,0.01
listener,2,674,0.01
graphics,2,303,0.02
event,2,490,0.01
icon,2,231,0.01
image,2,450,0.01
step,2,246,0.02
constant,2,367,0.04
epsilon,2,316,0.04
count,2,621,0.02
factory,2,767,0.02
sample,2,596,0.04
bounds,2,373,0.04
stream,2,277,0.0
node,2,782,0.02
instances,2,435,0.05
time,2,468,0.01
configuration,2,789,0.03
best,2,422,0.06
graph,2,516,0.03
index,2,584,0.01
type,2,907,0.01
collection,2,555,0.03
attribute,2,893,0.04
att,2,321,0.04
exists,1,70,0.01
junit,1,9,0.0
false,1,36,0.01
dir,1,118,0.01
files,1,89,0.0
filters,1,5,0.0
scan,1,13,0.0
true,1,49,0.01
thumb,1,5,0.0
instrumentation,1,5,0.0
