keyword,doc_freq,total_freq,tfidf
string,107,320636,0.0
get,105,361870,0.0
java,91,83222,0.0
util,84,61252,0.01
name,81,181251,0.04
org,77,82067,0.03
set,75,128189,0.01
list,75,77311,0.01
exception,75,130857,0.01
service,73,67653,0.1
request,70,44426,0.05
value,67,101193,0.02
map,62,67435,0.02
annotation,60,19918,0.04
com,59,81215,0.03
type,58,107009,0.03
springframework,56,14205,0.04
client,55,29434,0.05
response,54,32497,0.04
object,53,86272,0.05
http,52,31475,0.06
override,50,75036,0.01
message,47,44043,0.05
config,46,65466,0.08
web,44,20512,0.06
context,43,65358,0.04
logger,42,48702,0.05
application,39,14808,0.03
data,38,64869,0.03
factory,37,26384,0.03
repository,34,7648,0.02
json,34,45233,0.06
key,32,68310,0.05
method,32,36444,0.06
log,29,43761,0.04
server,29,35551,0.07
configuration,29,14264,0.03
args,28,8803,0.01
user,28,33411,0.06
status,28,22787,0.04
result,27,56464,0.03
event,27,27911,0.03
path,26,33355,0.02
stream,26,29328,0.02
utils,26,23796,0.02
boot,25,2688,0.02
spring,25,2732,0.01
builder,24,31669,0.02
add,24,39126,0.01
error,24,30627,0.03
bean,24,19294,0.07
info,23,47958,0.05
code,22,28778,0.04
mapping,22,9354,0.04
core,22,22252,0.03
file,22,45556,0.01
api,21,29349,0.04
security,19,18832,0.07
entity,18,12522,0.03
javax,18,15048,0.03
handler,18,27549,0.04
array,18,31540,0.01
property,18,30511,0.04
model,18,13022,0.01
bind,18,4357,0.02
rest,17,7191,0.03
date,17,16791,0.03
template,17,15501,0.06
put,17,23684,0.02
query,16,26728,0.06
time,16,33736,0.04
hash,16,28384,0.04
token,15,12967,0.03
controller,15,3981,0.01
lombok,15,1281,0.0
servlet,15,12071,0.04
enable,14,2900,0.02
cloud,14,2970,0.02
discovery,14,11958,0.1
properties,14,22967,0.06
resource,13,32086,0.08
filter,13,16655,0.04
manager,12,28574,0.04
connection,12,20095,0.04
field,12,38222,0.05
domain,12,22375,0.09
size,12,29775,0.01
create,12,26192,0.03
equals,12,24003,0.04
product,11,2324,0.01
node,11,36918,0.04
dto,11,4088,0.02
future,11,18551,0.08
not,11,16268,0.03
constructor,11,4347,0.02
headers,10,6668,0.03
types,10,9082,0.02
options,10,8829,0.02
address,10,11874,0.04
optional,9,6267,0.02
item,9,17487,0.02
authentication,9,4379,0.02
integer,9,14503,0.02
body,9,6898,0.02
consumer,9,7635,0.03
param,9,17525,0.05
all,9,11795,0.03
url,9,20203,0.03
group,8,17905,0.04
build,8,6697,0.01
common,8,10139,0.03
host,8,13839,0.05
password,8,8221,0.03
uri,8,21182,0.05
input,8,31034,0.03
inject,8,6031,0.02
format,8,11539,0.02
length,8,21713,0.02
cache,8,21668,0.06
exchange,8,5830,0.03
find,8,15792,0.03
session,8,14603,0.03
details,8,6827,0.03
provider,8,13452,0.03
main,7,2977,0.01
engine,7,7064,0.03
content,7,11234,0.02
header,7,11149,0.03
vertx,7,24296,0.18
app,7,15629,0.03
count,7,18748,0.03
instance,7,23127,0.03
with,7,11249,0.02
lang,7,14943,0.04
number,7,8430,0.02
source,7,19891,0.03
component,7,13217,0.03
role,7,10771,0.05
google,7,12992,0.03
services,7,4648,0.02
timeout,7,12854,0.07
microservices,7,601,0.01
record,7,21496,0.06
auth,7,9815,0.04
username,7,4517,0.02
out,7,16304,0.02
version,7,17504,0.04
autowired,7,2225,0.01
page,7,10170,0.03
async,7,12181,0.05
and,7,7728,0.03
local,7,28466,0.09
append,7,23966,0.03
account,7,1682,0.01
metrics,6,2895,0.02
media,6,3782,0.01
sql,6,21077,0.06
system,6,16850,0.02
entry,6,43633,0.07
channel,6,10925,0.03
msg,6,11589,0.05
persistence,6,6683,0.03
command,6,15154,0.03
jackson,6,2627,0.01
objects,6,5904,0.02
mapper,6,5390,0.02
example,6,625,0.0
collection,6,14461,0.04
jwt,6,3296,0.02
proxy,6,12845,0.05
task,6,11694,0.03
,6,11566,
last,6,9162,0.03
update,6,10861,0.03
parameter,6,8306,0.02
apache,5,9189,0.02
mono,5,676,0.01
uuid,5,2977,0.01
port,5,12347,0.04
thread,5,12460,0.03
hystrix,5,343,0.0
order,5,6129,0.02
netflix,5,455,0.01
metric,5,3580,0.02
store,5,17993,0.06
function,5,9469,0.02
res,5,4888,0.01
listener,5,15813,0.02
column,5,11195,0.02
names,5,10910,0.02
registry,5,11174,0.04
output,5,23313,0.03
write,5,22019,0.04
admin,5,14305,0.1
fasterxml,5,1980,0.01
clients,5,879,0.01
from,5,23884,0.05
values,5,18911,0.03
redis,5,1031,0.01
check,5,11482,0.03
table,5,17300,0.03
metadata,5,13079,0.04
net,5,6215,0.02
autoconfigure,5,667,0.01
amount,5,2884,0.02
impl,5,21230,0.07
logging,4,7075,0.03
inventory,4,437,0.0
feign,4,574,0.01
test,4,6424,0.01
descriptor,4,32753,0.12
cause,4,6578,0.04
endpoint,4,11413,0.06
quantity,4,639,0.0
price,4,1096,0.01
gateway,4,2553,0.02
queue,4,4758,0.02
binding,4,6807,0.03
customer,4,3375,0.02
other,4,11762,0.05
kafka,4,1297,0.01
producer,4,1163,0.01
gson,4,989,0.0
state,4,16859,0.02
element,4,18106,0.03
registration,4,2804,0.02
level,4,17902,0.06
target,4,16246,0.03
process,4,7969,0.03
form,4,8091,0.04
index,4,26433,0.02
cluster,4,18077,0.08
transaction,4,14725,0.06
big,4,3808,0.02
results,4,3225,0.01
stats,4,5099,0.02
alibaba,4,11109,0.12
beans,4,3391,0.02
xml,4,11738,0.03
definition,4,4637,0.03
dao,4,4598,0.02
first,4,5124,0.02
run,4,5401,0.02
adapter,4,6973,0.02
getter,4,1387,0.01
audit,4,2804,0.03
settings,4,4844,0.01
parameters,4,5611,0.02
score,4,622,0.0
topic,4,2039,0.01
delivery,4,1155,0.01
handle,4,5988,0.02
post,4,6107,0.02
debug,4,13470,0.04
found,4,7468,0.04
zuul,4,542,0.01
book,4,2043,0.01
game,4,228,0.0
rabbit,4,427,0.01
storage,4,6132,0.02
runtime,4,11824,0.04
tags,3,2163,0.01
access,3,6535,0.03
empty,3,13141,0.04
buf,3,6465,0.03
conn,3,3326,0.02
environment,3,4965,0.02
env,3,6036,0.03
ctx,3,7663,0.03
max,3,15418,0.02
option,3,2825,0.01
rule,3,8267,0.03
tools,3,5063,0.03
files,3,3715,0.01
directory,3,5034,0.02
base,3,9938,0.02
reference,3,8218,0.03
tree,3,9827,0.03
lock,3,10601,0.04
promise,3,5161,0.04
counter,3,2457,0.01
read,3,17861,0.03
buffer,3,12233,0.02
router,3,2290,0.01
circuit,3,1078,0.01
description,3,6827,0.02
obj,3,7713,0.02
streams,3,661,0.0
params,3,8825,0.02
view,3,6609,0.01
tag,3,9470,0.02
article,3,690,0.01
transport,3,3976,0.03
codec,3,5353,0.03
cookie,3,3442,0.02
flow,3,5120,0.03
attribute,3,12491,0.03
deployment,3,12954,0.11
serializer,3,3851,0.02
internal,3,21263,0.08
operation,3,14677,0.06
interceptor,3,3636,0.02
span,3,1438,0.01
protocol,3,7920,0.04
supplier,3,3483,0.02
keys,3,5253,0.02
converter,3,2756,0.01
req,3,2937,0.01
non,3,4698,0.01
require,3,1328,0.01
eureka,3,283,0.0
documentation,3,162,0.0
springfox,3,101,0.0
hipster,3,775,0.01
sender,3,1585,0.01
email,3,1741,0.01
validation,3,3652,0.02
failed,3,5073,0.04
singleton,3,2458,0.02
executor,3,7049,0.03
mongo,3,2413,0.02
agent,3,8953,0.04
