keyword,doc_freq,total_freq,tfidf
string,6,19558,0.0
get,6,20954,0.0
name,6,11631,0.01
java,6,6933,0.0
exception,5,8912,0.0
set,5,9613,0.0
util,5,2466,0.0
list,5,2655,0.0
time,5,3179,0.02
org,5,6291,0.01
message,5,5435,0.03
override,4,2230,0.0
stream,4,3579,0.01
object,4,2620,0.01
add,4,3219,0.0
log,4,5001,0.03
file,3,4678,0.01
map,3,1987,0.0
client,3,4200,0.04
utils,3,1601,0.01
config,3,1149,0.01
value,3,7767,0.01
type,3,7487,0.01
service,3,5788,0.05
context,3,3072,0.01
apache,3,3344,0.05
path,2,3453,0.01
description,2,2575,0.04
system,2,2070,0.02
result,2,1272,0.0
status,2,3333,0.04
logger,2,1277,0.01
info,2,2605,0.02
equals,2,3035,0.03
key,2,1996,0.01
json,2,2216,0.02
msg,2,1328,0.03
out,2,1362,0.01
data,2,3029,0.01
server,2,1147,0.01
container,2,271,0.01
handler,2,906,0.01
array,2,1409,0.0
state,2,5761,0.03
method,2,350,0.0
factory,2,1835,0.01
field,2,5729,0.05
lang,2,2944,0.05
xml,2,5282,0.08
core,2,3751,0.03
services,2,2152,0.06
xenon,1,1898,0.17
adaptor,1,1002,0.05
job,1,1276,0.03
test,1,1461,0.01
esciencecenter,1,947,0.08
scheduler,1,598,0.02
adaptors,1,397,0.03
queue,1,1391,0.04
schedulers,1,387,0.02
credential,1,495,0.03
create,1,1747,0.01
names,1,635,0.01
dir,1,635,0.01
location,1,714,0.01
property,1,1520,0.01
ssh,1,284,0.02
attributes,1,316,0.01
identifier,1,339,0.01
properties,1,1186,0.02
directory,1,381,0.01
jobs,1,111,0.01
copy,1,303,0.01
output,1,819,0.01
filesystems,1,199,0.02
nats,1,1612,0.11
subject,1,1057,0.04
builder,1,1544,0.01
options,1,1359,0.02
jet,1,727,0.05
args,1,826,0.01
max,1,1053,0.01
sub,1,990,0.03
size,1,1358,0.0
api,1,1248,0.01
duration,1,575,0.02
messages,1,462,0.01
headers,1,592,0.01
consumer,1,621,0.02
ack,1,408,0.02
connection,1,1236,0.02
count,1,1190,0.01
error,1,1191,0.01
example,1,268,0.01
pattern,1,408,0.01
println,1,798,0.01
support,1,308,0.0
length,1,1221,0.01
subjects,1,136,0.01
deliver,1,300,0.02
agent,1,651,0.02
fjage,1,182,0.01
arl,1,153,0.01
thread,1,681,0.01
agents,1,73,0.0
rsp,1,157,0.01
aid,1,152,0.01
script,1,329,0.01
param,1,497,0.01
port,1,873,0.02
behavior,1,113,0.01
platform,1,125,0.0
timeout,1,643,0.02
parameter,1,288,0.0
req,1,171,0.0
topic,1,794,0.02
action,1,275,0.0
shell,1,103,0.0
engine,1,329,0.01
append,1,647,0.01
middleware,1,121,0.01
query,1,808,0.01
dathoang,1,85,0.01
cqrs,1,85,0.01
command,1,1187,0.01
commandbus,1,85,0.01
net,1,439,0.01
annotation,1,269,0.0
scan,1,111,0.0
bus,1,57,0.0
and,1,494,0.01
injecting,1,31,0.0
holder,1,115,0.0
pipeline,1,26,0.0
logging,1,489,0.01
classes,1,365,0.02
format,1,817,0.01
spring,1,37,0.0
reflecting,1,18,0.0
application,1,280,0.0
commons,1,497,0.02
fields,1,170,0.0
retention,1,72,0.0
methods,1,67,0.0
cls,1,472,0.02
ucp,1,9303,0.66
device,1,8791,0.21
notification,1,5548,0.14
dog,1,4055,0.27
elem,1,3999,0.2
elite,1,3602,0.26
polito,1,3589,0.25
event,1,3792,0.03
driver,1,3946,0.13
desc,1,3439,0.13
model,1,3474,0.02
library,1,2976,0.1
hash,1,3272,0.03
javax,1,2996,0.04
code,1,2720,0.02
notify,1,2266,0.1
uri,1,2648,0.04
echelon,1,2133,0.15
axis,1,2555,0.09
com,1,2233,0.0
measure,1,2034,0.08
namespace,1,2179,0.07
web,1,2239,0.04
wsdl,1,2018,0.13
obj,1,1966,0.03
admin,1,2798,0.12
element,1,3029,0.03
url,1,1993,0.02
stub,1,1706,0.07
session,1,1134,0.01
carbon,1,1003,0.07
constants,1,1266,0.02
http,1,1119,0.01
task,1,956,0.01
analytics,1,830,0.04
instance,1,1829,0.02
end,1,1241,0.02
cookie,1,762,0.02
bpmn,1,755,0.05
remote,1,869,0.03
user,1,887,0.01
clients,1,270,0.01
response,1,1282,0.01
configuration,1,1246,0.01
common,1,646,0.01
resource,1,779,0.01
password,1,840,0.02
