keyword,doc_freq,total_freq,tfidf
get,37,30448,0.0
string,35,21622,0.0
set,33,15333,0.0
list,29,13812,0.01
android,27,4781,0.03
override,27,8375,0.01
context,26,3951,0.01
view,24,11622,0.05
java,23,7819,0.0
com,22,11401,0.02
exception,21,7904,0.0
name,20,10266,0.01
text,15,3192,0.01
util,15,3805,0.0
listener,15,3908,0.02
activity,15,3092,0.02
add,14,5172,0.01
value,14,12449,0.01
log,12,2822,0.01
array,12,3106,0.01
result,12,3954,0.01
data,12,4061,0.01
map,12,9370,0.01
manager,11,1563,0.01
layout,11,2659,0.02
type,11,10722,0.01
item,11,2432,0.01
builder,11,2883,0.01
key,10,6883,0.02
object,10,10817,0.03
color,10,2011,0.02
stream,10,2917,0.01
size,9,4147,0.01
height,9,1949,0.02
file,9,2385,0.0
utils,9,1792,0.01
create,9,3990,0.02
image,9,1869,0.01
request,9,3263,0.02
content,9,1538,0.01
state,9,4163,0.02
json,9,3904,0.02
width,8,1970,0.02
equals,8,6043,0.04
params,8,2104,0.02
error,8,2664,0.01
intent,8,1204,0.01
start,8,2116,0.01
code,7,1645,0.01
button,7,1136,0.01
length,7,2435,0.01
service,7,1571,0.01
output,7,794,0.0
source,7,2858,0.02
path,7,3298,0.01
app,7,1927,0.01
count,6,3024,0.02
field,6,13863,0.08
info,6,1727,0.01
application,6,358,0.0
org,6,2188,0.0
handler,6,1382,0.01
response,6,2057,0.01
tag,6,1047,0.01
click,6,1448,0.02
options,6,973,0.01
factory,5,2207,0.01
entry,5,2182,0.02
message,5,3170,0.01
index,5,2862,0.01
react,5,511,0.01
facebook,5,160,0.0
module,5,342,0.01
camera,5,1100,0.02
bitmap,5,953,0.01
model,5,1706,0.01
thread,5,2748,0.03
input,5,1358,0.0
client,5,1425,0.01
user,5,1556,0.01
dialog,5,879,0.01
spec,5,1121,0.02
line,5,1818,0.01
callback,5,1883,0.02
from,5,3022,0.03
,5,6354,
instance,5,2687,0.02
session,4,1165,0.01
box,4,363,0.01
time,4,1558,0.01
action,4,1161,0.01
modules,4,121,0.0
max,4,1333,0.01
http,4,1285,0.01
url,4,1548,0.01
out,4,1227,0.01
event,4,1144,0.01
core,4,2418,0.01
progress,4,751,0.01
update,4,1513,0.02
current,4,941,0.01
config,4,2435,0.01
system,4,490,0.0
date,4,2964,0.03
bundle,4,1212,0.02
token,4,1530,0.01
support,4,505,0.01
query,4,3871,0.04
api,4,1724,0.01
loader,4,259,0.0
adapter,4,663,0.01
property,3,1866,0.01
style,3,4625,0.08
integer,3,2218,0.01
points,3,396,0.01
format,3,1823,0.01
test,3,5523,0.04
var,3,619,0.01
bridge,3,286,0.01
host,3,292,0.0
main,3,488,0.0
network,3,509,0.01
device,3,272,0.0
texture,3,269,0.0
surface,3,536,0.01
flow,3,231,0.0
headers,3,1084,0.02
connection,3,1299,0.01
plugin,3,761,0.01
read,3,1041,0.01
bind,3,590,0.01
toast,3,636,0.01
icon,3,920,0.01
menu,3,530,0.01
drawable,3,1183,0.02
animation,3,616,0.01
child,3,1676,0.02
column,3,5810,0.05
configuration,3,1985,0.02
net,3,414,0.0
build,3,1552,0.01
method,3,1238,0.01
option,3,313,0.0
resource,3,1505,0.02
task,3,771,0.01
types,3,8562,0.07
javax,3,528,0.0
non,3,1555,0.02
transaction,3,3379,0.06
table,3,3293,0.02
find,3,2390,0.02
show,3,748,0.01
annotation,3,2238,0.02
stack,3,615,0.01
example,3,1246,0.02
target,3,1140,0.01
preferences,3,335,0.01
models,3,471,0.01
server,3,1294,0.01
game,2,514,0.01
grid,2,264,0.01
tile,2,450,0.01
location,2,1096,0.01
all,2,7624,0.09
direction,2,272,0.01
simple,2,392,0.01
score,2,285,0.01
variable,2,592,0.01
filter,2,2894,0.03
equal,2,980,0.03
put,2,1440,0.01
constants,2,279,0.0
slot,2,311,0.01
number,2,841,0.01
preview,2,261,0.01
paint,2,366,0.01
math,2,562,0.01
results,2,2533,0.04
capture,2,111,0.0
rect,2,223,0.0
top,2,885,0.02
uri,2,967,0.01
socket,2,503,0.01
cordova,2,391,0.02
cache,2,1242,0.02
proxy,2,1942,0.04
web,2,374,0.0
write,2,550,0.0
pos,2,962,0.01
ssl,2,405,0.01
google,2,564,0.01
widget,2,800,0.01
element,2,1295,0.01
selector,2,522,0.01
items,2,317,0.0
animator,2,737,0.02
store,2,1499,0.02
fade,2,251,0.01
measure,2,1138,0.03
bottom,2,777,0.02
padding,2,502,0.02
group,2,843,0.01
row,2,1478,0.02
gravity,2,324,0.01
background,2,799,0.02
remove,2,1414,0.03
logger,2,569,0.0
node,2,587,0.0
not,2,2579,0.02
min,2,549,0.01
generate,2,417,0.01
extension,2,208,0.0
append,2,989,0.01
dir,2,245,0.0
yahoo,2,3483,0.13
relative,2,90,0.0
media,2,1010,0.02
player,2,776,0.01
holder,2,604,0.01
screen,2,423,0.01
aspect,2,166,0.01
seek,2,346,0.01
audio,2,197,0.0
ratio,2,191,0.01
illegal,2,1870,0.03
orientation,2,188,0.01
gson,2,249,0.0
auto,2,216,0.0
objects,2,777,0.01
primitive,2,650,0.02
secret,2,76,0.0
any,2,1982,0.07
dynamic,2,1664,0.05
title,2,527,0.01
res,2,437,0.01
check,2,2042,0.02
bar,2,483,0.01
checked,2,216,0.01
entity,2,3051,0.03
argument,2,1848,0.03
async,2,1574,0.03
point,2,1287,0.01
print,2,462,0.0
trace,2,361,0.0
networking,2,39,0.0
notification,2,417,0.01
download,2,141,0.0
next,2,985,0.01
values,2,1244,0.01
call,2,779,0.01
tracking,2,291,0.01
base,2,1493,0.02
payment,2,181,0.01
bluetooth,2,44,0.0
str,2,439,0.01
auth,2,269,0.0
endpoint,2,954,0.02
provider,2,342,0.0
concurrent,2,455,0.01
force,2,59,0.0
runnable,2,832,0.02
run,2,1411,0.02
feed,2,109,0.0
block,2,340,0.0
position,2,1208,0.01
msg,2,532,0.01
volley,2,125,0.0
metadata,2,491,0.01
backend,2,1167,0.03
status,2,1382,0.01
with,2,1930,0.02
javafx,1,92,0.0
platform,1,175,0.0
scene,1,189,0.0
pause,1,596,0.02
children,1,193,0.0
operator,1,1031,0.02
overlay,1,235,0.01
save,1,754,0.02
lbl,1,38,0.0
restore,1,70,0.0
board,1,58,0.0
cell,1,81,0.0
record,1,170,0.0
random,1,464,0.01
console,1,1135,0.03
expected,1,1064,0.03
lunarconsole,1,451,0.02
spacemadness,1,460,0.03
actual,1,457,0.02
enabled,1,901,0.02
helper,1,1255,0.02
actions,1,280,0.01
entries,1,395,0.01
lunar,1,264,0.01
register,1,431,0.01
settings,1,931,0.01
sub,1,272,0.01
subscription,1,365,0.01
sim,1,8,0.0
telephony,1,25,0.0
