keyword,doc_freq,total_freq,tfidf
get,9,23091,0.0
set,9,6747,0.0
string,9,5881,0.0
player,7,8249,0.25
override,7,6698,0.01
state,7,3261,0.02
event,7,4332,0.03
add,6,3596,0.01
java,6,2921,0.0
key,6,2864,0.01
game,5,6431,0.23
list,5,2930,0.0
data,5,3317,0.01
button,5,1966,0.02
size,5,2300,0.01
command,5,3042,0.04
name,4,4651,0.01
manager,4,2366,0.02
color,4,2168,0.03
time,4,4129,0.03
message,4,3595,0.03
client,4,4834,0.06
action,4,1632,0.02
listener,4,1611,0.01
text,4,1970,0.01
server,4,2208,0.03
com,4,4841,0.01
tile,3,5931,0.25
world,3,5285,0.2
util,3,3134,0.0
packet,3,3125,0.1
height,3,2677,0.05
width,3,2439,0.04
map,3,3276,0.01
type,3,3282,0.01
players,3,959,0.04
image,3,1719,0.02
object,3,1655,0.01
input,3,1934,0.01
view,3,1047,0.01
array,3,1492,0.0
value,3,2241,0.0
exception,3,2079,0.0
file,3,1890,0.0
thread,3,935,0.02
api,2,4174,0.04
entity,2,4385,0.07
item,2,2617,0.02
instance,2,1787,0.02
texture,2,1632,0.05
net,2,2203,0.04
info,2,1143,0.01
chat,2,972,0.04
tiles,2,572,0.03
mod,2,1014,0.06
buffer,2,2451,0.03
index,2,1566,0.01
max,2,1820,0.02
audio,2,1951,0.07
handler,2,997,0.01
log,2,957,0.01
length,2,1921,0.01
layout,2,219,0.0
service,2,1895,0.02
offset,2,1729,0.03
gdx,2,1423,0.08
stream,2,1315,0.01
badlogic,2,925,0.05
networking,2,1347,0.08
region,2,1454,0.06
connection,2,1198,0.02
payload,2,584,0.02
count,2,506,0.0
current,2,1402,0.02
controller,2,636,0.01
position,2,1439,0.02
window,2,433,0.01
number,2,978,0.01
grid,2,891,0.03
panel,2,838,0.02
model,2,369,0.0
main,2,829,0.01
label,2,683,0.01
swing,2,268,0.01
javax,2,193,0.0
ellpeck,1,3657,0.32
rockbottom,1,3656,0.32
layer,1,1913,0.06
resource,1,1545,0.03
gui,1,1262,0.05
component,1,966,0.02
chunk,1,1016,0.04
renderer,1,1219,0.05
bottom,1,762,0.03
buf,1,705,0.02
render,1,1383,0.05
rock,1,616,0.05
asset,1,804,0.03
intern,1,472,0.04
recipe,1,462,0.03
glfw,1,459,0.03
content,1,499,0.01
assets,1,521,0.03
seventh,1,4505,0.37
pos,1,2764,0.06
sound,1,1815,0.09
weapon,1,1531,0.11
team,1,1431,0.08
bounds,1,1389,0.05
step,1,1294,0.03
brain,1,1177,0.08
keys,1,903,0.02
canvas,1,1038,0.04
messages,1,702,0.02
bomb,1,820,0.06
shared,1,772,0.02
actions,1,457,0.02
camera,1,1008,0.03
config,1,1269,0.01
update,1,1513,0.03
device,1,173,0.0
sdl,1,188,0.02
activity,1,126,0.0
joystick,1,200,0.02
keycode,1,99,0.01
haptic,1,52,0.01
context,1,472,0.0
surface,1,250,0.01
motion,1,442,0.02
clipboard,1,46,0.0
format,1,384,0.01
orientation,1,483,0.02
devices,1,15,0.0
android,1,119,0.0
ids,1,62,0.0
dialog,1,318,0.01
sensor,1,83,0.0
tag,1,229,0.0
has,1,596,0.02
code,1,497,0.01
track,1,121,0.01
source,1,548,0.01
range,1,307,0.01
cubes,1,2723,0.24
area,1,2669,0.11
block,1,2184,0.04
ethanjones,1,2074,0.18
blocks,1,489,0.02
vertex,1,968,0.03
vertices,1,756,0.04
core,1,741,0.01
side,1,736,0.04
lua,1,692,0.04
graphics,1,929,0.03
reference,1,646,0.02
save,1,705,0.03
menu,1,1004,0.02
light,1,1071,0.05
setting,1,376,0.02
craftmend,1,3581,0.26
openaudiomc,1,3362,0.24
generic,1,2138,0.08
open,1,1892,0.05
spigot,1,1296,0.09
args,1,1463,0.02
user,1,917,0.01
storage,1,848,0.02
location,1,945,0.02
speaker,1,675,0.04
modules,1,590,0.02
commands,1,487,0.01
bukkit,1,611,0.03
constructor,1,599,0.02
lombok,1,555,0.01
sender,1,777,0.03
media,1,553,0.01
proxy,1,617,0.02
sub,1,801,0.02
uuid,1,772,0.02
getter,1,454,0.01
nhnent,1,249,0.02
haste,1,249,0.02
peer,1,593,0.03
integer,1,909,0.01
channel,1,759,0.01
big,1,285,0.01
start,1,1270,0.01
transport,1,204,0.01
mag,1,198,0.01
seq,1,177,0.01
logger,1,865,0.01
magnitude,1,186,0.01
wrapper,1,211,0.01
reliable,1,282,0.02
write,1,1124,0.02
udp,1,149,0.01
num,1,421,0.01
protocol,1,344,0.01
sign,1,234,0.01
bit,1,299,0.01
option,1,410,0.01
read,1,963,0.01
src,1,357,0.01
outgoing,1,127,0.01
unit,1,595,0.01
gameplay,1,338,0.03
screen,1,730,0.03
voimala,1,288,0.03
myrts,1,268,0.02
org,1,869,0.0
screens,1,225,0.01
turret,1,353,0.03
rotation,1,426,0.02
socket,1,906,0.02
network,1,644,0.02
owner,1,783,0.03
angle,1,313,0.01
units,1,86,0.0
target,1,1050,0.01
sprite,1,748,0.05
delta,1,507,0.02
rts,1,124,0.01
container,1,495,0.01
table,1,357,0.0
initialize,1,163,0.01
handle,1,831,0.02
math,1,1051,0.02
carcassonne,1,448,0.05
direction,1,946,0.03
meeple,1,349,0.04
settings,1,1106,0.02
terrain,1,322,0.02
spot,1,280,0.02
fields,1,233,0.0
zoom,1,213,0.01
round,1,473,0.02
castle,1,137,0.01
create,1,699,0.01
pattern,1,141,0.0
