keyword,doc_freq,total_freq,tfidf
get,3,668,0.0
java,3,281,0.0
string,3,484,0.0
util,3,146,0.0
add,3,156,0.01
set,3,204,0.0
com,2,318,0.02
map,2,307,0.01
plugins,2,165,0.16
message,2,216,0.04
address,2,169,0.09
builder,2,158,0.02
packet,2,241,0.19
plugin,2,87,0.05
integer,2,112,0.03
list,2,201,0.0
exception,2,129,0.0
input,2,101,0.02
command,2,186,0.07
state,2,73,0.01
stream,2,105,0.01
commands,2,37,0.03
override,2,94,0.0
flow,1,355,0.31
net,1,338,0.15
template,1,292,0.19
google,1,243,0.1
field,1,259,0.07
protobuf,1,202,0.21
netflow,1,229,0.48
templates,1,144,0.22
org,1,221,0.01
type,1,191,0.01
option,1,178,0.08
value,1,157,0.01
graylog,1,132,0.28
key,1,127,0.02
raw,1,117,0.09
buf,1,116,0.08
fields,1,70,0.04
entry,1,97,0.03
read,1,101,0.03
buffer,1,96,0.03
packets,1,80,0.11
internal,1,86,0.06
record,1,89,0.04
registry,1,84,0.05
lang,1,74,0.04
length,1,98,0.01
unsigned,1,73,0.1
header,1,67,0.03
immutable,1,62,0.05
parse,1,79,0.03
auto,1,76,0.07
descriptor,1,58,0.04
xml,1,141,0.06
name,1,109,0.0
uniovi,1,50,0.1
nmapgui,1,50,0.1
model,1,58,0.01
host,1,71,0.05
script,1,49,0.04
executor,1,53,0.04
javax,1,64,0.02
attribute,1,45,0.02
element,1,41,0.01
bind,1,40,0.02
annotation,1,55,0.02
line,1,41,0.01
text,1,35,0.0
options,1,26,0.01
observer,1,26,0.02
array,1,55,0.0
menu,1,28,0.01
help,1,35,0.04
categories,1,26,0.03
reader,1,53,0.02
cmd,1,27,0.02
output,1,51,0.01
finished,1,24,0.03
filename,1,23,0.02
hostname,1,21,0.04
link,1,20,0.02
trace,1,23,0.01
context,1,22,0.0
scan,1,19,0.02
hosts,1,13,0.02
layout,1,18,0.01
category,1,18,0.01
proxy,1,512,0.39
client,1,287,0.09
aquazus,1,110,0.23
handler,1,90,0.03
getter,1,53,0.04
destination,1,49,0.05
collection,1,54,0.03
configuration,1,82,0.03
handlers,1,39,0.05
data,1,85,0.01
send,1,47,0.03
server,1,61,0.02
log,1,72,0.01
network,1,37,0.03
put,1,62,0.01
args,1,40,0.01
clients,1,11,0.01
port,1,80,0.05
database,1,32,0.02
mongo,1,31,0.04
enabled,1,41,0.03
lombok,1,30,0.02
forward,1,28,0.04
maps,1,28,0.03
document,1,25,0.01
extra,1,22,0.02
append,1,35,0.01
prefix,1,22,0.02
username,1,21,0.01
split,1,26,0.02
manager,1,20,0.0
file,1,44,0.0
