keyword,doc_freq,total_freq,tfidf
get,1,2970,0.0
language,1,2573,0.42
string,1,2564,0.0
modernmt,1,1952,0.72
exception,1,2053,0.01
file,1,1264,0.01
corpus,1,1098,0.34
config,1,939,0.04
translation,1,949,0.21
java,1,873,0.0
source,1,894,0.05
builder,1,859,0.02
direction,1,824,0.16
set,1,782,0.0
reader,1,752,0.05
sentence,1,713,0.16
override,1,753,0.0
length,1,754,0.02
tag,1,634,0.04
target,1,698,0.05
name,1,709,0.01
util,1,500,0.0
token,1,598,0.04
tokenizer,1,618,0.15
memory,1,634,0.12
stream,1,614,0.01
index,1,621,0.01
utils,1,418,0.01
processing,1,549,0.12
line,1,537,0.03
decoder,1,545,0.1
add,1,545,0.0
list,1,524,0.0
result,1,518,0.01
map,1,511,0.0
put,1,485,0.02
size,1,510,0.01
model,1,451,0.01
array,1,469,0.01
word,1,405,0.05
filter,1,443,0.03
writer,1,455,0.04
text,1,464,0.01
xml,1,438,0.04
options,1,337,0.02
org,1,422,0.01
analyzer,1,387,0.1
apache,1,388,0.04
context,1,405,0.01
node,1,398,0.02
