keyword,doc_freq,total_freq,tfidf
get,10,36685,0.0
java,10,18293,0.0
set,10,16176,0.0
string,8,18427,0.0
exception,8,16483,0.01
data,7,5700,0.01
image,7,4368,0.03
list,6,3686,0.0
size,6,8082,0.01
file,5,2550,0.0
util,5,2266,0.0
array,5,1297,0.0
width,5,1753,0.02
height,5,1660,0.02
max,5,3706,0.02
name,4,6751,0.01
value,4,10091,0.01
count,4,2030,0.01
result,4,5424,0.01
object,4,18926,0.05
org,4,697,0.0
override,4,9616,0.01
utils,3,1834,0.01
type,3,5815,0.01
logger,3,853,0.0
add,3,3140,0.0
api,3,265,0.0
state,3,2675,0.01
length,3,3381,0.01
camera,3,831,0.01
android,3,784,0.0
view,3,827,0.0
log,3,1221,0.0
detection,3,15845,0.49
box,3,4630,0.06
model,3,2137,0.01
detected,3,138,0.0
hash,2,6269,0.04
map,2,3421,0.0
match,2,519,0.01
res,2,688,0.01
stats,2,254,0.0
equals,2,4773,0.03
stream,2,3979,0.01
create,2,3230,0.01
update,2,2484,0.03
query,2,2305,0.02
field,2,10546,0.06
mat,2,3678,0.09
ret,2,1010,0.02
point,2,800,0.01
points,2,450,0.01
opencv,2,337,0.01
vector,2,492,0.01
img,2,337,0.01
rect,2,399,0.01
core,2,223,0.0
out,2,1642,0.01
min,2,2418,0.02
idx,2,729,0.01
builder,2,21508,0.06
com,2,14364,0.02
input,2,7679,0.03
extension,2,4919,0.09
internal,2,2973,0.04
output,2,3129,0.02
bitmap,2,317,0.0
dialog,2,431,0.0
texture,2,207,0.0
context,2,720,0.0
preview,2,256,0.01
label,2,1933,0.02
panel,2,369,0.0
text,2,894,0.0
layer,2,369,0.01
files,2,215,0.0
progress,2,291,0.0
parameters,2,757,0.01
objects,2,209,0.0
bytedeco,2,33,0.0
frame,2,495,0.01
right,2,88,0.0
left,2,115,0.0
top,2,185,0.0
bottom,2,90,0.0
yolo,2,46,0.0
grid,2,995,0.02
predicted,2,19,0.0
start,2,830,0.0
action,2,316,0.0
node,1,688,0.0
lib,1,546,0.01
tree,1,493,0.01
method,1,1258,0.01
