keyword,doc_freq,total_freq,tfidf
get,6,840,0.0
java,6,606,0.0
list,5,308,0.0
string,5,1210,0.0
override,4,634,0.01
util,4,352,0.0
type,4,662,0.02
name,4,700,0.01
value,4,395,0.01
exception,4,338,0.0
org,3,193,0.0
page,3,373,0.08
add,3,885,0.01
set,3,599,0.0
stream,3,180,0.01
event,2,608,0.05
element,2,365,0.04
pane,2,180,0.05
item,2,291,0.03
elements,2,69,0.02
stack,2,171,0.03
target,2,114,0.02
listener,2,113,0.01
close,2,140,0.04
accept,2,180,0.08
object,2,159,0.01
length,2,101,0.01
text,2,288,0.02
field,2,317,0.03
file,2,277,0.01
logger,2,189,0.01
println,2,194,0.03
label,2,399,0.06
args,2,135,0.02
output,2,149,0.01
key,2,115,0.01
map,2,185,0.0
thread,2,40,0.01
input,2,126,0.01
hash,2,43,0.0
write,2,39,0.01
timeout,2,49,0.02
com,2,188,0.0
inventory,1,320,0.17
bukkit,1,142,0.07
blackness,1,122,0.13
black,1,106,0.06
base,1,164,0.03
loc,1,136,0.08
objects,1,95,0.02
req,1,72,0.02
interact,1,69,0.07
click,1,58,0.01
require,1,59,0.03
non,1,71,0.01
,1,79,
player,1,53,0.02
drag,1,49,0.03
requirement,1,48,0.05
plugin,1,49,0.01
frame,1,110,0.02
frames,1,31,0.02
basic,1,52,0.02
reqs,1,20,0.02
icon,1,29,0.01
panes,1,17,0.02
holder,1,26,0.01
control,1,24,0.01
argument,1,29,0.01
handler,1,35,0.0
position,1,24,0.0
slot,1,22,0.01
group,1,914,0.14
swing,1,869,0.25
layout,1,864,0.1
javax,1,870,0.13
button,1,315,0.04
size,1,378,0.01
action,1,280,0.03
component,1,264,0.05
create,1,238,0.02
gap,1,201,0.12
preferred,1,195,0.11
labour,1,179,0.17
awt,1,165,0.05
alignment,1,143,0.07
parallel,1,120,0.06
performed,1,115,0.08
evt,1,114,0.07
quantity,1,114,0.06
sequential,1,102,0.08
logging,1,102,0.04
max,1,102,0.01
next,1,165,0.02
price,1,97,0.04
leading,1,86,0.06
line,1,141,0.02
management,1,84,0.05
back,1,80,0.04
scroll,1,68,0.03
scan,1,67,0.03
out,1,155,0.01
pos,1,515,0.12
decaf,1,463,0.44
instr,1,463,0.38
var,1,558,0.15
visit,1,400,0.15
tree,1,428,0.09
expr,1,372,0.18
temp,1,385,0.12
ctx,1,336,0.11
scope,1,305,0.11
error,1,303,0.02
symbol,1,271,0.09
printer,1,223,0.12
index,1,239,0.01
func,1,211,0.1
frontend,1,178,0.16
tac,1,200,0.15
reg,1,189,0.09
method,1,186,0.02
kind,1,175,0.09
clazz,1,158,0.07
array,1,186,0.01
dst,1,136,0.06
visitor,1,130,0.05
print,1,191,0.03
that,1,137,0.05
tokens,1,129,0.05
lowlevel,1,116,0.11
mips,1,127,0.11
call,1,121,0.03
lit,1,115,0.08
arg,1,97,0.03
binary,1,107,0.05
load,1,122,0.03
def,1,110,0.04
stmt,1,110,0.05
with,1,40,0.01
elegantobjects,1,10,0.01
socket,1,16,0.0
jpages,1,10,0.01
via,1,9,0.01
body,1,44,0.01
pairs,1,7,0.0
append,1,89,0.01
parts,1,7,0.0
put,1,33,0.0
simple,1,16,0.0
server,1,13,0.0
pool,1,30,0.01
after,1,7,0.0
before,1,7,0.0
pge,1,4,0.0
split,1,4,0.0
qparts,1,4,0.0
lines,1,4,0.0
idx,1,4,0.0
pair,1,24,0.01
net,1,17,0.0
session,1,3,0.0
buffer,1,10,0.0
bucket,1,109,0.04
jcabi,1,70,0.04
ocket,1,72,0.08
origin,1,90,0.05
region,1,57,0.02
bkt,1,54,0.06
loggable,1,48,0.04
amazonaws,1,34,0.02
meta,1,52,0.02
aws,1,45,0.02
amazon,1,38,0.02
services,1,29,0.01
and,1,99,0.03
equals,1,115,0.01
metadata,1,29,0.01
code,1,69,0.01
aspects,1,26,0.02
exists,1,23,0.01
compare,1,36,0.02
immutable,1,18,0.01
iterator,1,60,0.01
lombok,1,17,0.0
debug,1,19,0.0
retry,1,28,0.02
read,1,105,0.01
model,1,27,0.0
service,1,14,0.0
pfx,1,15,0.02
current,1,52,0.01
time,1,32,0.0
dir,1,17,0.0
remove,1,35,0.01
system,1,86,0.01
path,1,64,0.0
crawler,1,185,0.11
request,1,159,0.01
url,1,130,0.01
proxy,1,119,0.04
conf,1,79,0.03
xuxueli,1,72,0.06
run,1,95,0.02
select,1,63,0.02
user,1,70,0.01
millis,1,63,0.03
cookie,1,46,0.02
agent,1,45,0.01
loader,1,44,0.01
parser,1,108,0.02
param,1,47,0.01
web,1,42,0.01
header,1,37,0.01
jsoup,1,37,0.02
xxl,1,36,0.03
referrer,1,31,0.02
parse,1,59,0.01
data,1,30,0.0
post,1,29,0.01
count,1,68,0.01
maker,1,29,0.02
html,1,29,0.01
tls,1,25,0.02
white,1,28,0.01
validate,1,27,0.01
certificates,1,25,0.02
