keyword,doc_freq,total_freq,tfidf
string,33,40515,0.0
get,32,74051,0.0
list,32,24742,0.01
java,31,15506,0.0
type,30,32844,0.02
name,30,31752,0.02
set,26,25723,0.0
exception,25,20958,0.0
com,24,21611,0.02
override,22,15777,0.01
value,22,20584,0.01
util,21,10142,0.0
map,20,15407,0.01
object,17,30969,0.04
column,17,12798,0.07
field,16,8994,0.03
table,16,9400,0.04
builder,16,11948,0.02
sql,15,22448,0.15
key,15,11900,0.02
array,15,7670,0.01
method,14,12616,0.05
append,13,6886,0.02
property,13,10120,0.03
annotation,13,5959,0.03
add,13,15870,0.01
database,12,7512,0.05
result,12,12884,0.02
org,12,10242,0.01
index,12,16458,0.02
context,12,9498,0.02
query,11,8220,0.04
statement,11,8204,0.06
data,10,22063,0.02
source,10,10216,0.04
mapper,10,10839,0.09
utils,9,3399,0.01
entity,9,5270,0.03
parameter,9,6488,0.04
element,8,4984,0.02
connection,7,6426,0.03
config,7,4546,0.01
args,7,1411,0.01
factory,7,7242,0.02
mapping,7,5368,0.06
update,7,7229,0.05
android,7,2099,0.01
dao,6,1997,0.02
types,6,2261,0.01
logger,6,4867,0.01
collection,6,2814,0.02
target,6,5141,0.02
time,6,7208,0.02
handler,6,3454,0.01
fields,6,581,0.0
equals,6,5427,0.02
values,6,2291,0.01
model,6,3030,0.01
columns,6,1704,0.02
size,6,11353,0.01
listener,6,2561,0.01
info,5,3625,0.01
create,5,5016,0.01
names,5,1190,0.01
session,5,2423,0.01
clazz,5,1643,0.02
lang,5,2324,0.02
,5,6278,
bind,5,3053,0.03
view,5,1854,0.0
instance,5,3460,0.01
transaction,5,6061,0.06
build,5,2481,0.01
cursor,5,1266,0.01
arg,4,1422,0.02
date,4,5562,0.03
getter,4,4414,0.05
jdbc,4,2016,0.03
put,4,3215,0.01
configuration,4,1890,0.01
line,4,2938,0.01
text,4,1542,0.0
request,4,1230,0.0
converter,4,1402,0.01
count,4,6690,0.02
mappings,4,968,0.02
order,4,3494,0.03
expression,4,3688,0.03
spec,4,2195,0.02
code,4,3355,0.01
version,4,2028,0.01
control,4,1080,0.01
col,4,1016,0.01
length,4,6103,0.01
results,3,1102,0.01
log,3,1892,0.0
cache,3,5314,0.04
meta,3,2897,0.03
definition,3,2343,0.03
reader,3,2600,0.01
keys,3,1013,0.01
row,3,2775,0.02
helper,3,2025,0.02
hibernate,3,1967,0.04
message,3,2250,0.01
function,3,1788,0.01
many,3,642,0.01
internal,3,1295,0.01
lite,3,1504,0.02
core,3,2243,0.01
integer,3,4609,0.02
format,3,2771,0.01
sequence,3,1598,0.01
color,3,771,0.0
layer,3,801,0.01
google,3,516,0.0
lat,3,825,0.01
content,3,1203,0.0
stream,3,3808,0.01
state,3,4233,0.01
bounds,3,1194,0.01
manager,3,4063,0.01
input,3,2544,0.0
callback,3,1048,0.01
max,3,3785,0.01
select,3,2240,0.02
with,3,5080,0.02
limit,3,2065,0.03
criteria,3,1214,0.02
event,3,2217,0.01
mode,3,1478,0.01
bean,3,2378,0.02
github,3,810,0.0
modifier,3,1297,0.02
adapter,3,1711,0.01
variable,3,1127,0.01
methods,3,461,0.01
obj,3,3597,0.02
page,3,2555,0.02
parameters,3,2718,0.02
ormlite,2,962,0.03
level,2,1467,0.01
iterator,2,2011,0.01
msg,2,946,0.01
raw,2,841,0.01
clause,2,1842,0.04
persister,2,740,0.02
setter,2,3595,0.07
reflect,2,1816,0.03
impl,2,2112,0.02
member,2,387,0.01
binding,2,454,0.0
access,2,690,0.01
path,2,1621,0.0
error,2,2673,0.01
codec,2,211,0.0
read,2,4997,0.02
retention,2,781,0.01
generic,2,902,0.01
configs,2,475,0.01
orm,2,380,0.01
simple,2,1258,0.01
person,2,260,0.0
all,2,3324,0.02
persistence,2,797,0.01
client,2,619,0.0
fetch,2,971,0.02
intent,2,287,0.0
activity,2,334,0.0
file,2,3498,0.0
lng,2,485,0.01
toast,2,184,0.0
feature,2,718,0.01
geometry,2,339,0.01
metadata,2,1676,0.01
datastore,2,1352,0.03
timestamp,2,4446,0.05
node,2,1757,0.0
hash,2,6650,0.02
ignore,2,939,0.01
optional,2,405,0.0
out,2,3733,0.01
matcher,2,1613,0.02
label,2,1638,0.01
url,2,1296,0.0
base,2,1360,0.01
alias,2,1335,0.02
association,2,567,0.01
projection,2,663,0.01
prop,2,707,0.01
first,2,3142,0.03
sample,2,875,0.01
current,2,4457,0.02
api,2,786,0.0
item,2,2115,0.01
sources,2,389,0.01
illegal,2,1128,0.01
non,2,4057,0.02
