keyword,doc_freq,total_freq,tfidf
get,1,205,0.0
string,1,225,0.0
system,1,157,0.08
operating,1,138,0.57
version,1,142,0.12
oslib,1,85,0.41
file,1,102,0.01
search,1,83,0.1
arch,1,85,0.35
type,1,72,0.01
windows,1,65,0.29
distro,1,71,0.29
linux,1,53,0.22
name,1,50,0.0
flavor,1,49,0.22
contains,1,38,0.06
java,1,36,0.0
reader,1,36,0.02
detector,1,34,0.07
exception,1,34,0.0
exists,1,30,0.09
detect,1,34,0.09
desktop,1,29,0.1
mac,1,29,0.08
map,1,29,0.0
environment,1,29,0.05
lower,1,24,0.05
line,1,25,0.01
release,1,27,0.07
display,1,25,0.04
icon,1,26,0.03
bsd,1,23,0.11
utils,1,20,0.01
unknown,1,23,0.06
list,1,22,0.0
input,1,20,0.01
set,1,21,0.0
stream,1,20,0.01
equals,1,20,0.01
read,1,19,0.01
split,1,20,0.03
spec,1,19,0.03
from,1,18,0.01
override,1,18,0.0
unix,1,17,0.08
solaris,1,17,0.08
buffered,1,15,0.02
stack,1,14,0.01
print,1,14,0.01
trace,1,14,0.02
