keyword,doc_freq,total_freq,tfidf
get,18,25886,0.0
string,18,17865,0.0
exception,18,12295,0.01
set,17,13353,0.01
java,15,5883,0.0
text,13,2498,0.02
name,12,6329,0.01
override,12,2328,0.0
file,12,4197,0.01
view,11,2168,0.02
image,11,2884,0.05
list,11,3384,0.0
com,11,3068,0.01
data,10,3369,0.01
android,10,1323,0.02
context,10,1480,0.01
util,9,2485,0.0
activity,9,795,0.02
array,9,1586,0.01
org,8,1767,0.01
stream,8,2405,0.02
value,7,4506,0.01
intent,7,453,0.01
height,7,1254,0.03
test,6,8683,0.14
result,6,3738,0.02
bitmap,6,338,0.01
log,6,1202,0.01
path,6,1129,0.01
manager,6,1539,0.02
width,6,1074,0.03
size,6,2528,0.01
options,5,511,0.01
builder,5,1446,0.01
listener,5,861,0.01
source,5,1152,0.02
map,5,2358,0.01
start,5,1257,0.02
ocr,5,573,0.06
camera,5,1214,0.05
output,5,1189,0.02
type,4,3843,0.01
create,4,3316,0.04
uri,4,219,0.01
content,4,570,0.01
request,4,402,0.0
code,4,1098,0.02
click,4,270,0.01
app,4,256,0.0
frame,4,511,0.01
document,4,897,0.03
api,4,201,0.0
files,4,342,0.01
add,4,2443,0.01
input,4,1699,0.01
out,4,1383,0.02
index,3,4605,0.03
property,3,3083,0.05
key,3,2103,0.01
field,3,2117,0.03
object,3,2109,0.01
utils,3,1954,0.02
media,3,87,0.0
store,3,346,0.01
factory,3,1084,0.01
action,3,494,0.01
put,3,2119,0.02
item,3,979,0.01
base,3,491,0.01
lang,3,482,0.01
application,3,227,0.01
rect,3,341,0.02
search,3,1165,0.04
pair,3,379,0.02
mode,3,1023,0.03
tag,3,295,0.01
button,3,437,0.01
asset,3,157,0.01
callback,3,337,0.01
permission,3,216,0.01
auto,3,908,0.05
sql,2,16382,0.47
connection,2,8555,0.2
host,2,2563,0.1
state,2,2672,0.03
time,2,2749,0.03
length,2,3142,0.02
server,2,2424,0.05
query,2,2445,0.05
jdbc,2,1998,0.13
check,2,1833,0.05
block,2,276,0.01
blocks,2,56,0.0
recognizer,2,59,0.01
values,2,772,0.01
box,2,745,0.03
gallery,2,29,0.0
logger,2,1243,0.01
with,2,1584,0.03
junit,2,253,0.01
service,2,484,0.01
batch,2,1060,0.05
tess,2,112,0.01
iterator,2,323,0.01
instance,2,665,0.01
tesseract,2,685,0.08
progress,2,275,0.01
network,2,77,0.0
copy,2,123,0.01
letter,2,826,0.09
uddernetworks,2,949,0.13
database,2,1140,0.04
var,2,714,0.03
rule,2,289,0.01
line,2,717,0.01
font,2,605,0.03
max,2,1434,0.02
color,2,849,0.02
event,2,1101,0.01
layout,2,697,0.01
child,2,270,0.01
adapter,2,307,0.01
gui,2,1034,0.06
javafx,2,296,0.01
params,2,598,0.01
fxml,2,298,0.02
scene,2,238,0.01
detect,2,135,0.01
storage,2,131,0.01
img,2,156,0.01
print,2,414,0.01
photo,2,58,0.0
simple,2,303,0.01
graphics,2,270,0.01
extract,2,91,0.01
support,2,264,0.01
response,2,298,0.0
model,2,962,0.01
dir,2,519,0.02
awt,2,383,0.02
buffered,2,575,0.02
json,2,388,0.01
build,2,377,0.01
preview,2,590,0.04
focus,2,263,0.02
parameters,2,468,0.01
graphic,2,231,0.02
overlay,2,196,0.01
surface,2,248,0.01
detector,2,220,0.01
picture,2,152,0.01
flash,2,133,0.01
facing,2,113,0.01
fps,2,94,0.01
scale,2,507,0.02
buffer,2,971,0.02
zoom,2,167,0.01
sizes,2,96,0.01
lock,2,156,0.01
requested,2,113,0.01
info,2,1481,0.02
phone,2,35,0.0
bar,2,216,0.01
email,2,67,0.0
read,2,1306,0.03
statement,1,5198,0.17
conn,1,4876,0.31
mysql,1,4424,0.43
stmt,1,4222,0.27
