keyword,doc_freq,total_freq,tfidf
org,4,1837,0.01
get,4,6580,0.0
string,4,6219,0.0
name,4,3060,0.02
path,4,1104,0.02
list,4,1432,0.0
exception,4,1680,0.0
context,3,2488,0.04
url,3,865,0.03
stream,3,808,0.01
file,3,3274,0.02
util,3,887,0.0
java,3,1431,0.0
set,3,2617,0.0
utils,3,1428,0.02
content,2,1309,0.04
view,2,2878,0.07
hash,2,536,0.02
api,2,263,0.01
logger,2,613,0.01
files,2,194,0.01
manager,2,1304,0.04
override,2,942,0.0
add,2,853,0.0
app,2,3438,0.14
version,2,1104,0.06
info,2,999,0.03
conan,1,472,0.16
repository,1,495,0.03
sonatype,1,368,0.13
asset,1,442,0.06
nexus,1,221,0.08
handler,1,348,0.01
kind,1,158,0.03
internal,1,185,0.02
inject,1,134,0.01
proxy,1,223,0.02
coords,1,94,0.02
component,1,165,0.01
javax,1,139,0.01
attributes,1,138,0.01
hosted,1,80,0.03
facet,1,79,0.02
builder,1,581,0.01
token,1,86,0.0
storage,1,148,0.01
state,1,565,0.01
orient,1,73,0.02
blob,1,76,0.01
map,1,510,0.0
download,1,262,0.04
handlers,1,37,0.01
controller,1,155,0.01
http,1,198,0.01
common,1,67,0.0
json,1,148,0.0
named,1,66,0.01
metadata,1,364,0.03
security,1,258,0.02
payload,1,58,0.01
bucket,1,53,0.01
singleton,1,77,0.01
helper,1,340,0.03
build,1,713,0.04
ship,1,296,0.08
test,1,512,0.02
project,1,348,0.03
resource,1,367,0.02
contract,1,216,0.03
message,1,694,0.02
result,1,399,0.01
web,1,188,0.01
args,1,378,0.01
getter,1,135,0.01
lombok,1,122,0.01
command,1,186,0.01
hera,1,112,0.04
setter,1,98,0.02
aergo,1,88,0.03
color,1,192,0.01
details,1,222,0.02
lua,1,76,0.02
input,1,689,0.01
error,1,374,0.01
constructor,1,73,0.01
node,1,90,0.0
printer,1,72,0.01
debug,1,526,0.04
server,1,108,0.01
model,1,176,0.0
function,1,66,0.0
required,1,157,0.02
line,1,153,0.01
repo,1,2160,0.29
fdroid,1,2015,0.69
apk,1,1767,0.33
intent,1,1761,0.09
uri,1,1533,0.08
android,1,1415,0.04
table,1,1332,0.05
text,1,1450,0.02
cols,1,1170,0.16
status,1,1128,0.05
update,1,1021,0.07
data,1,1045,0.01
key,1,1012,0.02
apps,1,363,0.06
activity,1,893,0.04
cursor,1,767,0.07
service,1,785,0.03
tag,1,699,0.03
install,1,705,0.16
values,1,584,0.02
log,1,653,0.01
action,1,642,0.02
installed,1,595,0.2
item,1,551,0.02
androidx,1,561,0.07
local,1,558,0.04
code,1,601,0.02
packager,1,539,0.18
folder,1,370,0.04
config,1,448,0.01
github,1,261,0.02
fvarrui,1,261,0.09
javapackager,1,261,0.09
jre,1,238,0.08
platform,1,232,0.03
create,1,582,0.02
directory,1,271,0.02
copy,1,254,0.03
jar,1,325,0.06
packagers,1,73,0.02
output,1,512,0.01
mac,1,163,0.03
icon,1,423,0.03
windows,1,122,0.03
generate,1,181,0.02
additional,1,131,0.03
task,1,144,0.01
extension,1,169,0.02
dir,1,379,0.03
maven,1,109,0.02
manifest,1,213,0.03
win,1,103,0.03
value,1,523,0.0
assets,1,115,0.02
modules,1,90,0.01
resources,1,185,0.02
element,1,117,0.0
exe,1,88,0.03
