keyword,doc_freq,total_freq,tfidf
get,4,13035,0.0
util,4,1957,0.0
list,4,2606,0.0
value,4,2491,0.0
java,3,3020,0.0
add,3,2691,0.0
map,3,1717,0.0
match,3,2150,0.04
override,3,2523,0.0
index,3,1319,0.01
string,2,6774,0.0
node,2,4328,0.03
set,2,3522,0.0
org,2,2863,0.01
exception,2,3558,0.0
factory,2,2376,0.02
builder,2,1766,0.01
utils,2,1721,0.01
state,2,2476,0.01
sequence,2,3619,0.08
function,2,1080,0.01
empty,2,814,0.01
sequences,2,179,0.01
first,2,692,0.01
consumer,2,361,0.01
from,2,1664,0.02
object,2,1327,0.0
length,2,1647,0.01
matcher,2,3587,0.09
array,2,2034,0.0
matchers,2,559,0.03
result,2,1221,0.0
tree,2,530,0.01
matches,2,519,0.02
uri,1,15114,0.21
won,1,9756,0.85
message,1,9251,0.06
atom,1,7772,0.36
event,1,5726,0.04
model,1,3762,0.02
type,1,3546,0.01
connection,1,3241,0.04
logger,1,3247,0.02
resource,1,2998,0.04
socket,1,2883,0.06
dataset,1,2762,0.1
name,1,2639,0.0
uris,1,558,0.03
protocol,1,2345,0.06
context,1,2322,0.01
service,1,2283,0.02
bot,1,2129,0.1
data,1,2118,0.01
property,1,1950,0.02
create,1,2062,0.01
key,1,1843,0.01
rdf,1,1471,0.08
graph,1,1386,0.03
listener,1,1300,0.01
apache,1,1288,0.02
messages,1,290,0.01
command,1,1280,0.02
query,1,1292,0.02
response,1,1286,0.01
camel,1,1248,0.1
user,1,1222,0.01
request,1,1183,0.01
debug,1,1201,0.02
either,1,300,0.02
lazy,1,450,0.03
maybe,1,295,0.02
apply,1,324,0.01
predicate,1,399,0.01
functions,1,84,0.0
supplier,1,218,0.01
head,1,378,0.01
tail,1,262,0.01
non,1,447,0.01
pair,1,313,0.01
left,1,333,0.01
right,1,300,0.01
,1,651,
require,1,347,0.01
otherwise,1,124,0.01
second,1,348,0.01
argument,1,358,0.01
comparator,1,105,0.0
cons,1,99,0.01
memoize,1,88,0.01
action,1,935,0.01
trampoline,1,73,0.01
iterator,1,718,0.01
element,1,227,0.0
test,1,102,0.0
evaluate,1,64,0.0
terminate,1,57,0.0
cast,1,58,0.0
principal,1,116,0.0
spliterator,1,74,0.0
operator,1,66,0.0
position,1,3446,0.05
pos,1,2197,0.04
window,1,2073,0.05
search,1,2037,0.04
reader,1,1223,0.01
hash,1,1761,0.02
end,1,1029,0.02
byteseek,1,914,0.08
info,1,1803,0.01
net,1,1485,0.02
start,1,1024,0.01
size,1,1452,0.0
shift,1,627,0.03
parse,1,857,0.01
last,1,778,0.01
gram,1,526,0.03
searcher,1,528,0.03
shifts,1,331,0.02
local,1,775,0.01
read,1,767,0.01
check,1,890,0.01
cache,1,729,0.01
automata,1,449,0.03
max,1,691,0.01
collection,1,1022,0.02
extractor,1,529,0.02
field,1,735,0.01
leacox,1,233,0.02
motif,1,237,0.02
matching,1,621,0.03
com,1,322,0.0
decomposable,1,204,0.02
optional,1,1283,0.03
fields,1,131,0.0
fluent,1,134,0.01
any,1,318,0.02
unapply,1,83,0.01
opt,1,136,0.0
pattern,1,447,0.01
child,1,167,0.0
extractors,1,21,0.0
integer,1,368,0.0
nested,1,53,0.0
decomposition,1,48,0.0
extracted,1,64,0.0
primitive,1,39,0.0
tuple,1,41,0.0
present,1,314,0.01
ongoing,1,32,0.0
objects,1,491,0.01
indexes,1,35,0.0
lists,1,19,0.0
