keyword,doc_freq,total_freq,tfidf
get,3,2887,0.0
set,3,2005,0.01
list,3,440,0.0
type,3,406,0.01
add,2,912,0.01
event,2,720,0.06
text,2,735,0.04
exception,2,731,0.0
com,2,646,0.02
item,2,412,0.04
java,2,436,0.0
value,2,462,0.01
button,2,364,0.04
listener,2,359,0.03
box,2,348,0.08
util,2,291,0.0
view,2,380,0.03
android,2,65,0.01
height,2,86,0.02
create,2,112,0.01
parent,2,66,0.01
scale,2,186,0.05
context,2,31,0.0
layout,2,174,0.02
file,1,1017,0.02
string,1,1076,0.0
neuronrobotics,1,586,0.53
javafx,1,526,0.13
bowler,1,515,0.46
run,1,471,0.09
scene,1,436,0.1
device,1,454,0.13
name,1,426,0.01
scripting,1,412,0.34
link,1,381,0.12
current,1,397,0.05
thread,1,385,0.06
engine,1,369,0.1
map,1,358,0.01
action,1,340,0.03
git,1,320,0.14
studio,1,317,0.28
platform,1,328,0.12
later,1,312,0.21
controller,1,305,0.06
pane,1,292,0.08
url,1,298,0.03
menu,1,288,0.05
base,1,293,0.05
fxml,1,290,0.1
load,1,287,0.08
factory,1,280,0.03
bowlerstudio,1,261,0.23
widget,1,273,0.06
print,1,259,0.04
transform,1,252,0.09
sdk,1,251,0.09
array,1,264,0.01
body,1,122,0.03
def,1,83,0.03
texture,1,68,0.02
position,1,119,0.02
draw,1,53,0.02
fixture,1,33,0.02
offset,1,79,0.01
width,1,120,0.02
shader,1,24,0.01
buffer,1,33,0.0
sprite,1,21,0.01
trail,1,20,0.01
semaphore,1,20,0.02
world,1,36,0.01
square,1,20,0.01
surface,1,18,0.01
shape,1,39,0.01
velocity,1,26,0.02
vertex,1,22,0.01
object,1,142,0.01
ball,1,16,0.01
size,1,228,0.01
color,1,124,0.02
handle,1,72,0.02
game,1,88,0.03
length,1,149,0.01
mul,1,12,0.01
spawn,1,12,0.01
program,1,13,0.01
application,1,84,0.01
bitmap,1,11,0.0
angle,1,119,0.05
spring,1,139,0.05
springy,1,61,0.05
animator,1,51,0.02
animation,1,47,0.02
delay,1,52,0.02
start,1,256,0.02
views,1,21,0.01
recycler,1,25,0.01
find,1,72,0.01
activity,1,32,0.0
tension,1,24,0.02
from,1,120,0.02
click,1,32,0.01
override,1,291,0.0
zach,1,20,0.02
salman,1,20,0.02
adapter,1,23,0.0
init,1,36,0.01
app,1,49,0.01
fraction,1,20,0.01
title,1,81,0.02
play,1,35,0.01
springylib,1,14,0.01
system,1,266,0.02
slide,1,14,0.01
support,1,35,0.01
range,1,34,0.01
image,1,228,0.03
holder,1,20,0.0
end,1,14,0.0
translation,1,11,0.0
config,1,46,0.0
