keyword,doc_freq,total_freq,tfidf
string,2,298,0.0
get,2,123,0.0
name,2,116,0.01
config,2,95,0.04
logger,2,84,0.03
exception,2,46,0.0
plot,2,59,0.15
override,2,150,0.01
java,2,51,0.0
trace,1,362,0.41
org,1,128,0.02
type,1,121,0.01
charts,1,90,0.25
set,1,109,0.0
dataviewer,1,81,0.3
visibility,1,67,0.12
chart,1,44,0.07
utils,1,52,0.01
axis,1,53,0.12
servlet,1,55,0.06
socket,1,52,0.06
mode,1,45,0.04
data,1,47,0.01
log,1,47,0.01
service,1,39,0.02
server,1,40,0.03
colour,1,37,0.13
traces,1,9,0.03
web,1,32,0.03
configuration,1,30,0.02
port,1,31,0.03
url,1,31,0.01
api,1,28,0.02
margin,1,28,0.07
gson,1,28,0.04
factory,1,35,0.02
session,1,26,0.02
array,1,31,0.0
viewer,1,23,0.05
resource,1,22,0.02
handler,1,21,0.01
title,1,29,0.03
serialized,1,21,0.04
variables,1,20,0.05
eclipse,1,19,0.03
jetty,1,19,0.07
opened,1,17,0.06
true,1,17,0.04
generic,1,16,0.03
instance,1,19,0.01
builder,1,641,0.17
arg,1,162,0.27
add,1,161,0.01
args,1,91,0.05
list,1,139,0.0
inner,1,120,0.32
builders,1,27,0.09
kwargs,1,88,0.37
com,1,95,0.01
impl,1,81,0.09
label,1,67,0.05
github,1,66,0.06
python,1,64,0.23
number,1,64,0.05
hist,1,55,0.23
scale,1,46,0.06
method,1,41,0.03
ticks,1,37,0.12
composite,1,36,0.09
text,1,38,0.01
build,1,34,0.03
contour,1,46,0.16
color,1,31,0.02
script,1,31,0.05
append,1,31,0.01
util,1,34,0.0
fig,1,25,0.1
save,1,25,0.05
registered,1,25,0.08
stream,1,29,0.01
key,1,19,0.0
path,1,19,0.0
lines,1,22,0.04
patch,1,16,0.05
legend,1,25,0.08
orientation,1,16,0.04
owner,1,15,0.03
command,1,15,0.01
line,1,28,0.02
pyenv,1,14,0.06
map,1,20,0.0
