keyword,doc_freq,total_freq,tfidf
gate,2,510,0.51
get,2,488,0.0
set,2,291,0.0
scene,2,192,0.06
redfx,2,339,0.47
javafx,2,194,0.06
org,2,339,0.01
qubit,2,203,0.28
add,2,388,0.01
step,2,512,0.18
list,2,143,0.0
strange,2,278,0.39
render,2,125,0.07
property,2,109,0.02
qubits,2,163,0.23
program,2,447,0.27
result,2,169,0.01
string,2,122,0.0
main,2,169,0.04
simulator,2,94,0.1
symbol,1,130,0.06
pane,1,95,0.03
model,1,78,0.01
width,1,74,0.02
children,1,83,0.04
anchor,1,56,0.04
line,1,59,0.01
steps,1,48,0.03
index,1,56,0.0
gates,1,27,0.03
answer,1,89,0.05
stage,1,71,0.03
color,1,62,0.01
height,1,50,0.01
idx,1,58,0.02
board,1,52,0.04
strangefx,1,62,0.09
end,1,39,0.01
observable,1,53,0.03
create,1,64,0.01
listener,1,49,0.0
group,1,50,0.01
states,1,29,0.02
row,1,29,0.01
stroke,1,32,0.02
wires,1,26,0.04
spacer,1,27,0.04
translate,1,43,0.03
layout,1,28,0.0
rectangle,1,29,0.02
complex,1,150,0.11
oracle,1,134,0.11
execution,1,120,0.05
quantum,1,118,0.16
environment,1,116,0.05
system,1,131,0.02
println,1,127,0.03
matrix,1,83,0.02
measure,1,73,0.04
simple,1,82,0.03
random,1,61,0.02
person,1,50,0.03
out,1,63,0.01
renderer,1,62,0.03
value,1,74,0.0
sprite,1,59,0.05
err,1,64,0.03
size,1,80,0.0
persons,1,41,0.04
results,1,39,0.01
view,1,55,0.01
javaqc,1,45,0.06
image,1,53,0.01
direction,1,48,0.02
key,1,47,0.0
hadamard,1,45,0.06
run,1,50,0.01
bridge,1,43,0.02
java,1,67,0.0
chart,1,62,0.03
