keyword,doc_freq,total_freq,tfidf
get,2,15747,0.0
config,2,9518,0.13
string,2,7619,0.0
model,2,6902,0.06
list,2,7401,0.01
data,2,6395,0.03
set,2,6198,0.0
map,2,5155,0.01
size,2,3446,0.02
name,2,3186,0.01
value,2,4199,0.01
util,2,2011,0.0
num,2,2574,0.07
weight,2,2026,0.12
stats,2,2028,0.1
java,2,2258,0.0
column,1,8039,0.2
shifu,1,6306,0.77
bin,1,3699,0.28
path,1,3490,0.02
utils,1,2893,0.02
type,1,3503,0.01
file,1,3303,0.01
count,1,2895,0.04
exception,1,2648,0.0
input,1,2339,0.02
source,1,2162,0.04
index,1,2483,0.02
info,1,2010,0.02
result,1,2026,0.01
train,1,1908,0.14
integer,1,1912,0.03
org,1,1899,0.01
constants,1,1781,0.05
log,1,1778,0.02
score,1,1983,0.1
output,1,1698,0.02
add,1,1971,0.0
layer,1,1489,0.07
params,1,1463,0.03
eval,1,1510,0.14
write,1,1520,0.03
models,1,520,0.03
append,1,1423,0.02
common,1,1441,0.04
node,1,1353,0.02
array,1,1375,0.01
context,1,1331,0.01
error,1,1273,0.01
pos,1,1201,0.04
attribute,1,1995,0.05
attributes,1,1577,0.06
instance,1,1415,0.02
quickml,1,1415,0.2
tree,1,2140,0.07
supervised,1,1142,0.16
classification,1,1190,0.11
counter,1,1339,0.07
loss,1,1193,0.1
builder,1,1226,0.01
instances,1,658,0.05
branch,1,872,0.07
serializable,1,777,0.05
classifier,1,720,0.06
values,1,696,0.01
training,1,962,0.08
min,1,1113,0.03
ignoring,1,518,0.07
regression,1,786,0.1
function,1,614,0.01
key,1,1204,0.01
counts,1,513,0.05
split,1,1199,0.06
override,1,1373,0.0
strategy,1,613,0.03
factory,1,941,0.01
with,1,620,0.01
probability,1,411,0.04
finder,1,884,0.07
validation,1,1250,0.07
lists,1,285,0.02
old,1,468,0.03
mean,1,831,0.07
label,1,447,0.01
