keyword,doc_freq,total_freq,tfidf
get,27,5161,0.0
string,26,5256,0.0
java,19,1786,0.0
org,16,822,0.01
set,16,1666,0.0
override,16,1945,0.01
com,15,2456,0.03
util,15,996,0.01
list,15,2227,0.01
response,15,1746,0.07
name,14,2005,0.01
type,13,2214,0.02
request,13,2203,0.08
exception,12,1464,0.0
value,11,1472,0.01
client,11,528,0.03
service,11,594,0.03
map,10,1241,0.01
logger,10,726,0.02
data,10,853,0.01
server,10,614,0.04
builder,10,1169,0.03
springframework,9,185,0.02
add,9,796,0.01
context,9,1324,0.03
error,9,952,0.03
json,9,1041,0.05
handler,9,1171,0.06
http,9,1406,0.08
stream,8,678,0.01
info,8,634,0.02
reactive,8,226,0.06
state,7,915,0.03
application,7,235,0.02
model,7,358,0.01
router,7,207,0.04
log,7,1233,0.03
app,7,506,0.03
message,7,699,0.02
android,7,1483,0.06
annotation,7,487,0.03
core,7,243,0.01
key,6,665,0.01
put,6,1863,0.06
event,6,700,0.02
example,6,206,0.02
view,6,2717,0.09
text,6,574,0.01
mono,6,169,0.04
function,6,307,0.02
body,6,596,0.06
reactivex,6,257,0.06
object,6,1064,0.02
config,5,678,0.03
flux,5,92,0.03
publisher,5,133,0.03
factory,5,374,0.02
activity,5,818,0.05
method,5,1150,0.06
instance,5,645,0.03
args,5,241,0.01
uri,5,457,0.03
create,5,411,0.01
repository,5,197,0.02
web,5,290,0.02
boot,5,46,0.01
api,5,305,0.01
main,5,295,0.02
array,5,834,0.01
adapter,5,428,0.03
consumer,4,487,0.07
apache,4,181,0.01
max,4,389,0.02
fragment,4,1038,0.09
listener,4,523,0.02
bundle,4,304,0.03
item,4,698,0.03
result,4,576,0.01
support,4,466,0.04
manager,4,384,0.02
utils,4,834,0.02
click,4,253,0.02
url,4,227,0.01
reactor,4,55,0.01
content,4,995,0.05
path,4,744,0.01
action,4,325,0.01
file,4,1053,0.01
observable,4,376,0.06
code,4,843,0.04
status,4,557,0.03
common,3,140,0.01
time,3,457,0.02
number,3,119,0.01
thread,3,236,0.02
test,3,324,0.02
,3,507,
with,3,486,0.03
impl,3,330,0.03
layout,3,482,0.02
size,3,884,0.01
query,3,348,0.02
configuration,3,318,0.02
find,3,158,0.01
delete,3,121,0.02
spring,3,41,0.01
all,3,237,0.02
field,3,368,0.02
parser,3,516,0.04
logging,3,99,0.01
group,3,217,0.01
port,3,180,0.02
buf,3,354,0.04
media,3,456,0.05
headers,3,373,0.05
channel,3,450,0.04
buffer,3,768,0.04
length,3,741,0.02
schedulers,3,154,0.04
throwable,3,625,0.11
run,3,147,0.01
user,3,210,0.01
integer,3,475,0.02
vertx,3,318,0.08
completable,3,156,0.03
bean,3,347,0.04
saved,3,261,0.04
pair,3,119,0.01
functions,3,40,0.01
ctx,3,244,0.03
bind,3,267,0.03
from,3,401,0.03
emoji,2,297,0.08
kafka,2,197,0.04
count,2,540,0.02
store,2,145,0.02
streams,2,141,0.03
emojis,2,100,0.04
serde,2,120,0.04
top,2,150,0.02
counts,2,86,0.02
github,2,135,0.01
hpgrahsl,2,61,0.02
metadata,2,76,0.01
deserializer,2,70,0.02
serializer,2,269,0.04
properties,2,225,0.02
props,2,51,0.01
limit,2,66,0.01
servers,2,23,0.01
tweets,2,46,0.01
receiver,2,42,0.01
auto,2,55,0.01
subscription,2,89,0.02
msg,2,176,0.02
storage,2,58,0.01
pool,2,357,0.04
presenter,2,673,0.14
element,2,474,0.02
non,2,387,0.03
annotated,2,147,0.04
simple,2,231,0.03
tag,2,479,0.03
intent,2,235,0.02
progress,2,197,0.02
items,2,93,0.01
menu,2,118,0.01
recycler,2,142,0.02
person,2,109,0.02
local,2,204,0.02
mongodb,2,11,0.0
flat,2,60,0.02
mapping,2,80,0.01
lombok,2,128,0.01
broker,2,115,0.03
build,2,219,0.01
optional,2,95,0.01
host,2,186,0.02
conn,2,98,0.02
parameter,2,499,0.04
parameters,2,306,0.03
index,2,510,0.01
strategy,2,167,0.02
observer,2,157,0.03
scheduler,2,62,0.01
junit,2,63,0.01
property,2,383,0.02
not,2,334,0.02
flags,2,115,0.02
topic,2,122,0.02
nullable,2,246,0.03
types,2,147,0.01
routing,2,105,0.03
order,2,864,0.11
obj,2,313,0.03
update,2,102,0.01
sql,2,308,0.03
end,2,228,0.02
address,2,177,0.02
exceptions,2,23,0.0
hash,2,529,0.02
writer,2,283,0.02
widget,2,206,0.02
use,2,137,0.02
target,2,112,0.01
call,2,236,0.02
first,2,172,0.02
behavior,2,182,0.05
reaction,2,77,0.02
accept,2,92,0.02
handle,2,136,0.01
resp,2,36,0.01
autowired,2,19,0.0
future,2,227,0.03
handlers,2,67,0.01
func,2,33,0.01
timber,2,126,0.03
phone,2,40,0.01
quote,2,350,0.08
lang,2,279,0.03
services,2,91,0.01
serialization,1,59,0.01
magazine,1,29,0.01
subscriber,1,99,0.03
sleep,1,31,0.01
expected,1,14,0.0
flow,1,40,0.01
jack,1,8,0.0
next,1,427,0.03
pete,1,8,0.0
lag,1,5,0.0
delivery,1,80,0.02
color,1,71,0.0
total,1,32,0.0
thepracticaldeveloper,1,4,0.0
seconds,1,32,0.01
read,1,327,0.02
concurrent,1,175,0.03
keep,1,99,0.04
when,1,19,0.01
submission,1,3,0.0
space,1,10,0.0
console,1,12,0.0
appender,1,29,0.01
slick,1,705,0.23
mrezanasirloo,1,450,0.21
generator,1,338,0.05
dagger,1,333,0.1
middleware,1,222,0.06
sample,1,192,0.02
spec,1,194,0.02
androidx,1,146,0.02
destroy,1,204,0.06
delegate,1,138,0.02
custom,1,119,0.02
conductor,1,97,0.03
testable,1,93,0.04
names,1,131,0.01
squareup,1,86,0.02
wall,1,680,0.2
sahr,1,260,0.1
picturesque,1,260,0.1
change,1,206,0.02
